timestamps,TP9,AF7,AF8,TP10,Right AUX
1642305117.184,37.598,27.832,87.402,47.363,62.988
1642305117.188,41.016,31.250,202.148,54.199,9.766
1642305117.192,29.785,30.762,116.699,45.410,13.184
1642305117.196,26.855,28.809,-29.297,25.391,46.875
1642305117.200,36.621,28.809,-24.902,37.109,46.387
1642305117.204,40.039,31.738,30.273,45.410,19.531
1642305117.208,41.504,33.203,-27.832,34.180,-4.395
1642305117.211,42.969,33.691,-303.711,30.762,22.461
1642305117.215,42.480,33.203,-290.527,24.414,43.457
1642305117.219,44.434,31.738,195.801,25.879,53.711
1642305117.223,39.551,30.273,224.121,45.898,29.785
1642305117.227,36.621,31.250,16.602,52.734,29.785
1642305117.244,36.621,30.762,39.551,48.340,37.598
1642305117.248,41.992,29.785,226.562,40.039,76.172
1642305117.252,41.016,30.273,161.133,24.414,41.016
1642305117.256,32.227,29.785,-38.574,35.156,-2.441
1642305117.260,30.762,33.203,-42.969,42.969,22.461
1642305117.264,30.273,32.227,-47.852,28.320,20.996
1642305117.268,34.668,28.320,-90.332,27.832,38.086
1642305117.271,38.574,28.320,-318.848,37.109,15.625
1642305117.275,33.691,29.297,-236.328,33.203,36.621
1642305117.279,36.621,28.809,34.180,33.203,79.102
1642305117.283,42.969,28.320,-55.664,32.715,41.992
1642305117.287,43.457,28.809,-165.527,27.344,28.320
1642305117.274,38.086,28.320,-168.945,35.156,22.949
1642305117.278,33.691,27.344,-145.996,51.758,61.523
1642305117.282,47.363,28.320,-75.684,39.062,87.402
1642305117.286,48.340,29.297,-76.172,16.602,66.406
1642305117.290,35.156,30.273,-157.227,25.879,64.453
1642305117.294,35.156,27.832,-343.750,32.715,60.059
1642305117.298,39.551,25.879,-360.352,33.691,37.109
1642305117.301,42.480,26.855,-178.223,38.086,15.625
1642305117.305,40.527,28.809,-202.637,38.086,-5.371
1642305117.309,34.180,30.762,-256.836,40.527,45.410
1642305117.313,36.133,29.785,-482.910,35.645,68.359
1642305117.317,39.551,30.762,-516.602,28.809,-0.488
1642305117.320,37.598,30.273,-208.984,36.621,14.648
1642305117.324,38.574,28.320,-346.191,56.152,27.832
1642305117.328,44.434,26.367,-426.758,52.734,3.418
1642305117.332,45.898,24.902,-226.562,28.809,12.207
1642305117.336,33.691,29.785,-172.363,21.973,39.062
1642305117.340,21.484,30.762,-490.723,31.250,39.551
1642305117.344,26.367,28.320,-696.289,32.227,50.293
1642305117.347,36.621,29.785,-367.676,24.414,24.414
1642305117.351,36.133,29.785,-174.316,22.949,6.348
1642305117.355,32.227,27.832,-329.590,37.598,37.109
1642305117.359,31.250,27.832,-390.137,45.410,39.062
1642305117.363,35.156,29.785,-231.445,37.598,20.020
1642305117.379,37.598,30.273,-163.574,36.133,-10.742
1642305117.383,34.180,33.203,-346.191,30.762,-2.930
1642305117.387,30.762,35.156,-399.902,30.762,55.176
1642305117.391,32.715,32.227,-286.133,40.527,10.742
1642305117.395,36.621,33.203,-167.969,40.039,-26.855
1642305117.399,29.785,31.738,-427.246,38.574,31.250
1642305117.403,27.832,27.832,-629.883,35.645,68.848
1642305117.406,31.738,29.297,-329.590,20.508,42.969
1642305117.410,31.738,27.344,-211.914,16.602,21.484
1642305117.414,25.879,30.273,-354.004,20.020,9.277
1642305117.418,22.949,32.715,-389.648,26.855,47.852
1642305117.422,26.367,30.762,-323.242,36.133,57.617
1642305117.425,27.832,31.738,-318.848,32.227,22.949
1642305117.429,27.344,30.762,-319.824,27.344,20.020
1642305117.433,26.367,28.809,-342.773,26.855,35.645
1642305117.437,26.367,27.832,-363.281,33.691,54.199
1642305117.441,29.785,25.879,-407.227,36.621,39.062
1642305117.445,26.367,26.367,-441.406,28.320,34.180
1642305117.449,17.578,25.391,-515.625,33.691,6.836
1642305117.452,19.531,25.391,-488.281,43.457,39.551
1642305117.456,26.367,26.367,-484.375,30.762,48.340
1642305117.460,35.156,26.855,-611.816,17.090,21.484
1642305117.464,28.320,26.855,-415.527,28.809,25.391
1642305117.468,19.531,24.902,-335.938,30.762,46.875
1642305117.485,35.156,28.809,-422.852,25.879,34.668
1642305117.489,42.480,31.250,-307.617,27.832,18.066
1642305117.493,31.738,30.273,-196.289,43.945,34.180
1642305117.497,30.762,29.785,-332.520,48.340,21.973
1642305117.501,37.598,30.273,-461.914,29.785,23.438
1642305117.505,38.574,30.273,-406.250,28.320,30.273
1642305117.509,30.762,28.809,-340.332,33.691,31.250
1642305117.512,20.020,25.879,-396.973,35.156,56.641
1642305117.516,19.043,26.855,-719.238,28.809,14.160
1642305117.520,28.320,28.809,-671.875,13.184,12.695
1642305117.524,37.598,29.785,-166.504,23.438,64.941
1642305117.528,37.109,27.832,-254.883,31.250,25.391
1642305117.514,28.320,27.344,-435.547,28.809,40.527
1642305117.518,30.273,28.809,-301.270,24.414,41.016
1642305117.522,30.762,28.320,-130.371,15.625,41.504
1642305117.526,20.020,27.344,-213.379,22.461,57.617
1642305117.530,11.230,28.809,-386.719,32.227,62.012
1642305117.534,14.160,30.273,-464.844,22.949,39.062
1642305117.538,25.879,26.855,-394.043,16.113,-8.301
1642305117.541,24.902,25.879,-344.238,24.902,-3.418
1642305117.545,20.508,28.320,-398.438,39.062,45.898
1642305117.549,25.391,28.320,-329.102,30.273,54.199
1642305117.553,32.715,31.250,-232.422,9.766,49.805
1642305117.557,35.156,29.785,-322.754,9.277,35.156
1642305117.560,25.879,26.367,-663.086,12.207,-14.648
1642305117.564,26.367,26.855,-519.043,23.438,-6.348
1642305117.568,37.598,31.250,-158.203,30.273,73.730
1642305117.572,36.133,29.785,-151.367,21.973,57.617
1642305117.576,33.691,23.438,-260.254,27.344,-1.465
1642305117.580,27.832,23.926,-397.461,31.738,32.227
1642305117.584,28.809,24.902,-357.422,31.738,54.199
1642305117.587,38.574,25.879,-390.137,27.832,43.945
1642305117.591,36.621,28.320,-432.129,18.066,40.527
