timestamps,TP9,AF7,AF8,TP10,Right AUX
1642357488.575,18.555,35.156,38.086,21.973,57.129
1642357488.579,27.832,35.156,36.133,32.715,81.055
1642357488.583,27.344,26.855,38.086,32.227,40.039
1642357488.587,20.508,26.855,34.180,31.738,31.738
1642357488.591,25.391,29.297,27.344,30.273,20.020
1642357488.595,24.902,28.320,32.715,25.879,17.578
1642357488.599,21.484,33.203,38.086,13.184,16.113
1642357488.602,31.250,35.156,37.598,21.973,-8.789
1642357488.606,32.227,35.156,33.203,32.715,-22.461
1642357488.610,30.273,35.156,37.598,24.902,58.594
1642357488.614,26.855,36.133,41.016,16.113,77.148
1642357488.618,22.949,37.109,35.156,6.348,-7.324
1642357488.620,25.391,36.133,34.180,14.648,10.254
1642357488.624,26.367,33.203,33.691,26.367,73.242
1642357488.628,23.438,32.227,32.715,20.020,47.363
1642357488.632,19.043,31.738,34.180,21.484,-6.348
1642357488.636,17.090,32.227,37.109,25.391,-13.672
1642357488.640,12.695,34.668,36.133,27.832,11.719
1642357488.644,16.602,33.691,41.504,20.996,29.297
1642357488.647,21.484,28.809,43.457,12.695,12.695
1642357488.651,16.113,29.785,41.504,1.953,-22.949
1642357488.655,13.672,37.598,44.434,9.277,-3.906
1642357488.659,12.207,34.668,46.387,23.438,66.895
1642357488.663,16.602,32.227,39.062,22.949,33.691
1642357488.665,20.996,34.180,36.621,26.367,-42.969
1642357488.669,20.020,32.227,37.598,22.949,-32.227
1642357488.673,21.484,32.715,33.691,22.461,34.180
1642357488.677,16.602,32.715,35.645,12.695,30.273
1642357488.681,13.184,33.203,39.551,4.883,4.395
1642357488.685,13.672,35.645,38.086,16.113,-8.301
1642357488.689,15.137,41.016,35.645,25.879,36.621
1642357488.692,15.625,41.992,34.668,14.648,60.059
1642357488.696,22.949,39.062,37.598,5.859,-3.418
1642357488.700,21.973,39.062,41.016,3.418,40.039
1642357488.704,16.113,39.062,35.156,21.973,84.473
1642357488.708,13.672,35.645,36.133,28.320,49.316
1642357488.710,17.090,37.598,41.504,6.348,18.555
1642357488.714,24.414,41.504,37.598,10.254,1.465
1642357488.718,23.438,43.945,37.109,20.020,22.949
1642357488.722,22.949,41.992,39.551,25.391,65.430
1642357488.726,27.344,43.457,39.062,29.785,20.508
1642357488.730,26.855,42.480,37.109,14.160,-8.301
1642357488.734,20.020,35.156,35.156,8.789,23.926
1642357488.737,15.137,35.645,34.668,13.184,27.344
1642357488.741,17.090,36.133,40.039,12.695,34.180
1642357488.745,19.531,36.621,36.621,10.254,16.113
1642357488.749,11.230,37.598,31.738,11.230,-19.531
1642357488.753,14.160,37.598,35.645,27.344,35.156
1642357488.756,18.066,39.062,36.133,19.531,78.613
1642357488.760,18.066,38.086,31.738,8.301,15.625
1642357488.764,24.902,34.180,34.668,19.043,-12.207
1642357488.768,20.996,36.133,40.527,31.738,28.320
1642357488.772,12.207,40.039,35.156,17.578,41.504
1642357488.776,21.973,37.598,30.762,2.930,11.230
1642357488.780,22.461,34.180,36.133,8.301,-17.090
1642357488.783,14.160,36.133,45.898,22.949,10.742
1642357488.787,20.996,37.109,46.875,27.832,78.613
1642357488.791,26.855,37.109,41.016,25.391,32.715
1642357488.795,26.367,37.598,39.551,16.113,-22.461
1642357488.799,21.973,39.551,41.016,11.230,12.695
1642357488.815,19.531,34.668,44.434,22.949,75.684
1642357488.819,22.461,30.273,39.551,20.996,59.082
1642357488.823,25.879,32.715,40.527,15.137,9.277
1642357488.827,28.320,36.133,39.062,21.973,-7.324
1642357488.831,25.391,37.109,34.668,35.645,20.508
1642357488.835,25.391,33.691,32.227,26.855,41.504
1642357488.839,24.414,33.203,31.250,15.137,-43.945
1642357488.842,18.066,35.156,42.480,21.484,-49.316
1642357488.846,15.625,33.691,41.504,20.508,32.715
1642357488.850,14.648,34.180,36.621,23.438,68.359
1642357488.854,18.066,33.691,40.527,24.414,32.227
1642357488.858,26.367,29.297,39.551,17.090,17.090
1642357488.860,24.902,25.879,33.691,29.297,33.203
1642357488.864,14.160,27.344,34.180,41.504,69.824
1642357488.868,14.648,31.738,34.668,21.973,53.223
1642357488.872,18.066,29.785,37.109,16.113,-13.184
1642357488.876,14.648,31.738,39.062,20.020,4.395
1642357488.880,18.555,37.598,35.645,22.949,65.918
1642357488.884,20.508,36.133,33.691,21.973,41.016
1642357488.887,16.113,33.203,35.156,10.742,-12.695
1642357488.891,15.625,35.645,32.227,11.230,-46.387
1642357488.895,20.508,38.574,24.902,23.926,-31.738
1642357488.899,18.555,37.598,31.250,25.879,32.715
1642357488.903,17.578,35.156,35.645,16.113,24.414
1642357488.905,14.648,35.156,31.738,14.648,-19.531
1642357488.909,12.207,37.109,31.738,19.531,7.812
1642357488.913,18.555,39.062,33.691,20.508,79.102
1642357488.917,18.066,38.086,31.738,5.859,38.086
1642357488.921,19.043,36.133,30.273,0.488,-6.348
1642357488.925,22.461,36.621,29.297,10.742,24.414
1642357488.929,19.043,39.551,31.250,24.414,73.242
1642357488.932,15.137,36.621,34.668,30.273,62.500
1642357488.936,18.066,29.785,27.832,24.414,-24.902
1642357488.940,15.625,30.762,29.785,16.602,-25.391
1642357488.944,12.207,35.645,36.621,16.113,61.523
1642357488.948,12.695,36.621,36.621,14.648,80.566
1642357488.950,14.160,35.156,38.086,6.348,22.461
1642357488.954,7.324,34.668,38.574,3.418,2.441
1642357488.958,1.953,35.156,39.551,15.625,52.734
1642357488.962,7.324,37.109,37.109,22.461,80.566
1642357488.966,18.066,39.062,31.250,20.020,31.250
1642357488.970,17.578,38.086,30.762,12.695,-10.742
1642357488.974,20.508,35.156,29.785,22.461,-17.090
1642357488.977,21.973,35.645,30.762,37.598,-2.441
1642357488.981,22.949,38.086,33.691,25.879,-3.418
1642357488.985,32.227,38.086,39.551,9.766,-17.578
1642357488.989,28.320,37.598,42.969,11.719,10.254
1642357488.993,23.926,35.645,37.109,25.879,82.520
1642357488.996,35.156,35.156,30.273,27.832,71.777
1642357489.000,38.086,34.180,33.203,20.996,24.414
1642357489.004,28.320,36.621,35.645,27.832,5.371
1642357489.008,26.367,38.086,29.785,38.086,61.035
1642357489.012,23.438,35.645,26.367,25.879,98.145
1642357489.016,23.926,34.180,31.738,10.742,37.109
1642357489.020,18.066,33.203,33.691,12.695,-3.418
1642357489.023,15.625,33.203,28.320,20.020,9.766
1642357489.027,20.020,35.645,33.691,23.926,60.059
1642357489.031,21.973,34.180,41.504,18.066,22.949
1642357489.035,26.855,34.180,38.086,15.625,-34.668
1642357489.039,23.926,32.227,35.645,23.438,-1.953
1642357489.041,21.973,30.273,37.109,28.320,37.109
1642357489.045,20.020,31.250,37.109,19.531,37.109
1642357489.049,16.602,28.809,35.156,6.836,25.391
1642357489.053,18.066,30.762,32.715,13.672,-5.371
1642357489.057,18.555,30.762,36.133,22.461,24.902
1642357489.061,21.484,32.715,35.645,16.113,56.641
1642357489.065,29.785,34.180,34.668,17.090,8.301
1642357489.068,27.344,32.715,32.227,17.578,-34.180
1642357489.072,23.926,37.109,33.691,18.555,7.812
1642357489.076,23.438,40.527,41.504,16.602,64.941
1642357489.080,29.785,32.715,34.668,6.836,40.039
1642357489.084,27.832,31.250,29.297,7.812,3.906
1642357489.085,18.555,35.156,34.180,16.602,21.484
1642357489.089,23.926,34.180,35.156,21.973,52.734
1642357489.093,31.250,35.156,26.855,29.297,26.855
1642357489.097,25.391,36.621,26.367,20.508,-24.414
1642357489.101,19.531,35.156,33.203,11.719,-3.418
1642357489.105,18.066,32.227,32.715,26.855,27.832
1642357489.109,19.531,35.645,30.762,23.438,10.254
1642357489.112,22.949,38.574,30.273,9.766,-19.531
1642357489.116,19.531,32.715,39.062,20.508,-5.371
1642357489.120,15.625,31.250,42.969,31.738,61.523
1642357489.124,18.555,39.062,36.133,10.742,71.777
1642357489.128,22.949,37.109,39.062,0.488,1.465
1642357489.130,18.555,34.180,43.457,12.695,-41.016
1642357489.134,18.555,36.133,41.504,25.879,40.527
1642357489.138,22.949,38.086,40.039,28.809,79.102
1642357489.142,28.320,39.551,40.527,29.785,13.184
