timestamps,TP9,AF7,AF8,TP10,Right AUX
1642356311.428,16.113,31.738,30.762,26.855,12.207
1642356311.432,12.695,29.785,36.133,32.227,43.945
1642356311.436,12.207,32.227,37.598,18.555,36.621
1642356311.440,19.531,34.180,32.227,15.137,-15.625
1642356311.444,15.625,31.738,27.832,16.113,42.969
1642356311.448,7.812,28.809,31.738,20.020,27.344
1642356311.452,14.160,29.785,35.156,24.902,-6.348
1642356311.455,24.414,31.250,34.668,23.926,5.859
1642356311.459,22.461,31.738,37.598,25.391,17.090
1642356311.463,16.602,32.715,38.574,29.785,10.742
1642356311.467,19.531,31.250,36.133,36.133,40.527
1642356311.471,21.973,31.738,36.621,32.227,55.176
1642356311.473,24.902,34.180,41.504,32.715,50.781
1642356311.477,27.832,33.691,40.039,37.598,77.637
1642356311.481,20.996,31.738,37.109,29.785,61.035
1642356311.485,17.090,27.344,38.086,23.926,67.871
1642356311.489,24.414,26.367,35.645,26.367,42.969
1642356311.493,27.344,30.273,34.668,33.203,0.000
1642356311.497,28.320,29.785,35.156,34.668,40.039
1642356311.500,25.391,30.762,36.621,35.156,47.852
1642356311.504,20.996,32.227,37.109,31.738,50.293
1642356311.508,22.949,31.738,33.203,22.949,4.395
1642356311.512,21.484,31.250,33.691,30.273,6.836
1642356311.516,20.020,34.668,36.133,27.832,74.219
1642356311.518,17.090,34.668,33.203,16.602,83.496
1642356311.522,18.555,30.762,31.738,19.531,59.082
1642356311.526,18.066,33.691,32.227,22.461,27.832
1642356311.530,20.996,37.598,30.762,20.996,20.508
1642356311.534,27.832,35.645,31.250,22.461,37.109
1642356311.538,27.344,34.668,33.203,18.555,20.996
1642356311.542,25.391,33.203,29.785,15.625,7.324
1642356311.545,20.996,37.598,28.809,20.508,34.668
1642356311.549,25.391,40.039,32.227,24.414,-3.418
1642356311.553,30.762,35.156,31.738,18.555,77.148
1642356311.557,28.809,34.668,28.320,15.625,89.355
1642356311.561,24.902,37.598,30.762,16.113,28.809
1642356311.580,24.902,38.086,33.203,16.602,48.340
1642356311.584,29.785,35.645,32.715,29.297,34.668
1642356311.588,27.344,35.645,30.762,27.344,57.617
1642356311.592,22.949,33.691,33.203,17.578,51.270
1642356311.596,21.484,32.227,34.180,12.695,33.203
1642356311.600,24.414,34.180,31.738,13.672,-33.203
1642356311.604,26.367,36.133,32.715,17.578,-23.926
1642356311.607,20.508,38.086,33.691,16.602,18.555
1642356311.611,20.996,33.691,32.715,21.484,-11.230
1642356311.615,20.508,29.297,31.250,24.902,-13.184
1642356311.619,15.625,30.762,32.715,20.996,-2.441
1642356311.623,13.672,32.715,34.180,14.648,0.000
1642356311.624,18.066,35.645,33.203,19.043,16.602
1642356311.628,29.297,34.668,34.180,20.020,25.879
1642356311.632,33.203,35.156,37.598,15.625,17.578
1642356311.636,29.297,35.156,37.598,24.414,22.461
1642356311.640,24.902,33.691,36.621,21.973,30.762
1642356311.644,24.414,34.180,36.621,19.531,62.012
1642356311.648,25.391,36.133,35.156,23.438,43.457
1642356311.651,22.461,35.156,36.621,27.344,-12.207
1642356311.655,21.973,32.715,39.551,32.227,2.930
1642356311.659,19.531,32.715,37.598,23.438,44.922
1642356311.663,16.602,32.715,38.086,18.066,26.855
1642356311.667,16.602,34.180,39.062,21.973,27.832
1642356311.669,12.695,37.109,37.598,20.996,48.828
1642356311.673,9.277,36.133,38.574,18.555,39.551
1642356311.677,9.277,35.156,37.598,16.602,42.969
1642356311.681,12.695,35.645,35.156,19.531,62.988
1642356311.685,14.160,32.227,37.109,19.531,40.527
1642356311.689,9.766,31.250,37.109,13.672,19.043
1642356311.693,8.301,33.203,35.645,15.625,43.457
1642356311.696,16.113,33.203,36.621,20.996,29.785
1642356311.700,14.160,35.156,35.645,20.508,9.766
1642356311.704,8.789,33.691,35.645,11.719,24.902
1642356311.708,16.602,34.668,37.598,13.184,-8.301
1642356311.712,18.555,38.574,34.668,23.926,9.277
1642356311.713,14.648,35.645,33.691,18.066,52.246
1642356311.717,14.160,36.133,33.691,15.137,43.945
1642356311.721,14.648,39.062,30.273,17.090,23.926
1642356311.725,21.484,40.039,30.273,14.648,23.438
1642356311.729,19.531,37.109,34.180,13.672,63.477
1642356311.733,20.508,36.133,33.691,19.043,30.273
1642356311.737,19.531,36.133,34.668,26.367,1.953
1642356311.740,18.066,33.691,34.180,21.484,41.992
1642356311.744,22.461,31.738,32.715,20.508,73.730
1642356311.748,22.461,34.180,34.668,20.020,40.527
1642356311.752,23.926,34.180,38.086,19.043,39.551
1642356311.756,22.461,34.668,35.645,15.625,61.035
1642356311.758,23.926,36.621,33.203,20.020,47.852
1642356311.762,27.344,36.621,36.621,27.832,28.809
1642356311.766,21.973,37.109,33.203,19.043,27.344
