timestamps,TP9,AF7,AF8,TP10,Right AUX
1642305313.432,42.969,22.461,33.203,39.062,31.250
1642305313.436,38.086,24.414,35.645,44.922,60.059
1642305313.440,38.086,22.461,36.621,46.387,67.383
1642305313.444,41.016,23.438,31.738,40.527,48.340
1642305313.448,42.969,26.367,32.227,34.668,20.996
1642305313.452,39.551,28.809,35.645,36.621,1.953
1642305313.456,37.598,28.320,38.574,40.527,44.434
1642305313.459,32.227,26.367,37.109,36.621,64.453
1642305313.463,31.738,25.391,30.762,21.973,-20.508
1642305313.467,34.180,27.832,38.086,17.578,-57.129
1642305313.471,30.273,28.320,38.086,26.367,-11.719
1642305313.475,35.156,29.297,32.715,32.715,43.945
1642305313.475,35.156,29.297,32.715,32.715,43.945
1642305313.479,32.715,27.832,33.203,25.391,-4.883
1642305313.483,30.273,26.855,36.621,20.020,-18.555
1642305313.487,32.227,26.855,40.039,28.809,58.105
1642305313.491,28.320,26.855,37.109,28.809,57.129
1642305313.495,30.762,30.762,36.133,20.996,30.273
1642305313.499,37.109,27.832,39.062,22.949,16.113
1642305313.503,35.156,25.879,40.527,25.391,9.766
1642305313.506,34.668,27.832,38.086,27.832,34.180
1642305313.510,31.738,26.367,36.621,30.762,19.043
1642305313.514,34.180,25.879,44.434,26.367,33.203
1642305313.518,34.180,29.297,41.992,25.391,85.938
1642305313.522,30.762,28.809,36.133,30.762,83.496
1642305313.524,29.297,25.391,32.715,30.273,52.734
1642305313.528,27.832,25.879,33.691,16.602,-11.230
1642305313.532,24.414,26.855,34.668,13.672,-10.742
1642305313.536,21.973,25.879,34.180,23.926,22.461
1642305313.540,22.461,25.391,36.621,22.461,41.992
1642305313.544,20.996,25.879,35.645,6.348,49.316
1642305313.548,22.461,25.391,32.715,1.953,8.789
1642305313.551,18.555,23.926,29.297,11.719,10.254
1642305313.555,14.648,24.414,35.645,16.113,34.668
1642305313.559,18.066,25.879,42.480,13.184,37.109
1642305313.563,29.297,25.391,37.109,15.625,60.059
1642305313.567,22.949,21.973,34.180,18.555,28.809
1642305313.569,18.555,22.461,39.062,26.855,28.320
1642305313.573,28.320,25.879,36.621,27.832,58.105
1642305313.577,32.227,31.250,34.180,17.578,17.090
1642305313.581,28.809,27.344,36.621,17.578,2.930
1642305313.585,24.902,23.438,38.574,20.996,37.598
1642305313.589,24.414,24.902,36.621,19.043,60.547
1642305313.593,25.879,22.461,31.250,14.160,45.898
1642305313.596,22.949,20.996,31.738,17.578,3.906
1642305313.600,20.508,22.461,45.410,32.715,5.859
1642305313.604,20.508,23.438,47.852,28.809,43.945
1642305313.608,27.344,23.926,43.945,19.531,36.621
1642305313.612,37.598,25.391,44.922,22.949,5.371
1642305313.614,28.809,27.832,43.457,26.367,31.738
1642305313.618,23.926,27.344,39.551,25.391,71.777
1642305313.622,24.902,24.414,35.156,22.949,43.457
1642305313.626,24.414,24.414,37.109,13.184,23.926
1642305313.630,19.043,24.414,39.551,11.230,-4.883
1642305313.634,16.602,22.461,35.645,25.879,12.695
1642305313.638,19.043,23.438,30.273,24.414,70.312
1642305313.641,25.391,26.367,40.527,20.996,52.246
1642305313.645,26.855,27.832,42.480,25.879,12.207
1642305313.649,15.625,25.391,31.738,25.391,7.324
1642305313.653,15.625,26.367,36.621,29.297,55.664
1642305313.657,21.973,26.367,41.504,24.414,17.578
1642305313.673,23.438,23.926,37.598,13.672,-13.184
1642305313.677,19.043,24.414,36.133,14.648,40.527
1642305313.681,20.508,25.391,36.133,23.926,84.473
1642305313.685,25.879,25.391,36.621,20.508,65.430
1642305313.689,32.227,27.344,33.203,16.602,27.832
1642305313.693,26.367,27.832,25.391,22.461,3.418
1642305313.697,19.531,24.902,29.297,26.367,41.016
1642305313.700,21.484,22.949,39.062,25.879,85.449
1642305313.704,29.785,26.367,37.598,23.438,65.918
1642305313.708,22.949,28.809,34.180,25.391,-7.812
1642305313.712,11.719,24.902,39.062,28.809,43.945
1642305313.716,11.719,23.438,37.109,26.367,88.379
1642305313.733,18.066,25.879,35.645,24.902,37.109
1642305313.737,21.484,26.855,40.039,25.879,45.410
1642305313.741,19.531,27.832,38.574,30.762,54.688
1642305313.745,25.391,26.367,38.574,37.598,54.688
1642305313.749,28.809,28.809,35.156,29.297,31.738
1642305313.753,30.273,27.344,29.785,20.020,8.301
1642305313.757,27.344,26.367,31.250,21.973,-9.277
1642305313.760,31.250,30.273,35.645,30.273,42.480
1642305313.764,39.062,27.344,33.203,29.785,8.789
1642305313.768,38.574,25.391,32.227,22.461,-30.762
1642305313.772,32.715,29.297,40.527,22.949,37.598
1642305313.776,30.762,28.320,41.016,29.785,97.168
1642305313.763,30.273,24.414,32.715,25.879,76.660
1642305313.767,33.691,27.344,32.227,16.113,1.465
1642305313.771,33.203,28.809,35.645,19.043,-16.602
1642305313.775,26.367,26.367,37.598,28.809,33.691
1642305313.779,26.855,29.297,34.668,31.738,28.320
1642305313.783,33.203,28.809,32.227,26.855,-3.418
1642305313.787,30.762,23.438,36.133,27.832,-21.973
1642305313.790,21.973,24.414,38.574,37.598,30.762
1642305313.794,22.949,24.414,34.180,36.621,57.129
1642305313.798,26.367,26.367,32.227,20.020,14.160
1642305313.802,27.344,27.832,31.250,16.602,27.344
1642305313.806,21.484,24.902,30.762,24.902,40.039
1642305313.809,16.113,27.832,25.879,23.926,49.316
1642305313.813,13.184,24.902,30.273,18.555,51.270
1642305313.817,21.973,24.902,38.086,20.020,33.203
1642305313.821,21.973,28.809,32.715,22.949,16.602
1642305313.825,17.090,28.320,32.715,31.250,60.547
1642305313.829,18.066,29.297,33.203,30.762,39.551
1642305313.833,20.508,30.273,35.156,25.391,0.977
1642305313.836,23.926,26.855,37.598,30.273,10.742
1642305313.840,19.043,27.832,34.180,29.297,55.664
1642305313.844,20.020,31.250,40.039,25.879,97.656
1642305313.848,28.809,30.762,42.480,26.855,61.035
1642305313.852,32.227,29.785,35.645,21.973,0.000
1642305313.853,34.668,29.297,37.109,22.949,-15.625
1642305313.857,32.715,28.320,40.039,31.738,43.457
1642305313.861,29.297,24.902,37.598,26.855,46.387
1642305313.865,34.180,26.367,39.551,23.438,17.090
1642305313.869,27.344,26.855,43.457,24.414,10.742
1642305313.873,20.020,23.438,41.016,27.344,57.617
1642305313.877,19.043,22.461,40.527,21.973,70.801
1642305313.880,17.578,20.996,34.668,10.254,0.000
1642305313.884,15.625,23.926,35.645,19.043,10.742
1642305313.888,19.043,28.809,43.457,31.250,47.363
1642305313.892,19.531,28.809,39.062,26.855,27.832
1642305313.896,20.020,27.832,37.598,24.902,4.883
1642305313.898,20.508,25.391,43.457,25.391,-13.672
1642305313.902,18.555,24.902,45.410,26.367,52.734
1642305313.906,18.555,25.879,37.109,21.973,62.988
1642305313.910,17.578,25.391,35.645,10.742,34.668
1642305313.914,21.484,28.320,34.180,9.766,64.453
1642305313.918,21.973,27.832,27.832,20.508,18.555
1642305313.922,19.043,27.344,31.738,24.902,32.715
1642305313.925,22.949,30.273,31.250,18.555,11.719
1642305313.929,28.320,31.250,37.109,13.184,-26.367
1642305313.933,23.926,28.809,38.574,16.113,4.395
1642305313.937,22.461,26.367,37.109,23.926,56.152
1642305313.941,25.879,27.832,35.156,23.926,59.082
1642305313.944,23.926,26.367,32.715,11.230,32.715
1642305313.948,19.531,23.438,36.133,15.625,24.902
1642305313.952,20.020,23.926,31.250,30.762,11.719
1642305313.956,18.066,23.926,30.762,24.902,31.738
1642305313.960,21.484,23.438,37.598,12.207,45.410
1642305313.964,19.531,24.902,35.645,15.625,55.176
1642305313.968,11.719,23.926,30.273,25.391,7.324
1642305313.971,14.160,21.973,37.109,27.344,17.578
1642305313.975,20.020,23.926,45.410,21.973,18.555
1642305313.979,21.484,23.438,41.016,19.043,-4.395
1642305313.983,17.578,22.949,40.527,23.926,44.434
1642305313.987,17.578,26.855,43.457,29.297,92.773
1642305313.988,23.926,28.320,41.992,24.902,33.691
1642305313.992,30.273,25.391,40.527,17.090,-58.105
1642305313.996,24.414,23.926,37.598,23.438,-0.488
1642305314.000,19.043,24.902,39.551,31.738,83.984
1642305314.004,20.996,21.484,42.480,26.855,37.598
