timestamps,TP9,AF7,AF8,TP10,Right AUX
1643495789.801,41.016,30.273,31.250,38.574,108.398
1643495789.805,29.297,32.227,23.926,32.715,81.055
1643495789.809,14.160,29.785,27.344,23.438,-16.113
1643495789.813,20.020,29.785,31.738,25.391,-16.113
1643495789.817,33.691,26.367,33.691,33.203,68.359
1643495789.821,31.250,26.855,30.273,33.691,124.512
1643495789.825,12.207,29.297,25.391,31.250,41.504
1643495789.828,12.695,28.809,25.879,29.297,-11.719
1643495789.832,31.738,29.785,26.855,25.391,43.457
1643495789.836,37.598,29.785,26.367,23.438,113.770
1643495789.840,20.508,27.344,25.879,18.555,59.570
1643495789.844,11.719,25.879,27.344,17.578,-40.527
1643495789.844,11.719,25.879,27.344,17.578,-40.527
1643495789.847,23.438,27.344,27.344,26.855,3.418
1643495789.851,35.645,25.879,26.855,35.645,108.887
1643495789.855,24.902,26.367,26.855,29.785,79.102
1643495789.859,10.742,27.344,23.438,26.855,-7.324
1643495789.863,14.160,25.391,28.320,27.832,4.883
1643495789.867,30.273,24.902,34.180,25.391,98.145
1643495789.871,32.715,25.391,30.762,30.273,132.324
1643495789.874,11.719,23.926,24.414,32.227,21.973
1643495789.878,8.789,24.902,23.438,23.438,-81.543
1643495789.882,30.273,26.367,32.715,24.902,5.371
1643495789.886,32.715,27.344,32.227,25.879,107.910
1643495789.890,8.789,27.832,24.902,16.602,19.531
1643495789.891,4.395,29.785,24.902,15.625,-42.969
1643495789.895,26.855,28.809,27.832,23.438,39.551
1643495789.899,31.738,26.367,27.832,24.414,114.746
1643495789.903,15.137,24.414,25.879,17.090,41.992
1643495789.907,5.859,23.438,25.879,13.672,-59.570
1643495789.911,16.113,21.973,29.785,23.438,-32.227
1643495789.915,37.598,24.902,34.668,32.715,83.984
1643495789.918,30.762,28.809,27.344,23.926,57.617
1643495789.922,10.254,27.344,26.855,12.207,-71.289
1643495789.926,20.508,24.414,36.133,19.043,-41.992
1643495789.930,41.992,24.902,36.133,26.855,76.172
1643495789.934,32.227,26.367,31.738,28.320,98.633
1643495789.936,19.531,28.809,26.855,27.344,-16.113
1643495789.940,24.414,29.785,26.367,27.832,-47.852
1643495789.944,41.992,27.344,27.344,32.227,17.578
1643495789.948,41.992,23.926,26.855,29.785,79.590
1643495789.952,22.461,25.391,25.391,28.809,42.480
1643495789.956,20.996,26.367,24.902,32.227,-60.547
1643495789.960,38.086,24.414,27.832,37.598,-24.902
1643495789.963,47.363,22.461,26.855,38.086,41.992
1643495789.967,29.297,22.949,27.344,26.367,-9.766
1643495789.971,17.090,23.438,28.320,21.484,-22.949
1643495789.975,30.273,24.414,26.855,30.762,-19.043
1643495789.979,43.457,25.879,29.785,33.691,46.387
1643495789.981,32.227,25.391,27.832,28.809,70.801
1643495789.985,15.137,25.879,26.367,27.832,-22.949
1643495789.989,20.020,26.855,28.320,28.809,-55.176
1643495789.993,43.457,23.438,31.250,34.180,59.570
1643495789.997,41.504,22.949,25.879,33.691,90.820
1643495790.001,19.531,25.391,22.461,31.738,-4.883
1643495790.005,16.113,22.949,25.391,28.320,-43.945
1643495790.008,32.227,23.926,29.785,27.344,-5.371
1643495790.012,41.016,25.879,33.691,32.715,91.797
1643495790.016,20.508,27.344,24.902,27.832,41.504
1643495790.020,9.277,28.809,23.438,12.695,-62.500
1643495790.024,31.250,30.762,29.297,19.531,-19.043
1643495790.027,45.898,32.715,32.715,30.762,79.102
1643495790.031,28.320,31.738,23.926,27.344,52.246
1643495790.035,14.160,31.738,20.508,23.438,-23.438
1643495790.039,25.391,31.738,32.227,23.438,2.930
1643495790.043,41.504,30.273,32.715,30.273,98.633
1643495790.047,32.715,28.320,23.438,35.156,91.797
1643495790.051,18.066,29.785,20.996,26.367,-34.180
1643495790.054,18.555,29.785,29.297,19.531,-65.430
1643495790.058,39.062,27.344,35.645,32.715,59.570
1643495790.062,39.551,26.855,30.273,35.156,92.285
1643495790.066,16.113,29.297,28.320,26.367,20.020
1643495790.070,13.672,27.344,30.762,21.484,-19.043
1643495790.072,32.227,23.926,32.715,24.902,34.180
1643495790.076,42.480,29.297,31.738,30.273,132.812
1643495790.080,27.832,30.762,29.297,25.879,87.891
1643495790.084,18.066,25.879,32.715,28.809,-15.137
1643495790.088,32.227,23.438,36.133,31.738,-7.812
1643495790.092,45.898,25.391,33.203,28.809,95.703
1643495790.096,31.250,26.367,30.762,28.809,63.965
1643495790.099,16.602,22.949,30.273,25.879,-25.391
1643495790.103,26.855,22.949,28.809,29.785,-8.789
1643495790.107,44.434,22.949,28.809,30.762,113.770
1643495790.111,41.504,23.926,22.461,26.367,124.023
1643495790.115,20.508,24.902,22.461,27.832,-16.602
1643495790.131,16.113,21.973,24.414,31.738,-38.086
1643495790.135,39.062,22.949,29.785,33.203,53.223
1643495790.139,41.504,26.855,32.715,36.133,73.730
1643495790.143,15.137,22.461,24.414,28.809,-3.418
1643495790.147,6.348,21.484,22.949,20.508,-34.668
1643495790.151,27.344,27.344,28.320,25.879,3.418
1643495790.155,41.016,29.297,31.250,26.367,84.473
1643495790.158,25.879,28.809,31.250,21.484,54.688
1643495790.162,14.648,29.297,25.391,22.949,-36.621
1643495790.166,26.855,30.273,27.832,26.367,-23.926
1643495790.170,44.434,30.762,38.086,24.414,111.328
1643495790.174,37.109,30.762,33.203,25.391,85.938
1643495790.176,19.043,30.273,24.902,22.461,-10.254
1643495790.180,22.461,29.297,25.391,23.438,12.207
1643495790.184,46.875,30.273,26.855,32.715,91.309
1643495790.188,41.016,32.227,25.879,31.738,125.000
1643495790.192,16.602,29.297,24.902,25.391,-4.395
1643495790.196,21.484,28.809,26.855,24.414,-61.523
1643495790.200,41.992,32.715,30.762,31.250,57.617
1643495790.203,42.969,30.762,30.762,33.691,133.301
1643495790.207,20.996,28.809,25.391,27.344,19.043
1643495790.211,16.602,29.785,26.855,27.832,-79.102
1643495790.215,32.715,28.320,37.598,31.738,8.789
1643495790.219,43.457,27.344,34.668,35.645,129.883
1643495790.221,36.133,27.344,27.832,35.156,61.035
1643495790.225,23.926,28.809,27.832,29.785,-41.504
1643495790.229,27.832,29.785,29.785,25.879,-14.648
1643495790.233,46.875,27.344,31.738,32.715,84.961
1643495790.237,37.598,27.832,25.391,32.227,86.914
1643495790.241,15.625,27.832,24.414,21.484,-2.930
1643495790.245,22.461,26.855,30.762,21.484,-31.250
1643495790.248,36.133,26.855,30.762,24.414,47.363
1643495790.252,29.785,23.438,24.902,20.020,70.801
1643495790.256,17.090,25.879,23.438,20.508,-8.789
1643495790.260,16.113,27.832,22.949,23.438,-47.852
1643495790.264,35.645,26.367,23.438,21.484,10.254
1643495790.266,41.504,24.902,25.879,17.578,67.383
1643495790.270,18.066,27.344,24.414,14.648,43.945
1643495790.274,4.883,29.785,19.043,12.207,-12.207
1643495790.278,18.555,27.832,21.973,11.230,-7.812
1643495790.282,34.180,30.762,23.926,16.602,89.844
1643495790.286,20.996,32.227,20.020,18.555,48.828
1643495790.290,2.441,29.297,20.996,16.113,-51.758
1643495790.293,14.648,26.855,21.973,20.020,-35.645
1643495790.297,32.227,24.902,25.879,26.367,35.645
1643495790.301,20.508,27.344,26.367,29.785,62.012
1643495790.305,5.859,28.320,23.926,26.367,-17.090
1643495790.309,18.066,27.344,26.367,29.785,-53.223
1643495790.312,38.574,30.273,29.297,38.574,23.438
1643495790.316,35.156,29.297,28.809,31.250,100.586
1643495790.320,17.090,27.832,23.438,25.879,27.832
1643495790.324,13.672,29.297,21.973,21.973,-73.730
1643495790.328,30.273,30.762,27.832,20.996,-28.320
1643495790.332,37.598,29.785,27.344,25.391,59.082
1643495790.336,18.066,30.273,19.531,22.461,2.930
1643495790.339,11.719,34.180,15.625,23.926,-66.406
1643495790.343,30.762,33.691,28.320,29.297,-30.762
1643495790.347,41.016,30.273,35.156,33.691,102.539
1643495790.351,28.320,31.250,20.020,31.250,96.680
1643495790.355,12.695,33.691,16.602,28.320,-3.906
1643495790.356,21.973,35.156,23.926,23.926,19.043
1643495790.360,42.480,33.691,24.414,22.949,62.012
1643495790.364,30.273,31.738,22.461,24.414,48.340
1643495790.368,11.230,31.738,22.949,21.973,-3.418
1643495790.372,19.043,32.715,24.902,24.414,-37.109
1643495790.376,42.969,31.250,26.367,36.621,21.484
1643495790.380,41.504,30.273,24.902,36.621,82.031
1643495790.383,20.996,31.250,25.391,25.879,-4.883
1643495790.387,21.484,31.738,35.156,32.227,-52.734
1643495790.391,35.645,30.762,39.062,38.574,10.742
1643495790.395,44.922,31.250,34.668,36.133,105.469
1643495790.399,30.273,27.832,32.227,36.621,70.312
1643495790.401,12.207,25.879,32.715,26.855,-37.109
1643495790.405,19.531,29.785,33.203,26.855,-17.578
1643495790.409,43.457,29.785,34.668,41.016,96.680
1643495790.413,37.598,31.738,30.273,34.180,97.168
1643495790.417,19.531,34.180,27.832,23.926,19.531
1643495790.421,29.785,34.668,27.344,29.785,-12.207
1643495790.425,47.852,35.156,26.367,33.691,39.551
1643495790.428,41.992,33.691,26.367,33.691,91.797
1643495790.432,26.367,34.180,25.879,30.762,49.316
1643495790.436,25.391,34.180,25.391,29.297,-2.441
1643495790.440,46.387,33.691,31.250,37.598,69.336
1643495790.444,57.129,33.691,34.668,43.945,156.250
1643495790.461,44.922,34.668,28.809,42.480,58.594
1643495790.465,40.527,37.598,25.391,41.992,-2.441
1643495790.469,52.734,38.574,29.785,48.340,57.129
1643495790.473,61.523,37.598,31.250,47.852,139.160
1643495790.477,41.504,35.156,27.344,43.457,117.188
1643495790.481,29.785,36.621,22.461,42.969,22.461
1643495790.485,40.039,39.062,29.297,38.086,20.996
1643495790.488,51.758,35.156,35.156,34.180,134.766
1643495790.492,44.434,29.785,26.855,34.668,131.348
1643495790.496,29.785,27.832,22.949,33.691,23.438
1643495790.500,27.344,25.391,28.320,28.809,7.812
1643495790.504,41.504,24.902,33.203,32.715,101.562
1643495790.506,40.039,25.879,30.762,28.809,138.672
1643495790.510,20.020,24.902,23.438,18.555,50.293
1643495790.514,13.184,23.926,22.949,19.531,-12.207
1643495790.518,27.832,24.414,31.738,24.902,62.500
1643495790.522,32.227,19.531,35.645,26.367,152.344
1643495790.526,13.672,18.066,30.273,25.391,74.219
1643495790.530,9.277,20.508,33.203,34.180,10.254
1643495790.533,26.367,17.090,39.551,40.039,32.715
1643495790.537,42.480,20.020,37.598,39.551,124.512
1643495790.541,32.715,26.367,31.250,28.809,86.426
1643495790.545,21.973,27.832,35.645,25.879,-15.625
1643495790.549,35.156,27.344,41.016,35.156,17.090
1643495790.551,54.199,27.832,35.645,38.086,79.102
1643495790.555,48.340,30.273,36.133,36.621,70.801
1643495790.559,19.531,28.320,32.715,21.973,11.719
1643495790.563,15.625,30.273,28.809,15.625,-30.273
1643495790.567,40.527,30.762,41.504,30.762,51.758
1643495790.571,40.039,29.785,51.758,29.297,104.980
1643495790.575,13.184,34.180,43.945,17.090,22.949
1643495790.578,0.488,32.715,38.574,11.230,-23.926
1643495790.582,9.277,28.320,38.086,3.418,36.621
1643495790.586,6.836,34.668,40.039,-3.906,115.234
1643495790.590,-27.344,41.016,46.875,-20.996,57.129
1643495790.594,-55.176,32.227,47.852,-34.180,-52.246
1643495790.596,-41.016,29.297,48.828,-35.645,-20.508
1643495790.600,-17.578,33.691,55.176,-24.902,77.637
1643495790.604,-39.551,37.109,59.570,-23.438,59.082
1643495790.608,-65.430,39.551,60.547,-39.062,-29.297
1643495790.612,-57.129,41.992,66.895,-45.898,-47.852
1643495790.616,-58.105,41.016,77.148,-62.012,47.363
1643495790.620,-72.266,38.574,73.730,-77.637,66.406
1643495790.623,-81.055,40.527,63.965,-74.707,-34.180
1643495790.627,-72.266,36.133,64.941,-70.801,-99.609
1643495790.631,-45.410,32.715,68.848,-57.617,-22.461
1643495790.635,-41.504,34.668,62.500,-50.293,87.402
1643495790.639,-45.898,27.832,49.316,-39.062,6.836
1643495790.641,-33.203,23.926,42.969,-23.438,-88.379
1643495790.645,-13.672,23.438,40.039,-12.695,-27.344
1643495790.649,15.625,20.020,34.180,6.836,81.543
1643495790.653,17.578,24.902,22.949,13.184,26.855
1643495790.657,11.230,26.367,16.602,15.137,-44.922
1643495790.661,31.250,21.973,15.625,27.832,-38.574
1643495790.665,52.246,21.973,16.602,35.645,43.457
1643495790.668,44.434,20.508,10.742,38.574,42.480
1643495790.672,30.762,20.996,3.418,41.504,-78.613
1643495790.676,37.109,20.020,8.789,47.852,-54.688
1643495790.680,63.477,20.996,11.719,56.641,74.219
1643495790.684,65.430,23.438,10.742,64.453,74.707
1643495790.686,46.875,17.090,7.812,64.941,-21.484
1643495790.690,47.363,14.648,7.324,64.453,-61.523
