timestamps,TP9,AF7,AF8,TP10,Right AUX
1642356466.756,1.953,29.785,27.832,7.812,-20.996
1642356466.760,18.555,26.855,29.785,19.531,37.109
1642356466.764,29.297,31.738,37.109,36.133,67.383
1642356466.768,36.133,37.598,35.156,35.156,18.066
1642356466.772,27.832,32.715,39.062,23.926,41.016
1642356466.776,18.555,27.832,54.199,4.883,-9.277
1642356466.780,29.785,39.062,45.898,18.066,-23.438
1642356466.783,14.648,40.039,22.461,17.090,19.043
1642356466.787,-2.441,27.344,41.504,-5.371,19.531
1642356466.791,29.297,34.180,56.152,17.578,-20.020
1642356466.795,40.039,38.574,33.691,28.809,-37.598
1642356466.799,28.809,35.156,28.320,25.879,41.016
1642356466.802,24.902,33.691,39.062,24.902,87.891
1642356466.806,8.301,25.391,41.016,3.418,17.578
1642356466.810,1.953,23.926,51.758,-12.695,-25.391
1642356466.814,13.184,36.133,56.152,0.488,-31.738
1642356466.818,20.020,39.062,49.316,5.859,15.625
1642356466.822,20.508,33.691,52.246,9.277,43.945
1642356466.826,16.113,28.320,55.664,11.719,8.789
1642356466.829,12.207,25.391,58.105,4.395,33.203
1642356466.833,4.883,28.809,54.199,-4.395,56.152
1642356466.837,5.371,34.180,51.758,3.418,32.227
1642356466.841,14.160,37.598,54.199,20.508,19.531
1642356466.845,11.230,36.133,51.758,8.789,17.090
1642356466.846,9.766,30.273,49.805,2.930,48.340
1642356466.850,18.066,32.227,47.363,3.418,45.898
1642356466.854,16.602,34.180,41.016,0.488,26.367
1642356466.858,11.230,30.762,39.551,9.277,72.266
1642356466.862,19.043,29.785,37.598,23.438,66.406
1642356466.866,25.879,32.715,28.320,34.180,43.945
1642356466.870,33.691,35.645,20.996,41.504,26.367
1642356466.873,40.039,34.668,19.531,39.062,6.836
1642356466.877,34.180,32.227,23.926,29.297,60.547
1642356466.881,28.809,36.133,24.414,26.855,87.891
1642356466.885,43.457,38.086,22.461,40.039,8.301
1642356466.889,47.363,38.574,21.973,44.434,7.324
1642356466.891,40.039,40.039,19.531,39.062,41.016
1642356466.895,41.504,37.598,16.602,54.688,21.484
1642356466.899,46.387,36.133,15.137,62.012,-5.859
1642356466.903,46.387,36.133,13.184,41.016,-13.184
1642356466.907,39.551,35.645,10.254,29.785,26.367
1642356466.911,40.527,35.156,8.789,28.320,114.746
1642356466.915,42.969,34.180,7.324,31.738,95.703
1642356466.918,43.457,34.668,9.277,40.039,34.668
1642356466.922,38.574,36.621,11.230,34.180,17.090
1642356466.926,37.598,36.621,11.719,37.109,-7.324
1642356466.930,35.645,33.691,14.648,40.527,31.250
1642356466.934,38.574,34.180,12.207,44.434,33.203
1642356466.951,39.062,35.645,12.695,49.805,13.672
1642356466.955,28.809,34.668,18.066,36.133,41.504
1642356466.959,36.133,39.551,15.625,30.762,1.465
1642356466.963,38.574,41.504,15.625,33.691,-5.859
1642356466.967,37.109,34.668,20.020,38.086,39.062
1642356466.971,38.086,36.133,20.020,43.457,12.207
1642356466.975,29.297,39.551,21.484,41.504,24.414
1642356466.978,30.762,39.062,19.043,44.434,-11.719
1642356466.982,30.273,37.109,17.090,38.086,-21.973
1642356466.986,28.320,34.668,19.531,25.879,13.184
1642356466.990,32.227,34.180,20.996,29.297,22.461
