timestamps,TP9,AF7,AF8,TP10,Right AUX
1642194781.634,31.738,34.668,35.645,26.855,35.156
1642194781.638,28.809,34.668,35.645,22.949,40.039
1642194781.642,35.645,36.621,34.180,19.043,55.664
1642194781.646,37.109,35.645,34.180,21.973,20.996
1642194781.650,36.133,35.156,31.738,28.320,27.344
1642194781.654,37.109,32.715,29.785,28.809,33.203
1642194781.658,35.156,33.691,29.785,29.785,20.020
1642194781.661,34.668,34.668,26.855,29.297,28.809
1642194781.665,39.551,32.715,29.297,24.902,20.508
1642194781.669,34.668,32.715,32.715,23.438,20.508
1642194781.673,32.227,31.738,29.785,27.832,-0.977
1642194781.677,34.180,31.738,31.738,26.855,24.902
1642194781.679,31.738,33.203,33.203,25.879,59.082
1642194781.683,31.738,33.203,31.738,21.973,72.266
1642194781.687,34.180,33.691,31.250,19.531,74.219
1642194781.691,31.738,35.156,30.762,24.902,68.848
1642194781.695,29.297,34.180,33.691,25.391,78.613
1642194781.699,27.832,35.645,28.809,25.391,69.824
1642194781.703,33.691,40.039,23.438,26.855,32.227
1642194781.706,32.715,37.109,25.391,25.391,36.133
1642194781.710,30.762,34.668,25.879,22.949,50.293
1642194781.714,36.133,37.598,27.832,22.461,76.172
1642194781.718,35.156,36.621,29.785,28.320,51.270
1642194781.722,39.062,37.109,28.809,31.738,21.973
1642194781.679,31.738,33.203,33.203,25.879,59.082
1642194781.683,31.738,33.203,31.738,21.973,72.266
1642194781.687,34.180,33.691,31.250,19.531,74.219
1642194781.691,31.738,35.156,30.762,24.902,68.848
1642194781.695,29.297,34.180,33.691,25.391,78.613
1642194781.699,27.832,35.645,28.809,25.391,69.824
1642194781.703,33.691,40.039,23.438,26.855,32.227
1642194781.706,32.715,37.109,25.391,25.391,36.133
1642194781.710,30.762,34.668,25.879,22.949,50.293
1642194781.714,36.133,37.598,27.832,22.461,76.172
1642194781.718,35.156,36.621,29.785,28.320,51.270
1642194781.722,39.062,37.109,28.809,31.738,21.973
1642194781.724,37.598,36.133,29.297,26.855,23.438
1642194781.728,32.715,34.668,27.832,25.391,17.578
1642194781.732,34.668,34.668,28.320,26.855,20.996
1642194781.736,40.039,34.180,28.809,29.785,51.270
1642194781.740,39.062,35.156,23.926,33.203,47.852
1642194781.744,32.227,33.691,23.926,30.273,25.391
1642194781.748,33.691,33.203,29.297,32.227,7.812
1642194781.751,34.668,33.203,29.785,31.738,18.555
1642194781.755,32.715,32.227,28.809,29.785,-0.977
1642194781.759,33.203,32.227,34.180,33.203,6.348
1642194781.763,31.738,32.715,32.715,35.156,24.902
1642194781.767,33.691,32.227,30.762,30.762,7.812
1642194781.724,37.598,36.133,29.297,26.855,23.438
1642194781.728,32.715,34.668,27.832,25.391,17.578
1642194781.732,34.668,34.668,28.320,26.855,20.996
1642194781.736,40.039,34.180,28.809,29.785,51.270
1642194781.740,39.062,35.156,23.926,33.203,47.852
1642194781.744,32.227,33.691,23.926,30.273,25.391
1642194781.748,33.691,33.203,29.297,32.227,7.812
