timestamps,TP9,AF7,AF8,TP10,Right AUX
1637884644.806,34.668,30.273,31.738,46.387,322.266
1637884644.810,13.184,31.738,26.367,-0.488,-286.621
1637884644.814,12.207,24.414,22.949,-2.930,-394.043
1637884644.818,35.645,20.020,26.367,41.016,214.844
1637884644.822,44.434,25.879,28.809,52.246,443.359
1637884644.826,23.438,33.203,28.809,13.184,-171.875
1637884644.830,5.371,26.367,32.227,-11.719,-407.715
1637884644.833,26.855,22.949,32.227,16.602,75.684
1637884644.837,43.945,28.809,28.809,44.434,520.508
1637884644.841,25.879,27.344,32.715,17.090,13.672
1637884644.845,9.277,25.391,31.250,-7.812,-354.980
1637884644.849,26.855,29.297,26.855,16.113,-107.910
1637884644.900,55.664,26.855,31.738,53.711,501.465
1637884644.904,39.062,28.320,30.762,32.227,238.281
1637884644.908,16.113,28.320,23.438,-2.441,-292.480
1637884644.912,24.902,24.902,27.832,9.277,-291.504
1637884644.916,48.340,24.902,31.250,46.387,340.332
1637884644.920,42.480,29.297,27.344,42.480,397.949
1637884644.924,19.531,30.762,31.738,4.395,-201.172
1637884644.927,15.625,26.367,32.227,-11.230,-374.023
1637884644.931,41.992,22.949,27.832,31.738,194.824
1637884644.935,48.340,24.902,26.367,54.199,526.367
1637884644.939,19.043,29.785,23.926,15.137,-102.539
1637884644.943,3.418,27.344,25.391,-9.766,-415.527
1637884644.920,27.832,25.391,28.320,24.902,-19.043
1637884644.924,48.828,29.785,28.809,59.570,520.996
1637884644.928,32.715,36.133,28.320,29.785,132.324
1637884644.932,16.113,30.762,27.832,-6.836,-354.004
1637884644.936,24.414,23.438,24.902,8.301,-241.699
1637884644.940,42.969,25.391,18.555,42.969,417.969
1637884644.944,30.762,25.391,21.484,23.926,263.184
1637884644.947,9.766,25.879,21.973,-5.859,-280.273
1637884644.951,13.184,26.855,23.926,-1.465,-279.785
1637884644.955,41.992,27.832,27.832,37.598,328.613
1637884644.959,43.457,30.762,23.926,48.340,439.453
1637884644.963,16.602,26.855,22.461,5.371,-127.930
1637884644.974,13.184,23.926,22.949,-15.137,-336.914
1637884644.978,36.133,26.367,23.438,23.438,124.512
1637884644.982,43.457,27.344,24.902,47.852,517.090
1637884644.986,18.066,29.785,23.438,11.719,-52.734
1637884644.990,3.418,27.344,23.926,-7.812,-421.875
1637884644.994,24.902,23.926,21.973,23.438,-90.820
1637884644.998,46.387,26.855,20.508,47.363,476.562
1637884645.001,30.762,30.273,21.973,20.508,86.426
1637884645.005,12.695,28.809,21.973,-6.836,-368.652
