timestamps,TP9,AF7,AF8,TP10,Right AUX
1637884410.223,28.320,24.902,36.621,23.926,5.371
1637884410.227,29.297,26.367,39.062,27.832,2.930
1637884410.231,30.273,28.809,34.668,39.062,55.664
1637884410.235,26.367,26.367,31.250,33.691,62.988
1637884410.239,25.391,26.367,35.645,22.949,18.555
1637884410.243,37.598,35.645,42.969,27.344,-3.418
1637884410.247,37.109,32.715,38.574,32.227,79.102
1637884410.250,30.273,23.926,34.668,30.273,32.715
1637884410.254,30.273,27.344,33.691,19.531,-25.879
1637884410.258,25.879,29.297,33.691,14.160,-19.531
1637884410.262,27.832,26.855,33.691,22.949,22.461
1637884410.266,28.809,27.832,31.738,20.020,67.871
1637884410.278,22.949,30.273,34.668,14.648,48.340
1637884410.282,20.020,31.250,32.715,22.949,48.828
1637884410.286,22.949,32.227,33.203,29.785,34.180
1637884410.290,27.832,30.762,30.762,29.785,75.195
1637884410.294,23.438,28.809,25.391,19.043,29.785
1637884410.298,13.184,25.879,28.809,11.719,-38.574
1637884410.302,15.625,27.344,29.297,16.113,11.230
1637884410.305,25.879,27.344,30.273,23.926,81.543
1637884410.309,20.996,22.461,32.227,22.461,2.930
1637884410.313,14.648,23.926,27.344,17.578,-1.953
1637884410.317,20.508,25.879,24.902,24.414,89.355
1637884410.321,23.438,27.344,28.320,29.297,107.422
1637884410.316,27.344,29.297,25.391,27.832,83.984
1637884410.320,37.109,31.738,24.902,28.320,12.207
1637884410.324,33.203,33.691,28.809,29.297,-21.484
1637884410.328,29.785,34.180,25.879,34.668,31.250
1637884410.332,33.691,34.668,24.414,38.574,38.574
1637884410.336,32.715,34.180,26.367,33.691,-0.488
1637884410.340,25.879,33.203,25.879,29.297,-6.836
1637884410.343,25.391,33.203,24.902,26.367,26.855
1637884410.347,28.320,30.762,27.832,22.949,76.172
1637884410.351,25.879,28.809,30.273,25.879,42.969
1637884410.355,24.414,31.250,27.832,23.926,-22.461
1637884410.359,26.367,29.297,26.367,25.879,-25.879
1637884410.372,32.715,27.344,27.344,32.227,34.180
1637884410.376,29.297,26.367,27.344,22.949,18.066
1637884410.380,24.902,22.461,28.320,17.090,0.000
1637884410.384,30.273,27.832,27.344,23.438,11.230
1637884410.388,29.785,26.855,25.391,26.367,47.852
1637884410.392,23.438,20.996,28.320,24.902,49.316
1637884410.396,21.484,22.949,28.809,16.113,13.184
1637884410.399,23.438,21.973,26.855,12.695,10.254
1637884410.403,25.391,24.902,25.879,20.020,16.602
1637884410.407,28.320,26.367,29.297,23.926,51.758
1637884410.411,28.320,23.438,28.320,21.484,20.020
1637884410.415,27.344,26.367,26.367,12.695,-6.348
1637884410.410,34.180,30.273,26.367,20.508,46.387
1637884410.414,37.598,29.785,26.855,32.227,93.262
1637884410.418,31.250,27.832,32.715,17.578,40.039
1637884410.422,28.809,28.809,31.738,14.648,-11.719
1637884410.426,34.180,31.738,33.203,25.879,-40.527
1637884410.430,38.086,32.715,33.203,25.391,38.574
1637884410.434,36.133,32.227,29.785,15.625,64.453
1637884410.437,30.273,34.180,31.738,18.066,13.184
1637884410.441,28.320,35.156,32.227,16.602,-27.832
1637884410.445,28.809,35.645,28.320,19.043,34.668
1637884410.449,25.879,35.645,27.344,25.391,103.516
1637884410.453,23.438,31.250,26.367,15.137,12.207
1637884410.466,23.926,30.273,24.902,15.137,-20.508
1637884410.470,28.320,30.762,23.926,24.902,23.926
1637884410.474,28.320,30.273,24.902,23.438,90.820
1637884410.478,24.902,31.738,25.391,15.625,14.160
1637884410.482,22.949,28.320,26.367,14.160,-9.766
1637884410.486,21.484,27.832,29.785,13.184,36.133
1637884410.490,25.391,30.762,30.762,12.695,64.941
1637884410.493,25.879,29.785,30.273,15.625,80.078
1637884410.497,21.973,28.320,29.297,16.113,14.648
1637884410.501,23.926,27.344,27.832,15.137,30.762
1637884410.505,31.250,30.273,32.227,27.832,86.914
1637884410.509,29.297,29.785,36.133,26.855,51.758
1637884410.505,22.949,25.879,32.227,21.973,-2.930
1637884410.509,24.902,28.320,25.879,25.391,3.418
1637884410.513,31.738,31.738,23.926,28.320,23.926
1637884410.517,31.250,29.297,29.297,31.250,67.383
1637884410.521,24.902,27.832,34.668,28.320,-19.043
1637884410.525,26.367,28.320,35.156,24.902,-38.574
1637884410.529,28.809,31.738,31.738,27.344,37.109
1637884410.532,27.344,34.668,32.227,31.738,87.402
1637884410.536,27.344,32.227,31.738,24.902,3.418
1637884410.540,27.344,29.297,35.645,19.043,-89.844
1637884410.544,25.391,31.250,33.691,19.531,11.719
1637884410.548,29.785,32.715,29.785,24.902,93.262
1637884410.560,27.344,28.809,30.762,22.949,38.574
1637884410.564,22.461,32.715,29.297,12.695,-7.324
1637884410.568,26.367,30.762,31.250,12.695,-17.578
1637884410.572,32.227,29.785,29.297,19.531,46.875
1637884410.576,34.668,35.645,27.832,23.926,96.191
1637884410.580,32.227,31.738,32.227,19.531,1.953
1637884410.584,29.785,29.785,32.715,18.066,-60.547
1637884410.587,31.250,31.738,30.762,32.227,2.441
1637884410.591,31.738,31.738,33.203,27.832,97.168
1637884410.595,30.762,34.180,32.715,11.719,64.941
1637884410.599,29.297,36.621,33.691,15.625,-20.020
1637884410.603,28.320,35.645,33.691,20.508,-16.113
1637884410.597,29.297,29.785,29.785,20.020,90.332
1637884410.601,25.879,28.320,30.273,19.531,72.754
1637884410.605,22.949,27.832,34.180,18.555,-7.324
1637884410.609,24.902,27.344,33.691,24.414,-3.418
1637884410.613,29.785,29.785,33.203,35.156,68.359
1637884410.617,28.809,30.762,34.180,33.691,44.922
1637884410.621,24.902,33.691,28.809,26.367,-6.348
1637884410.624,25.879,34.668,27.344,22.461,-15.137
1637884410.628,31.250,32.227,31.250,25.391,60.547
1637884410.632,28.809,34.180,32.227,22.461,89.355
1637884410.636,28.320,34.180,27.344,21.973,19.531
1637884410.640,29.297,31.738,26.367,26.855,1.465
1637884410.653,25.879,30.762,29.297,27.344,21.973
1637884410.657,28.809,30.762,32.227,24.414,50.781
1637884410.661,24.902,32.227,28.809,21.484,58.594
1637884410.665,25.391,33.203,24.902,20.508,29.785
1637884410.669,27.832,29.297,27.344,21.484,-5.371
1637884410.673,29.297,27.832,31.250,24.414,41.016
1637884410.677,26.855,28.809,30.762,17.090,23.438
1637884410.680,22.461,26.367,28.320,13.672,11.230
1637884410.684,30.273,25.391,31.250,21.973,-14.648
1637884410.688,33.203,26.855,28.809,21.484,24.902
1637884410.692,28.320,27.344,30.273,20.996,60.059
1637884410.696,26.367,28.320,28.320,19.043,59.082
1637884410.692,24.414,27.832,24.414,15.625,45.410
1637884410.696,28.809,24.902,28.809,20.996,32.227
1637884410.700,23.926,24.902,35.645,23.438,93.750
1637884410.704,18.555,25.879,34.180,16.113,50.781
1637884410.708,29.785,27.832,31.738,14.648,-8.789
1637884410.712,30.762,29.297,35.156,23.438,0.488
1637884410.716,26.367,28.320,37.598,25.391,83.984
1637884410.719,20.020,27.832,34.180,18.555,66.895
1637884410.723,11.230,24.414,31.738,7.812,-71.777
1637884410.727,14.648,24.902,35.156,18.066,-41.504
1637884410.731,21.484,28.320,33.203,30.762,89.355
1637884410.735,15.137,26.855,26.855,15.625,45.898
1637884410.747,10.742,24.902,25.879,6.348,-27.344
1637884410.751,18.555,28.320,28.320,10.742,-6.836
1637884410.755,27.344,35.156,32.227,20.996,68.359
1637884410.759,22.949,30.273,32.715,17.090,69.336
1637884410.763,17.578,26.855,31.250,12.695,9.277
1637884410.767,17.578,29.297,31.738,16.602,-36.621
1637884410.771,22.461,27.344,28.809,21.973,-4.395
1637884410.774,26.367,28.320,25.879,21.484,52.734
1637884410.778,22.461,29.785,29.297,15.625,7.324
1637884410.782,12.207,29.297,29.297,14.160,-44.434
1637884410.786,11.230,28.320,27.344,14.648,-34.180
1637884410.790,20.020,29.785,27.344,19.043,44.922
1637884410.785,24.902,30.762,27.344,17.090,6.836
1637884410.789,18.066,30.762,28.320,14.648,-44.434
1637884410.793,14.160,27.832,29.297,12.695,0.000
1637884410.797,18.066,28.809,25.391,13.184,85.449
1637884410.801,16.602,29.297,24.414,11.230,78.125
1637884410.805,13.672,29.297,25.391,9.766,-1.953
1637884410.809,17.090,32.715,25.879,14.648,-42.969
1637884410.812,24.414,29.297,30.273,20.508,54.199
1637884410.816,25.879,27.344,27.344,12.695,76.172
1637884410.820,28.809,31.250,28.320,12.207,-32.227
1637884410.824,30.762,33.203,27.344,19.043,-13.672
1637884410.828,28.809,31.738,23.438,17.090,41.016
1637884410.841,28.320,29.785,26.367,25.391,101.562
1637884410.845,21.973,25.391,29.297,22.949,41.504
1637884410.849,17.578,27.344,34.668,17.578,-84.961
1637884410.853,14.648,28.809,32.715,19.043,1.465
1637884410.857,15.625,27.344,30.273,22.949,101.562
1637884410.861,12.695,27.344,29.785,20.020,44.922
1637884410.865,13.672,26.367,31.250,15.137,-62.012
1637884410.868,18.066,27.832,32.227,20.508,-41.504
1637884410.872,23.438,29.297,27.344,31.250,40.527
1637884410.876,20.020,27.344,29.785,32.227,55.176
1637884410.880,20.020,27.832,32.227,20.020,59.082
1637884410.884,27.832,30.273,26.855,16.113,-1.465
1637884410.878,26.855,30.762,29.785,19.043,59.082
1637884410.882,22.461,28.320,33.691,19.043,130.371
1637884410.886,21.973,28.809,36.133,21.973,53.223
1637884410.890,22.461,26.855,38.086,23.438,37.109
1637884410.894,21.484,26.367,35.645,20.508,41.504
1637884410.898,22.949,26.855,31.250,22.461,59.082
1637884410.902,23.926,25.879,30.762,27.832,29.297
1637884410.905,25.879,25.391,32.715,25.391,-11.230
1637884410.909,34.180,28.809,32.715,20.508,-5.371
1637884410.913,38.086,32.227,33.691,30.273,57.129
1637884410.917,31.250,28.809,29.785,31.250,-4.395
1637884410.921,26.367,25.879,26.367,19.531,-67.383
1637884410.935,30.273,27.344,24.414,24.414,-43.457
1637884410.939,36.621,27.832,25.391,29.785,26.367
1637884410.943,33.691,26.367,27.344,26.367,90.332
1637884410.947,35.645,26.367,26.855,21.973,81.055
1637884410.951,41.016,32.227,29.785,24.902,7.812
1637884410.955,35.645,34.668,25.879,26.855,41.504
1637884410.959,31.738,30.273,22.949,26.855,50.781
1637884410.962,35.156,29.297,27.344,29.785,-15.625
1637884410.966,39.062,32.715,27.344,29.297,-38.574
1637884410.970,40.039,33.691,26.367,37.109,4.883
1637884410.974,41.992,31.738,31.738,40.039,71.289
1637884410.978,40.039,32.715,34.180,29.785,11.719
1637884410.972,36.621,32.227,30.762,20.020,-19.043
1637884410.976,36.133,33.203,28.320,24.414,-10.742
1637884410.980,36.621,35.645,30.762,31.738,78.613
1637884410.984,31.738,33.203,32.227,26.367,87.402
1637884410.988,30.273,32.715,27.344,20.020,35.645
1637884410.992,31.250,34.668,26.855,20.508,28.320
1637884410.996,36.621,37.598,32.715,26.855,80.078
1637884410.999,36.621,39.062,28.320,27.832,88.867
1637884411.003,25.879,30.273,25.879,14.648,-1.953
1637884411.007,20.996,25.391,29.297,7.812,-41.992
1637884411.011,22.461,29.297,23.926,11.719,31.738
1637884411.015,21.973,28.809,28.320,17.090,65.918
1637884411.028,21.484,27.832,31.738,19.043,-15.137
1637884411.032,20.996,29.297,29.297,13.672,-31.738
1637884411.036,24.414,28.809,36.621,20.508,23.926
1637884411.040,28.809,32.227,40.527,29.785,76.172
1637884411.044,21.484,30.762,39.062,25.391,49.316
1637884411.048,21.973,29.785,40.527,21.484,-14.648
