timestamps,TP9,AF7,AF8,TP10,Right AUX
1642303585.417,-682.129,638.672,-363.770,120.605,4.883
1642303585.421,-450.195,708.496,-236.816,120.117,18.066
1642303585.425,734.863,623.047,-218.750,83.008,10.254
1642303585.429,761.719,552.246,-274.414,67.871,29.297
1642303585.433,-403.320,579.102,-206.055,87.891,59.082
1642303585.437,-651.367,548.828,-375.977,100.586,41.016
1642303585.441,470.215,608.398,-500.000,75.684,34.180
1642303585.444,930.176,684.570,-437.500,79.102,20.996
1642303585.448,-95.703,810.547,-194.824,93.750,22.461
1642303585.452,-758.789,732.910,-83.496,101.562,34.668
1642303585.456,126.465,671.875,-174.316,89.844,16.602
1642303585.460,-988.770,743.652,-36.133,80.566,17.090
1642303585.460,-988.770,743.652,-36.133,80.566,17.090
1642303585.462,274.414,708.496,129.883,107.422,53.223
1642303585.466,-750.977,489.746,-156.250,112.793,30.273
1642303585.470,-221.680,357.910,-572.266,83.984,-5.859
1642303585.474,899.902,514.648,-300.293,74.219,54.688
1642303585.478,588.867,432.617,-25.879,64.453,54.199
1642303585.482,-605.469,114.746,-470.703,88.379,26.367
1642303585.486,-532.227,-78.125,-947.266,70.312,0.488
1642303585.489,664.551,201.660,-796.875,39.062,-9.277
1642303585.493,834.961,533.203,-92.285,74.707,52.734
1642303585.497,-319.824,242.676,-58.594,96.680,44.434
1642303585.501,-707.031,74.219,-429.688,84.961,21.973
1642303585.505,360.352,270.020,-185.059,36.133,58.594
1642303585.522,965.332,277.832,91.309,37.598,54.199
1642303585.526,-10.254,51.270,-208.984,84.961,14.648
1642303585.530,-815.918,-2.930,-502.441,90.332,21.484
1642303585.534,1.953,148.438,-341.309,50.781,30.273
1642303585.538,961.426,201.172,-42.969,37.598,28.320
1642303585.542,324.707,-39.551,-304.688,51.758,13.672
1642303585.546,-747.559,-128.418,-797.852,83.008,1.953
1642303585.549,-308.105,155.273,-643.066,71.777,6.348
1642303585.553,853.516,406.738,-66.895,55.176,27.832
1642303585.557,643.555,228.027,20.508,61.523,6.348
1642303585.561,-543.457,-30.762,-371.582,78.613,-27.832
1642303585.565,-579.102,57.617,-352.051,77.637,1.953
1642303585.567,586.914,161.621,-39.551,48.340,20.020
1642303585.571,833.984,-51.270,-249.023,54.199,-9.277
1642303585.575,-288.574,-87.891,-553.711,58.594,9.766
1642303585.579,-752.441,145.508,-275.391,62.012,37.109
1642303585.583,257.812,206.055,-38.574,46.875,20.996
1642303585.587,941.406,163.086,27.344,38.574,25.879
1642303585.591,40.527,75.684,-205.078,44.922,8.789
1642303585.594,-797.852,218.262,-318.848,61.035,11.719
1642303585.598,-84.961,382.812,-103.027,40.527,37.598
1642303585.602,904.785,171.875,-252.930,15.137,21.484
1642303585.606,408.203,142.578,-415.527,39.062,17.090
1642303585.610,-713.867,248.535,-155.762,75.195,22.949
1642303585.612,-434.570,126.953,-156.738,60.059,6.348
1642303585.616,751.465,217.285,21.484,37.109,37.109
1642303585.620,691.895,207.031,250.977,36.133,37.109
1642303585.624,-491.699,-19.531,47.363,60.059,25.391
1642303585.628,-655.273,-193.359,-287.598,57.129,21.484
1642303585.632,488.770,-193.359,-496.094,3.418,1.953
1642303585.636,887.695,20.996,-361.816,14.160,23.438
1642303585.639,-196.289,190.918,-48.340,43.945,43.945
1642303585.643,-812.988,33.203,-220.215,56.152,30.762
1642303585.647,122.559,61.035,-478.516,27.832,8.301
1642303585.651,922.852,387.207,93.750,5.371,45.410
1642303585.655,122.559,301.758,246.582,23.438,36.621
1642303585.657,-823.730,223.145,-166.504,59.570,15.137
1642303585.661,-214.355,419.922,-108.887,27.832,22.461
1642303585.665,856.445,527.832,313.965,-1.953,19.043
1642303585.669,446.777,287.109,253.418,19.531,0.488
1642303585.673,-707.520,51.270,-203.613,52.734,-9.277
1642303585.677,-530.273,128.906,-391.602,44.922,23.438
1642303585.681,663.086,350.098,-184.082,22.461,32.227
1642303585.684,721.680,385.742,54.199,47.363,23.926
1642303585.688,-470.703,127.930,-377.441,45.410,0.000
1642303585.692,-707.031,189.453,-574.219,30.273,-0.488
1642303585.696,427.246,393.555,42.969,22.949,31.250
1642303585.700,882.812,251.953,149.902,19.531,8.789
1642303585.703,-145.508,213.379,-10.254,50.293,21.484
1642303585.707,-830.078,190.430,-89.844,61.523,27.832
1642303585.711,38.086,179.688,-152.832,28.809,24.414
1642303585.715,915.527,211.914,-113.770,18.066,30.762
1642303585.719,216.309,185.059,-132.812,34.668,25.391
1642303585.723,-796.387,190.918,-219.727,67.871,38.574
1642303585.727,-293.457,187.988,-289.551,36.133,26.855
1642303585.730,810.059,147.949,-283.203,2.441,20.020
1642303585.734,514.160,106.445,-370.605,15.625,19.043
1642303585.738,-641.602,227.539,-187.500,31.738,33.691
1642303585.742,-586.426,215.820,-40.527,32.227,33.691
1642303585.746,586.426,268.555,10.254,1.465,27.344
1642303585.747,760.742,328.125,224.609,-2.930,56.641
1642303585.751,-389.648,104.980,131.348,19.531,36.621
1642303585.755,-773.438,-35.156,-196.289,36.621,21.484
1642303585.759,294.434,140.137,-104.492,17.578,66.406
1642303585.763,920.410,177.246,112.793,11.230,74.219
1642303585.767,-10.742,13.672,-132.324,39.062,43.945
1642303585.771,-825.195,34.668,-385.254,50.781,43.945
1642303585.774,-86.914,-16.113,-665.039,21.484,17.578
1642303585.778,887.207,180.176,-527.344,13.672,17.090
1642303585.782,312.012,386.719,111.328,42.480,43.457
1642303585.786,-770.020,138.184,-4.395,73.730,20.508
1642303585.790,-387.207,94.727,-147.949,51.270,37.109
1642303585.792,772.461,180.176,176.758,23.438,62.012
1642303585.796,611.816,45.898,206.543,32.227,36.621
1642303585.800,-581.543,-133.301,-234.375,51.758,13.672
1642303585.804,-635.254,-48.828,-333.984,51.758,49.316
1642303585.808,534.180,32.227,-83.008,18.066,49.805
1642303585.812,833.984,7.812,-63.477,9.766,30.762
1642303585.816,-279.785,-102.051,-354.004,42.480,29.297
1642303585.819,-805.664,-125.488,-779.785,55.664,7.812
1642303585.823,187.012,262.207,-450.195,22.949,1.953
1642303585.827,917.969,460.938,244.141,15.625,20.020
1642303585.831,62.988,259.277,208.496,27.832,44.434
1642303585.835,-835.449,218.262,-82.520,33.691,40.039
1642303585.837,-152.344,412.598,96.680,7.812,26.855
1642303585.841,887.695,461.426,330.078,11.230,23.926
1642303585.845,390.625,355.957,238.770,35.645,25.879
1642303585.849,-722.168,201.172,-88.379,39.551,3.906
1642303585.853,-434.570,145.996,-173.828,30.273,1.465
1642303585.857,723.145,109.375,-130.859,-9.277,10.742
1642303585.861,653.320,-57.129,-481.445,-17.090,5.371
1642303585.864,-518.066,14.160,-605.469,26.367,17.090
1642303585.868,-680.176,198.242,-263.672,36.621,14.160
1642303585.872,447.266,175.293,-74.219,3.418,2.441
1642303585.876,855.469,104.492,-33.691,-0.977,19.043
1642303585.880,-199.707,63.477,-172.363,23.926,18.555
1642303585.883,-816.406,156.738,-136.230,37.109,25.879
1642303585.887,94.727,155.273,-92.773,4.883,29.297
1642303585.891,909.180,171.875,-88.867,4.883,15.625
1642303585.895,152.832,198.730,51.758,31.250,22.949
1642303585.899,-806.641,50.293,-18.066,55.664,33.203
1642303585.903,-253.906,-176.270,-422.363,27.832,15.137
1642303585.907,831.055,-117.188,-589.355,6.836,1.953
1642303585.910,477.539,183.105,-153.320,30.273,14.160
1642303585.914,-687.500,174.316,37.109,43.945,33.203
1642303585.918,-548.340,62.500,-187.988,23.438,4.395
1642303585.922,639.648,115.723,-83.984,-1.953,13.184
1642303585.926,749.512,94.238,196.289,13.184,42.480
1642303585.943,-430.176,-78.125,-12.207,37.598,19.043
1642303585.947,-760.254,-116.211,-376.953,42.480,8.789
1642303585.951,349.609,75.195,-333.008,15.137,11.719
1642303585.955,888.672,265.625,94.238,4.883,20.508
1642303585.959,-108.887,149.902,227.539,32.715,41.504
1642303585.963,-841.797,-181.641,-362.305,41.504,31.250
1642303585.967,-1.953,-125.000,-685.547,11.719,7.812
1642303585.970,923.340,247.070,-44.922,16.602,32.227
1642303585.974,244.141,156.250,245.117,41.504,41.992
1642303585.978,-808.594,-58.105,-186.035,49.805,38.086
1642303585.982,-328.125,149.902,-129.883,22.949,58.105
1642303585.986,831.055,321.289,343.750,18.555,58.105
1642303585.987,590.332,186.035,354.492,39.062,55.176
1642303585.991,-604.980,-66.895,-73.730,46.875,0.977
1642303585.995,-596.680,-26.855,-298.340,26.855,-37.598
1642303585.999,569.336,196.289,1.953,-4.395,7.812
1642303586.003,775.391,193.848,145.020,-5.859,17.578
1642303586.007,-354.492,24.414,-231.445,33.203,-3.906
1642303586.011,-781.250,90.332,-417.969,43.457,14.160
1642303586.014,251.465,364.258,75.684,15.137,58.594
1642303586.018,906.250,227.051,220.703,-2.441,48.340
1642303586.022,-24.902,-43.945,-391.602,0.000,20.508
1642303586.026,-846.191,88.867,-444.824,44.922,41.016
1642303586.030,-80.566,157.227,-57.617,27.832,49.316
1642303586.032,899.414,111.816,97.168,18.555,25.879
1642303586.036,338.379,91.797,114.746,34.180,37.598
1642303586.040,-762.207,44.434,52.246,46.875,62.500
1642303586.044,-443.359,-6.836,-104.004,48.340,32.227
1642303586.048,722.168,79.590,-93.262,30.273,12.695
1642303586.052,606.445,150.879,-68.848,13.672,23.438
1642303586.056,-577.637,83.008,-276.855,14.160,22.461
1642303586.059,-656.738,56.641,-395.020,7.812,7.324
1642303586.063,505.371,-9.277,-585.449,-22.461,-14.160
1642303586.067,837.891,138.184,-585.449,-16.113,-19.531
1642303586.071,-236.328,336.914,-108.398,33.691,4.883
1642303586.075,-797.852,168.457,-24.414,54.688,27.344
1642303586.077,155.762,123.535,-65.430,22.949,6.836
1642303586.081,922.363,198.730,204.590,27.344,17.090
1642303586.085,88.867,60.059,208.984,49.805,36.621
1642303586.089,-825.684,-108.398,-187.500,59.570,23.926
1642303586.093,-168.457,-26.367,-285.156,19.531,16.113
1642303586.097,886.719,49.805,-117.188,3.418,30.762
1642303586.101,440.918,23.438,-73.242,28.809,47.852
1642303586.104,-717.285,-166.992,-432.617,45.898,6.836
1642303586.108,-504.883,-197.266,-824.219,35.156,-20.020
1642303586.112,693.848,217.285,-199.707,-1.953,30.762
1642303586.116,695.801,183.105,268.555,5.859,62.988
1642303586.120,-512.207,-114.258,-182.617,40.039,39.062
1642303586.122,-725.098,-57.617,-334.473,43.945,44.434
1642303586.126,412.109,77.637,83.984,35.156,61.035
1642303586.130,853.516,-34.668,230.957,29.785,41.016
1642303586.134,-182.129,-209.473,-130.859,23.438,8.789
1642303586.138,-818.359,-184.082,-388.184,43.457,-6.836
1642303586.142,64.453,-72.754,-339.844,18.555,5.371
1642303586.146,896.484,60.059,-138.184,13.672,27.832
1642303586.149,140.625,-48.340,-356.445,27.832,4.883
1642303586.153,-846.680,68.359,-492.676,33.691,0.977
1642303586.157,-270.996,365.723,40.039,25.879,25.879
1642303586.161,827.637,337.402,359.375,7.324,37.109
1642303586.165,487.793,263.184,373.047,18.555,50.781
1642303586.168,-666.992,142.578,156.738,35.156,31.738
1642303586.172,-553.711,102.539,-97.168,26.855,9.277
1642303586.176,627.441,135.742,-106.445,8.301,16.602
1642303586.180,757.324,33.203,-103.027,16.602,16.113
1642303586.184,-381.836,-49.805,-139.648,46.387,10.742
1642303586.188,-722.168,-109.375,-295.898,48.828,29.785
1642303586.192,334.961,-149.414,-444.824,11.719,23.926
1642303586.195,892.578,-153.320,-485.352,2.930,-9.766
1642303586.199,-68.359,-21.484,-230.957,14.648,3.906
1642303586.203,-830.078,-8.301,-5.859,38.086,45.898
1642303586.207,-20.020,46.387,45.898,14.160,51.758
1642303586.211,916.016,127.441,216.797,-3.906,30.762
1642303586.212,286.621,77.637,291.504,21.484,20.508
1642303586.216,-786.621,-61.523,90.332,29.297,24.414
1642303586.220,-376.465,-29.297,-28.320,7.324,37.598
1642303586.224,788.574,184.082,298.828,-11.719,63.965
1642303586.228,568.359,99.121,387.207,-6.348,47.852
1642303586.232,-645.020,-86.914,-7.812,13.672,14.160
1642303586.236,-656.738,-78.125,-358.398,-19.043,23.438
1642303586.239,527.832,197.266,-31.250,-62.988,40.039
1642303586.243,760.254,370.117,665.039,-76.660,52.246
1642303586.247,-389.648,111.816,569.824,-50.293,28.809
1642303586.251,-860.840,-85.938,20.996,-37.109,-10.742
1642303586.255,157.227,132.324,243.164,-73.242,15.137
1642303586.271,832.520,227.539,820.312,-80.078,46.875
1642303586.275,-66.895,121.094,825.684,-94.727,74.219
1642303586.279,-929.688,126.465,585.449,-100.098,49.805
1642303586.283,-218.750,265.137,658.203,-111.328,19.043
1642303586.287,774.902,320.801,988.281,-137.695,43.945
1642303586.291,208.984,91.309,736.816,-133.789,34.180
1642303586.295,-896.484,26.855,277.832,-127.441,15.625
1642303586.298,-568.359,288.086,418.457,-160.156,-0.488
1642303586.302,574.707,481.934,869.141,-200.684,20.996
1642303586.306,473.145,281.738,863.770,-175.293,36.621
1642303586.310,-694.336,85.449,479.004,-128.906,9.277
1642303586.314,-816.406,268.555,604.492,-150.391,10.742
1642303586.317,329.590,348.145,908.203,-178.223,40.039
1642303586.321,712.891,254.395,992.676,-147.949,41.504
1642303586.325,-369.629,61.035,769.043,-118.652,21.484
1642303586.329,-940.430,-20.996,531.738,-114.258,15.625
1642303586.333,47.363,105.469,630.859,-145.508,41.016
1642303586.337,838.867,154.297,688.965,-153.320,35.645
1642303586.341,3.906,-3.906,453.613,-113.281,8.301
1642303586.344,-909.180,-140.137,222.168,-71.289,-10.254
1642303586.348,-275.391,-152.344,291.992,-75.684,-9.277
1642303586.352,750.000,-205.566,190.918,-121.582,-1.465
1642303586.356,346.191,-98.633,177.246,-125.000,7.812
1642303586.360,-753.906,46.875,472.656,-67.383,10.254
1642303586.362,-562.012,48.340,500.977,-74.219,13.672
1642303586.366,613.281,195.801,599.121,-78.613,20.508
1642303586.370,671.875,332.031,855.957,-66.406,7.324
1642303586.374,-516.113,213.379,812.012,-70.312,23.926
1642303586.378,-773.438,78.613,517.090,-47.363,24.902
1642303586.382,372.559,68.359,363.770,-62.012,9.277
1642303586.386,866.699,45.410,503.906,-50.781,47.852
1642303586.389,-167.969,-162.598,467.285,-32.227,48.828
1642303586.393,-855.957,-431.641,48.340,-22.461,25.391
1642303586.397,-5.859,-459.961,-310.547,-72.266,-22.949
1642303586.401,869.141,-198.730,163.574,-96.680,-16.602
1642303586.405,197.754,-416.504,477.539,-31.250,25.391
1642303586.421,-831.543,-860.840,62.988,-22.949,17.090
1642303586.425,-321.777,-982.422,-240.723,-48.340,-2.930
1642303586.429,820.801,-958.984,59.082,-61.523,25.879
1642303586.433,500.488,-971.680,243.164,-68.848,27.344
1642303586.437,-701.660,-971.191,-91.797,-55.176,-9.277
1642303586.441,-629.395,-971.191,-312.012,-81.543,-28.320
1642303586.445,569.824,-971.191,-13.672,-95.215,4.883
1642303586.448,728.516,-971.191,295.898,-88.867,0.000
1642303586.452,-463.867,-971.191,-139.160,-111.328,-60.059
1642303586.456,-816.895,-971.191,-252.441,-104.004,-43.945
1642303586.460,296.387,-971.191,247.070,-121.582,-2.930
1642303586.464,877.441,-971.191,439.453,-141.113,3.906
1642303586.453,-92.285,-971.191,417.969,-129.395,-6.836
1642303586.457,-868.652,-971.191,401.367,-130.859,4.395
1642303586.461,-69.824,-971.191,499.512,-181.641,2.441
1642303586.465,882.812,-971.191,537.598,-230.957,-13.184
1642303586.469,267.578,-971.191,396.484,-225.586,-20.996
1642303586.473,-808.105,-971.191,267.578,-170.410,9.277
1642303586.477,-417.480,-971.191,251.953,-179.688,23.926
1642303586.480,725.586,-971.191,277.832,-222.168,2.930
1642303586.484,553.223,-971.191,315.918,-211.426,4.395
1642303586.488,-623.535,-971.191,328.613,-190.430,-1.953
1642303586.492,-685.547,-971.191,347.168,-199.707,7.812
1642303586.496,472.168,-971.191,166.504,-215.820,-20.996
1642303586.497,769.531,-971.191,2.930,-209.473,-25.879
