timestamps,TP9,AF7,AF8,TP10,Right AUX
1642303677.938,-351.562,86.914,-362.793,33.203,48.828
1642303677.942,701.660,86.426,-136.230,1.953,30.273
1642303677.946,551.758,59.570,-174.805,12.695,31.738
1642303677.950,-541.504,38.574,-374.512,46.387,30.762
1642303677.954,-607.910,41.992,-423.828,44.922,20.508
1642303677.958,460.938,45.898,-419.922,4.395,1.465
1642303677.962,729.980,19.043,-565.430,-9.277,3.418
1642303677.965,-292.969,22.949,-796.387,31.738,10.254
1642303677.969,-733.887,77.637,-601.074,58.105,23.438
1642303677.973,187.012,85.938,-264.648,21.484,44.922
1642303677.977,844.727,85.938,-122.070,18.555,50.293
1642303677.981,40.527,54.199,-269.531,22.949,42.969
1642303677.985,-774.902,39.551,-507.324,43.457,30.762
1642303677.989,-145.508,61.035,-427.734,25.391,18.066
1642303677.993,789.062,61.523,-368.652,-2.930,13.672
1642303677.997,346.680,80.566,-268.066,11.230,59.570
1642303678.001,-689.453,58.105,-243.164,34.668,66.895
1642303678.005,-428.711,20.508,-538.086,26.367,-1.465
1642303678.009,641.602,34.180,-777.832,-16.602,-11.719
1642303678.012,599.121,85.449,-559.082,-11.230,25.391
1642303678.016,-467.773,81.543,-271.973,32.227,45.898
1642303678.020,-645.996,39.062,-454.102,35.156,17.090
1642303678.024,395.020,58.594,-452.637,7.324,-1.953
1642303678.028,776.855,79.102,-141.113,8.301,32.227
1642303678.044,-199.219,30.762,-214.355,27.344,13.672
1642303678.048,-763.184,8.301,-517.578,37.598,3.418
1642303678.052,86.426,43.945,-565.918,0.488,20.020
1642303678.056,822.266,85.449,-328.125,0.488,12.695
1642303678.060,110.352,68.359,-233.398,30.273,1.465
1642303678.064,-772.461,-6.836,-622.070,52.246,9.277
1642303678.068,-226.074,5.859,-970.215,22.949,12.695
1642303678.071,782.227,101.074,-547.363,-8.789,18.066
1642303678.075,422.363,82.520,-145.020,14.648,31.738
1642303678.079,-633.301,41.992,-328.125,42.969,41.504
1642303678.083,-485.352,45.898,-413.086,41.016,36.133
1642303678.087,599.121,73.242,-180.176,6.348,34.668
1642303678.089,652.832,58.105,-97.168,-4.395,26.855
1642303678.093,-428.223,18.066,-375.488,29.785,8.301
1642303678.097,-676.758,33.691,-488.770,44.434,27.344
1642303678.101,329.102,63.965,-287.109,21.973,34.180
1642303678.105,783.691,51.270,-152.832,14.160,33.203
1642303678.109,-143.555,7.324,-410.156,13.184,28.809
1642303678.113,-777.344,7.812,-705.566,34.180,17.578
1642303678.116,25.391,37.109,-687.988,20.508,-0.488
1642303678.120,837.891,52.734,-479.492,0.977,5.371
1642303678.124,180.176,-0.488,-728.516,-1.953,-6.836
1642303678.128,-748.535,28.809,-904.297,22.461,-3.418
1642303678.132,-269.531,94.727,-440.430,29.785,25.879
1642303678.134,751.465,62.500,-254.883,3.418,-1.953
1642303678.138,491.211,51.758,-224.121,15.137,22.949
1642303678.142,-585.449,49.805,-206.543,33.203,54.688
1642303678.146,-540.039,62.012,-264.160,16.113,39.062
1642303678.150,531.738,80.078,-179.199,-8.301,49.316
1642303678.154,685.547,55.664,-235.352,-3.906,37.109
1642303678.158,-352.539,26.855,-503.906,47.852,4.883
1642303678.161,-729.492,61.523,-556.152,33.203,10.742
1642303678.165,175.293,64.453,-561.035,-63.965,4.883
1642303678.169,708.984,51.758,-720.703,-93.750,-18.066
1642303678.173,-124.023,109.863,-438.477,-71.777,11.719
1642303678.177,-872.559,102.539,-196.777,-62.988,49.805
1642303678.178,-215.332,105.957,-199.219,-126.953,44.922
1642303678.182,634.766,125.488,-36.133,-194.824,30.762
1642303678.186,72.754,110.352,55.176,-190.430,35.645
1642303678.190,-925.781,83.984,-129.883,-180.664,35.156
1642303678.194,-615.234,86.914,-354.980,-227.051,15.137
1642303678.198,431.152,135.254,-275.391,-277.344,35.156
1642303678.202,264.648,156.250,-115.723,-279.297,62.988
1642303678.205,-788.574,97.656,-304.199,-260.742,3.906
1642303678.209,-838.379,75.195,-780.273,-290.039,-45.898
1642303678.213,198.242,189.941,-516.602,-320.801,20.508
1642303678.217,478.027,214.355,129.395,-308.105,71.289
1642303678.221,-522.949,109.863,-146.484,-284.668,42.969
1642303678.224,-983.887,118.652,-511.230,-263.184,30.273
1642303678.228,-89.355,194.824,-206.543,-282.715,52.734
1642303678.232,578.125,172.363,65.430,-273.926,53.711
1642303678.236,-193.848,133.301,-160.645,-248.535,31.738
1642303678.240,-983.887,122.559,-424.316,-224.121,24.902
1642303678.244,-364.258,125.488,-450.195,-222.168,37.598
1642303678.248,592.285,165.527,-255.371,-220.215,54.688
1642303678.251,133.301,112.793,-355.469,-191.406,25.391
1642303678.255,-894.531,68.359,-826.660,-158.203,-14.160
1642303678.259,-610.352,157.227,-589.844,-154.297,21.973
1642303678.263,476.074,176.270,-176.270,-185.547,38.086
1642303678.267,444.824,146.484,-145.020,-180.176,31.738
1642303678.268,-620.605,125.000,-285.156,-143.066,41.992
