timestamps,TP9,AF7,AF8,TP10,Right AUX
1644359859.161,254.395,8.789,82.520,145.020,34.668
1644359859.165,71.777,-14.648,98.633,169.922,13.184
1644359859.169,-237.305,-47.363,66.895,168.945,11.719
1644359859.173,-89.355,-11.719,59.082,147.949,28.320
1644359859.177,245.117,24.414,67.871,154.785,31.250
1644359859.181,223.145,-28.809,15.137,162.598,18.555
1644359859.185,-85.938,-29.785,26.855,215.820,12.695
1644359859.188,-138.672,28.320,69.336,176.758,39.062
1644359859.192,127.930,-4.395,39.062,77.637,21.973
1644359859.196,184.570,-21.484,36.621,39.551,19.043
1644359859.200,-113.770,-11.230,71.289,41.016,13.672
1644359859.204,-239.746,-28.809,80.078,65.430,28.809
1644359859.205,102.539,-35.645,58.594,-20.996,52.246
1644359859.209,246.582,-8.789,53.711,-62.500,3.906
1644359859.213,14.160,-2.930,61.035,-31.250,7.324
1644359859.217,-187.012,-30.273,61.035,-20.020,-1.465
1644359859.221,66.406,-39.062,67.871,-85.938,7.812
1644359859.225,257.324,6.836,68.359,-226.562,33.691
1644359859.229,41.504,6.836,34.180,-317.383,-0.488
1644359859.232,-226.562,10.254,27.344,-280.273,24.414
1644359859.236,-96.191,-12.695,12.207,-321.289,55.664
1644359859.240,196.777,-44.922,44.922,-375.000,56.641
1644359859.244,154.297,-15.137,78.125,-365.723,81.543
1644359859.248,-155.762,5.859,54.688,-284.668,80.566
1644359859.266,-160.645,-2.441,49.316,-237.793,26.367
1644359859.270,173.828,-3.906,72.754,-269.043,-3.906
1644359859.274,260.742,-10.742,69.824,-227.051,27.832
1644359859.278,-21.484,-29.785,46.387,-223.145,49.805
1644359859.282,-162.598,-40.527,75.195,-210.449,51.270
1644359859.286,112.793,-15.625,56.641,-212.402,40.527
1644359859.290,216.309,-2.441,19.043,-282.715,0.488
1644359859.293,-19.043,-20.508,37.109,-281.250,42.969
1644359859.297,-218.750,-26.367,46.387,-155.273,38.086
1644359859.301,10.254,-29.297,42.969,-93.750,4.883
1644359859.305,284.668,-13.184,74.219,-81.055,40.039
1644359859.309,143.066,-38.574,64.453,-97.656,1.953
1644359859.280,-195.312,-52.734,48.828,-98.145,31.738
1644359859.284,-112.305,-3.418,37.598,-99.121,71.289
1644359859.288,210.449,-29.785,20.996,-114.258,17.090
1644359859.292,206.543,-31.738,63.965,-96.191,-11.719
1644359859.296,-103.516,-28.809,73.730,-55.664,14.160
1644359859.300,-158.203,-33.691,29.297,-29.297,45.898
1644359859.304,167.969,-14.160,25.879,-21.484,31.738
1644359859.307,262.695,-8.301,56.152,6.836,-7.812
1644359859.311,-23.438,-32.227,85.938,31.738,-6.348
1644359859.315,-205.566,-37.109,82.520,127.930,19.531
1644359859.319,68.848,-30.273,42.480,120.605,9.277
1644359859.323,239.258,-23.926,36.621,107.422,17.090
1644359859.329,44.922,-25.391,58.105,172.852,3.906
1644359859.333,-191.895,-57.129,39.551,236.328,15.625
