timestamps,TP9,AF7,AF8,TP10,Right AUX
1644351674.145,12.695,32.227,35.156,36.621,118.164
1644351674.149,21.973,32.715,26.367,27.344,100.098
1644351674.153,27.344,31.738,23.438,9.766,-76.660
1644351674.157,24.902,24.902,28.320,14.160,-79.590
1644351674.161,13.672,27.344,28.809,28.809,66.895
1644351674.165,4.883,34.668,22.461,20.996,133.301
1644351674.169,19.531,31.250,20.020,6.836,-16.113
1644351674.172,23.438,24.902,26.855,10.254,-69.336
1644351674.176,15.625,30.273,37.109,33.203,52.246
1644351674.180,21.484,41.504,51.270,47.363,115.723
1644351674.184,21.973,37.598,44.922,14.160,-25.391
1644351674.188,17.578,31.250,30.762,4.395,-52.734
1644351674.192,21.973,27.832,34.668,14.160,-15.137
1644351674.196,16.602,32.227,32.715,36.621,106.445
1644351674.200,15.137,39.551,35.645,23.438,112.793
1644351674.203,27.344,43.945,31.738,1.953,-53.223
1644351674.207,22.949,40.039,27.832,6.836,-52.246
1644351674.211,5.859,33.691,31.738,31.250,65.918
1644351674.215,6.348,32.227,37.598,35.156,92.773
1644351674.219,15.625,41.504,37.598,17.090,-15.625
1644351674.189,14.160,40.039,31.250,43.945,140.137
1644351674.193,27.344,39.062,35.645,24.902,41.992
1644351674.197,33.203,34.180,43.945,17.578,-55.176
1644351674.201,25.391,31.738,41.016,30.762,-34.180
1644351674.205,14.160,35.156,29.297,41.504,125.977
1644351674.208,21.973,36.133,32.227,22.949,75.195
1644351674.212,36.621,35.645,37.109,11.230,-81.543
1644351674.216,38.086,35.645,33.203,20.508,-74.707
1644351674.220,19.043,33.203,31.250,35.645,83.984
1644351674.224,15.625,35.156,25.879,35.156,168.945
1644351674.236,26.855,33.691,30.273,20.020,47.363
1644351674.240,26.855,29.297,34.668,11.719,-50.781
1644351674.244,17.090,37.598,29.785,27.832,52.734
1644351674.248,16.113,48.828,31.250,33.203,141.602
1644351674.252,27.832,47.363,34.180,7.812,-2.441
1644351674.256,31.250,43.457,32.227,3.418,-81.543
1644351674.260,27.344,34.180,29.785,22.461,4.395
1644351674.263,16.602,29.785,34.180,34.668,102.051
1644351674.267,14.160,40.039,38.574,10.254,0.977
1644351674.271,21.973,43.945,37.109,5.859,-93.750
1644351674.275,19.531,39.551,28.320,21.484,-42.480
1644351674.279,7.324,35.645,31.738,32.715,113.281
1644351674.249,12.695,24.902,34.668,17.090,74.219
1644351674.253,17.578,22.461,27.832,-2.930,-76.660
1644351674.257,16.113,29.297,28.320,5.859,-132.812
1644351674.261,8.789,25.391,34.180,37.109,37.598
1644351674.265,8.301,23.926,32.715,38.086,113.281
1644351674.269,19.043,27.344,27.344,8.301,-33.203
1644351674.273,22.949,30.273,29.297,5.371,-32.715
1644351674.276,28.809,30.273,33.203,26.855,68.359
1644351674.280,20.508,27.344,33.691,33.203,179.199
1644351674.284,16.113,29.297,27.832,15.137,82.520
1644351674.288,25.391,32.715,26.367,7.812,-18.066
1644351674.292,20.508,30.762,31.738,20.020,34.668
1644351674.309,9.766,30.273,31.250,32.715,137.207
1644351674.313,17.090,30.762,25.879,19.531,46.387
1644351674.317,23.438,27.832,25.391,6.348,-54.199
1644351674.321,19.043,30.762,29.297,6.348,-78.125
1644351674.325,1.465,34.180,34.668,21.973,57.129
1644351674.329,4.883,30.762,39.062,22.461,117.188
1644351674.333,20.508,30.762,41.016,9.766,-3.418
1644351674.336,31.738,34.180,37.598,8.301,-12.695
1644351674.340,26.855,37.109,32.715,27.832,98.633
1644351674.344,11.719,38.574,26.367,30.273,132.812
1644351674.348,20.508,38.086,24.414,8.789,6.348
1644351674.352,28.320,39.062,31.738,11.230,-103.027
1644351674.354,20.020,37.598,32.715,33.203,-13.184
1644351674.358,14.160,31.738,28.809,39.551,135.742
1644351674.362,17.090,27.344,33.691,15.625,13.184
1644351674.366,20.996,29.297,35.156,6.836,-103.027
1644351674.370,22.949,29.297,27.344,20.996,-3.906
1644351674.374,9.766,30.762,29.297,33.691,154.785
1644351674.378,14.160,36.133,31.738,17.090,42.480
1644351674.381,21.973,32.227,25.879,1.465,-51.270
1644351674.385,10.254,27.832,27.832,9.766,-31.738
1644351674.389,2.930,28.320,29.297,33.203,80.566
1644351674.393,7.324,35.156,25.879,20.508,83.496
1644351674.397,21.973,36.133,27.832,2.441,-76.660
1644351674.384,24.414,32.227,32.715,14.648,-53.223
1644351674.388,8.301,26.855,29.785,30.762,56.641
1644351674.392,7.324,24.414,30.762,34.180,163.086
1644351674.396,22.949,29.785,30.273,14.160,32.227
1644351674.400,28.320,33.203,25.391,10.742,-84.961
1644351674.404,17.578,32.715,31.738,29.785,23.926
1644351674.408,9.766,33.691,38.574,37.109,130.859
1644351674.411,24.902,39.062,41.016,22.461,22.949
1644351674.415,29.297,38.086,31.250,19.043,-86.914
1644351674.419,19.043,31.250,22.949,25.391,-46.387
1644351674.423,4.883,28.320,22.949,32.715,104.980
1644351674.427,12.695,26.367,22.461,22.949,104.004
1644351674.536,19.531,26.855,28.320,9.766,-24.902
1644351674.540,16.113,24.414,33.203,11.719,-42.969
1644351674.544,17.578,27.344,37.598,27.832,85.938
1644351674.548,16.602,31.738,41.992,25.879,136.719
1644351674.552,11.230,24.902,41.504,4.883,-3.418
1644351674.556,22.949,23.438,39.062,5.371,-101.074
1644351674.560,17.090,32.715,35.156,25.879,16.602
1644351674.563,8.789,37.598,32.227,35.645,145.020
1644351674.567,22.949,35.156,31.250,21.484,-1.953
1644351674.571,20.508,33.691,28.809,9.766,-105.469
1644351674.575,21.484,39.062,27.832,19.531,-17.578
1644351674.579,18.066,36.133,21.484,33.203,141.113
1644351674.540,19.043,32.227,20.020,14.648,51.270
1644351674.544,33.691,34.180,29.297,6.348,-29.297
1644351674.548,32.227,35.156,35.645,21.484,18.066
1644351674.552,20.996,35.156,37.598,42.480,120.117
1644351674.556,26.855,34.180,35.645,29.785,129.883
1644351674.560,33.691,26.855,33.203,7.324,-46.387
1644351674.564,30.273,19.531,28.809,6.836,-62.012
1644351674.567,12.695,28.809,25.879,18.555,101.562
1644351674.571,5.859,40.527,29.297,18.555,135.742
1644351674.575,20.996,38.086,21.973,2.441,-39.062
1644351674.579,19.043,29.297,16.602,-4.883,-116.699
1644351674.583,11.719,29.785,28.320,18.066,39.551
1644351674.564,14.160,33.691,35.156,38.086,171.387
1644351674.568,27.832,34.180,34.668,20.996,14.648
1644351674.572,35.645,34.668,31.250,14.160,-98.633
1644351674.576,22.949,31.250,30.273,27.832,-16.113
1644351674.580,5.371,31.250,32.227,37.598,125.977
1644351674.584,7.324,28.320,23.926,9.766,19.531
1644351674.588,14.160,26.855,23.926,-9.766,-73.242
1644351674.591,15.137,33.203,36.133,10.254,-16.602
1644351674.595,6.836,29.785,39.062,32.715,83.984
1644351674.599,-0.977,25.879,32.227,13.672,108.887
1644351674.603,10.254,10.742,37.598,-0.488,-24.902
1644351674.607,-31.738,102.539,2.441,-35.645,-87.402
1644351674.594,-100.098,219.727,-43.945,-74.219,49.316
1644351674.598,-33.203,91.309,24.414,0.488,128.418
1644351674.602,66.895,-42.480,110.840,66.406,-8.789
1644351674.606,41.016,-44.922,89.355,31.250,-110.352
1644351674.610,-37.109,2.930,41.992,-18.555,-12.695
1644351674.614,-87.891,91.309,7.812,-49.316,130.371
1644351674.618,-78.613,193.848,0.977,-68.848,4.883
1644351674.621,-70.312,298.340,12.695,-76.660,-65.918
1644351674.625,-126.465,441.895,-5.859,-115.234,14.648
1644351674.629,-184.082,638.184,-34.668,-150.391,100.586
1644351674.633,-166.504,826.660,-30.762,-150.879,54.688
1644351674.637,-124.023,902.344,-26.855,-139.648,-40.527
1644351674.670,-117.676,960.449,-33.691,-121.094,-26.367
1644351674.674,-155.273,-998.535,-38.086,-114.746,101.074
1644351674.678,-182.129,998.047,-41.016,-146.484,106.445
1644351674.682,-179.199,999.023,-42.480,-181.152,-7.324
1644351674.686,-185.547,999.512,-55.664,-193.359,-29.297
1644351674.690,-210.938,999.512,-63.477,-182.129,67.871
1644351674.694,-232.422,999.512,-75.195,-183.594,136.719
1644351674.697,-224.609,999.512,-78.125,-209.961,33.691
1644351674.701,-210.449,998.535,-74.219,-216.309,-55.176
1644351674.705,-183.594,994.141,-66.406,-170.410,8.789
1644351674.709,-145.508,-995.605,-58.594,-117.188,155.762
1644351674.713,-108.887,904.785,-44.434,-114.746,106.934
1644351674.687,-75.195,697.754,-26.367,-100.586,-45.898
1644351674.691,-39.062,522.949,-13.672,-48.828,-47.363
1644351674.695,-21.484,354.492,-1.465,-3.418,103.027
1644351674.699,3.418,180.176,13.184,6.348,98.633
1644351674.703,31.738,5.371,32.715,6.836,-35.156
1644351674.707,52.734,-148.926,46.387,31.738,-83.008
1644351674.711,66.406,-272.461,53.711,76.172,46.387
1644351674.714,66.895,-355.957,55.176,78.613,134.277
1644351674.718,79.102,-412.598,51.270,62.012,14.648
1644351674.722,96.680,-439.941,48.828,68.359,-68.848
1644351674.726,96.680,-431.152,65.918,101.562,47.852
1644351674.730,110.840,-422.852,87.891,135.254,148.926
1644351674.714,116.211,-433.594,76.172,103.516,25.879
1644351674.718,102.051,-439.453,64.453,70.801,-15.137
1644351674.722,92.773,-426.758,62.988,82.520,22.461
1644351674.726,84.473,-405.273,62.012,102.051,99.609
1644351674.730,97.168,-394.043,70.312,98.633,57.617
1644351674.734,106.445,-388.184,79.590,96.191,-9.766
1644351674.738,113.770,-374.512,77.637,105.469,-5.371
1644351674.741,112.793,-367.676,70.801,129.883,108.398
1644351674.745,111.328,-368.164,76.660,128.418,80.566
1644351674.749,120.605,-358.887,82.031,110.840,-61.035
1644351674.753,124.023,-341.309,81.543,104.980,-70.801
1644351674.757,110.352,-330.566,78.613,117.188,27.832
1644351674.774,110.352,-319.824,79.590,128.418,112.793
1644351674.778,115.234,-308.594,80.078,103.027,-0.488
1644351674.782,115.723,-303.711,70.801,91.797,-39.551
1644351674.786,116.211,-296.875,66.895,114.746,66.895
1644351674.790,100.586,-293.945,70.312,121.582,132.812
1644351674.794,99.121,-290.039,66.895,93.262,17.578
1644351674.798,105.957,-283.691,62.012,81.543,-59.570
1644351674.801,97.656,-273.926,57.129,96.191,-2.441
1644351674.805,77.637,-256.836,58.594,111.816,123.047
1644351674.809,76.660,-248.535,61.035,90.332,83.496
1644351674.813,89.844,-235.840,65.430,72.754,-31.250
1644351674.817,84.961,-220.215,65.430,85.449,-26.367
1644351674.849,61.035,-217.773,57.617,98.633,109.863
1644351674.853,61.035,-213.867,50.781,84.961,109.863
1644351674.857,71.289,-201.172,56.152,67.871,-17.578
1644351674.861,71.777,-186.035,62.988,71.777,-41.504
1644351674.865,67.871,-171.875,58.105,85.938,64.453
1644351674.869,52.246,-169.434,42.969,73.730,109.863
1644351674.873,51.270,-167.969,35.645,42.969,-17.578
1644351674.876,64.453,-162.109,42.969,43.945,-83.496
1644351674.880,53.223,-154.785,48.828,63.477,-3.906
1644351674.884,44.434,-146.973,51.270,81.543,119.141
1644351674.888,61.523,-141.602,46.875,70.801,57.617
1644351674.892,66.895,-130.371,47.852,57.617,12.695
1644351674.954,61.523,-116.211,45.898,62.500,47.852
1644351674.958,55.176,-104.980,37.598,79.590,125.977
1644351674.962,60.059,-88.379,43.945,70.312,75.195
1644351674.966,62.988,-74.707,44.922,53.711,-45.410
1644351674.970,67.871,-63.965,36.133,60.059,-41.504
1644351674.974,58.594,-48.828,38.086,77.637,95.703
1644351674.978,55.176,-34.668,42.969,68.848,122.559
1644351674.981,60.547,-31.738,42.480,40.039,-34.180
1644351674.985,51.270,-32.227,37.109,29.785,-78.613
1644351674.989,43.945,-31.250,35.645,50.781,37.598
1644351674.993,41.504,-31.738,45.898,66.406,132.812
1644351674.997,42.480,-32.227,39.062,43.945,28.320
1644351674.970,43.457,-35.645,24.414,27.344,-74.707
1644351674.974,40.039,-33.203,31.250,38.574,-0.488
1644351674.978,25.391,-17.578,34.668,59.570,146.973
1644351674.982,29.785,-15.137,32.227,40.527,59.570
1644351674.986,42.969,-18.066,32.715,24.414,-97.168
1644351674.990,42.969,-17.578,37.598,39.062,-115.234
1644351674.994,34.180,-22.949,39.062,52.734,65.430
1644351674.997,33.203,-25.391,29.297,36.133,114.746
1644351675.001,33.203,-25.391,31.738,19.531,-43.457
1644351675.005,33.691,-21.973,30.762,21.973,-72.754
1644351675.009,25.391,-20.996,21.973,41.992,78.613
1644351675.013,20.020,-24.414,22.949,40.527,133.301
1644351675.031,25.879,-22.461,27.344,19.043,-21.484
1644351675.035,31.738,-25.391,30.273,18.555,-107.910
1644351675.039,25.879,-25.391,26.367,40.527,12.695
1644351675.043,12.695,-18.555,25.879,51.758,161.621
1644351675.047,21.973,-17.578,33.203,28.320,26.367
1644351675.051,25.879,-24.902,36.133,16.602,-103.516
1644351675.055,20.508,-23.926,32.715,31.738,-9.277
1644351675.058,13.184,-16.113,23.438,45.898,138.184
1644351675.062,12.695,-19.531,19.043,28.809,59.570
1644351675.066,26.367,-21.484,27.344,14.648,-54.199
1644351675.070,33.203,-16.602,26.855,24.902,4.395
1644351675.074,21.973,-16.113,21.484,41.504,134.766
1644351675.035,16.113,-14.648,24.902,26.855,99.609
1644351675.039,18.066,-9.766,22.949,11.230,-3.906
1644351675.043,21.973,-10.742,20.996,17.578,29.785
