timestamps,TP9,AF7,AF8,TP10,Right AUX
1644359649.262,-33.203,32.715,32.227,-14.160,-83.984
1644359649.266,-62.500,18.555,29.297,-24.902,-74.219
1644359649.270,65.430,16.113,27.832,6.348,-102.539
1644359649.274,105.469,21.484,22.949,41.504,-106.445
1644359649.278,-9.766,23.926,29.297,12.695,-112.305
1644359649.282,-95.215,28.320,34.180,1.953,-92.285
1644359649.286,20.508,25.879,36.133,17.090,-94.238
1644359649.289,118.164,17.090,32.715,49.316,-129.883
1644359649.293,47.852,21.973,26.367,19.043,-147.949
1644359649.297,-78.613,27.832,32.227,-11.719,-102.539
1644359649.301,-26.367,26.855,39.551,-0.488,-83.008
1644359649.305,104.004,21.484,44.922,50.293,-87.891
1644359649.305,104.004,21.484,44.922,50.293,-87.891
1644359649.311,92.285,14.160,38.086,47.852,-120.117
1644359649.315,-46.387,22.949,29.785,18.066,-100.586
1644359649.319,-52.734,26.855,33.203,19.043,-71.777
1644359649.323,85.449,25.391,31.250,42.969,-73.730
1644359649.327,110.840,24.414,31.738,44.922,-87.402
1644359649.331,-14.648,23.926,39.062,13.672,-121.094
1644359649.335,-70.801,29.297,40.527,6.836,-67.383
1644359649.338,54.199,28.809,38.086,20.996,-85.938
1644359649.342,111.816,25.879,39.551,53.223,-123.535
1644359649.346,14.160,28.320,39.062,22.949,-98.633
1644359649.350,-80.566,24.902,20.996,0.488,-36.621
1644359649.354,14.648,20.020,18.066,8.301,-72.266
1644359649.368,110.352,22.949,35.156,50.293,-102.051
1644359649.372,54.199,24.902,41.016,24.414,-75.195
1644359649.376,-69.336,24.414,35.156,-7.812,-53.711
1644359649.380,-24.902,25.391,27.344,-4.395,-92.773
1644359649.384,110.840,28.809,29.297,38.086,-121.582
1644359649.388,89.844,30.273,35.645,38.086,-127.441
1644359649.392,-49.316,29.297,40.039,8.789,-89.844
1644359649.395,-60.547,34.180,29.785,20.020,-41.992
1644359649.399,74.219,23.438,21.973,52.734,-111.816
1644359649.403,103.516,11.230,33.691,61.035,-128.906
1644359649.407,-9.766,20.020,37.598,4.883,-94.238
1644359649.411,-74.219,26.367,36.133,-10.742,-62.988
1644359649.413,51.758,27.344,34.180,19.043,-59.570
1644359649.417,132.324,27.344,30.762,56.641,-77.148
1644359649.421,44.922,28.320,32.715,26.367,-104.492
1644359649.425,-76.172,25.879,38.086,6.348,-60.059
1644359649.429,1.953,28.809,36.133,19.043,-45.410
1644359649.433,120.605,31.250,27.344,57.617,-68.359
1644359649.437,72.266,21.973,16.113,35.156,-97.656
1644359649.440,-61.035,19.531,20.508,-3.418,-72.754
1644359649.444,-43.457,21.973,25.879,-11.230,-53.223
1644359649.448,78.613,21.973,22.949,28.809,-76.660
1644359649.452,83.984,25.879,27.344,37.109,-95.703
1644359649.456,-44.922,29.297,35.156,-4.883,-109.375
1644359649.457,-78.613,29.785,43.457,-24.902,-77.637
1644359649.461,61.035,25.879,41.016,-3.418,-71.777
1644359649.465,104.004,20.996,28.320,25.879,-67.383
1644359649.469,-4.395,31.250,20.996,-15.625,-77.148
1644359649.473,-80.566,36.621,22.461,-22.949,-41.992
1644359649.477,24.414,28.809,19.043,12.695,-54.688
1644359649.481,112.793,29.785,21.973,46.875,-104.980
1644359649.484,40.527,25.879,30.273,9.766,-108.887
1644359649.488,-78.125,19.043,36.133,-4.883,-45.898
1644359649.492,-22.949,27.344,33.691,10.742,-27.344
1644359649.496,97.656,32.227,24.414,45.410,-73.242
1644359649.500,77.148,27.832,28.320,27.832,-140.625
1644359649.532,-54.688,22.949,34.180,1.953,-83.984
1644359649.536,-40.039,20.508,34.668,7.324,-36.621
1644359649.540,95.215,21.484,36.621,41.992,-74.219
1644359649.544,102.051,21.973,33.691,49.805,-86.914
1644359649.548,-25.391,26.367,32.227,4.395,-63.477
1644359649.552,-65.918,28.320,29.785,-0.977,-30.762
1644359649.556,64.453,26.367,28.809,18.066,-77.637
1644359649.559,108.887,25.879,31.738,38.574,-92.773
1644359649.563,-1.465,27.344,33.203,15.137,-62.012
1644359649.567,-83.496,22.461,33.691,0.000,-17.578
1644359649.571,20.996,21.973,35.645,3.418,-56.641
1644359649.575,115.234,31.250,29.297,44.434,-76.660
1644359649.537,54.199,35.156,20.508,22.949,-78.125
1644359649.541,-62.500,29.297,25.391,0.488,-40.039
1644359649.545,-9.766,26.367,30.273,0.000,-47.852
1644359649.549,110.352,28.809,29.297,28.320,-92.773
1644359649.553,92.773,25.879,27.832,26.855,-89.844
1644359649.557,-47.852,22.461,24.902,-9.277,-47.852
1644359649.561,-60.059,19.531,23.926,-9.277,-42.480
1644359649.564,83.984,18.555,24.414,36.133,-91.797
1644359649.568,108.887,27.832,20.996,42.969,-108.887
1644359649.572,-13.672,37.109,27.344,-7.324,-97.168
1644359649.576,-69.336,29.297,34.668,-10.254,-58.594
1644359649.580,50.781,30.762,31.250,15.137,-48.340
1644359649.578,112.793,37.598,25.879,43.457,-71.289
1644359649.582,20.508,31.738,25.879,5.371,-70.801
1644359649.586,-76.172,22.461,26.855,-4.395,-6.836
1644359649.590,9.277,26.367,29.297,5.371,-50.293
1644359649.594,109.375,29.297,22.461,35.645,-83.984
1644359649.598,56.641,25.879,10.742,22.461,-110.352
1644359649.602,-72.266,18.555,19.531,-0.488,-88.867
1644359649.605,-37.598,16.113,27.832,-6.348,-56.152
1644359649.609,91.797,27.832,27.832,32.715,-68.848
1644359649.613,90.332,36.133,32.715,43.945,-53.711
1644359649.617,-42.480,36.133,35.645,5.859,-40.527
1644359649.621,-72.754,26.367,34.180,4.395,-24.414
1644359649.637,69.824,22.949,29.785,34.180,-55.664
1644359649.641,116.699,27.344,27.344,54.199,-77.148
1644359649.645,-6.348,31.738,32.715,23.438,-62.012
1644359649.649,-84.961,30.762,25.879,11.230,-20.508
1644359649.653,34.180,25.391,25.391,28.809,-45.898
1644359649.657,121.094,22.949,35.156,52.246,-100.586
1644359649.661,38.574,28.320,31.738,14.648,-119.141
1644359649.664,-90.332,33.691,26.855,3.418,-26.855
1644359649.668,-12.695,34.180,30.762,13.672,-62.500
1644359649.672,103.027,41.504,36.133,46.875,-105.957
1644359649.676,70.312,39.062,23.926,33.691,-92.285
1644359649.680,-61.035,30.762,16.602,2.441,-46.387
1644359649.713,-47.363,29.785,28.809,3.418,-23.438
1644359649.717,89.355,30.273,27.832,39.551,-81.055
1644359649.721,91.309,23.926,26.367,52.734,-79.590
1644359649.725,-30.762,25.391,35.645,12.207,-30.273
1644359649.729,-73.242,33.691,37.109,-9.277,-32.227
1644359649.733,59.082,31.738,25.391,14.160,-88.867
1644359649.737,114.258,27.344,28.320,41.016,-74.219
1644359649.740,9.277,20.508,40.039,10.742,-54.199
1644359649.744,-73.242,20.020,42.969,-2.930,-45.410
1644359649.748,28.809,39.062,33.203,8.789,-75.684
1644359649.752,112.305,43.457,22.949,41.016,-60.059
1644359649.756,41.992,38.086,30.762,16.602,-65.918
1644359649.742,-79.102,36.133,29.297,-2.930,-57.129
1644359649.746,-22.461,29.785,23.438,0.977,-35.156
1644359649.750,100.586,30.762,26.855,38.574,-59.570
1644359649.754,81.055,34.668,33.691,32.715,-77.637
1644359649.758,-44.922,30.762,41.016,-7.324,-54.199
1644359649.762,-42.969,27.344,39.551,-3.418,-38.574
1644359649.766,89.844,28.809,27.344,39.551,-77.637
1644359649.769,119.629,20.996,27.832,53.711,-88.867
1644359649.773,-14.160,20.508,40.039,7.812,-47.363
1644359649.777,-88.379,32.227,40.039,-12.207,-27.344
1644359649.781,41.992,27.832,33.691,19.531,-66.406
1644359649.785,117.676,23.438,30.273,52.246,-83.496
1644359649.787,21.484,29.297,30.273,20.996,-86.426
1644359649.791,-88.867,30.762,33.203,-4.883,-21.973
1644359649.795,5.859,33.203,33.203,-4.883,-33.203
1644359649.799,112.305,36.621,35.156,37.109,-63.477
1644359649.803,46.875,23.438,35.645,15.625,-89.844
1644359649.807,-79.590,20.020,31.250,-17.090,-58.105
1644359649.811,-37.109,25.879,35.645,-15.137,-27.832
1644359649.814,92.773,22.461,31.250,21.973,-59.570
1644359649.818,88.867,21.973,24.902,29.297,-67.871
1644359649.822,-45.410,26.855,26.855,0.977,-25.879
1644359649.826,-59.082,30.273,22.949,6.348,-7.324
1644359649.830,84.473,25.391,28.809,34.668,-91.797
1644359649.847,111.328,21.484,33.203,38.086,-112.305
1644359649.851,-11.719,24.414,19.531,10.742,-39.062
1644359649.855,-77.148,24.414,21.973,2.441,-7.812
1644359649.859,36.133,27.344,37.109,16.113,-61.523
1644359649.863,106.934,32.227,38.574,48.828,-68.359
1644359649.867,29.297,34.180,34.668,15.137,-75.195
1644359649.871,-82.520,34.668,31.738,-14.648,-38.574
1644359649.874,3.906,34.180,22.461,-3.418,-37.598
1644359649.878,124.023,26.855,23.438,47.852,-60.547
1644359649.882,72.754,20.020,31.738,24.414,-55.664
1644359649.886,-55.664,29.785,32.227,-1.953,-20.996
1644359649.890,-24.902,36.621,24.902,15.137,-64.453
1644359649.862,104.492,31.250,18.555,45.898,-94.727
1644359649.866,102.539,34.668,25.879,52.734,-55.176
1644359649.870,-24.902,33.203,31.738,13.184,-46.875
1644359649.874,-55.664,22.949,30.273,8.301,-29.297
1644359649.878,70.312,23.926,40.039,49.805,-56.152
1644359649.882,120.605,26.367,46.387,69.824,-102.051
1644359649.886,13.672,29.297,33.691,28.809,-94.727
1644359649.889,-69.824,32.227,29.785,18.066,-35.645
1644359649.893,44.922,30.273,25.391,34.668,-54.199
1644359649.897,133.789,23.926,17.578,59.082,-84.473
1644359649.901,62.500,28.320,31.250,30.273,-71.777
1644359649.905,-62.988,33.691,42.480,18.555,-14.160
1644359649.908,-6.348,22.949,37.109,24.414,-23.438
1644359649.912,115.723,14.160,40.039,50.781,-66.895
1644359649.916,82.520,22.461,44.434,20.996,-96.680
1644359649.920,-57.129,29.785,30.762,-17.578,-82.520
1644359649.924,-55.176,32.715,17.090,-2.930,-32.715
1644359649.928,77.148,33.203,21.484,27.832,-63.965
1644359649.932,99.121,27.832,25.879,27.344,-115.234
1644359649.935,-25.879,26.855,29.785,-0.977,-79.102
1644359649.939,-72.266,27.832,28.320,-11.719,3.906
1644359649.943,59.082,20.508,32.715,5.859,-57.129
1644359649.947,117.676,21.973,39.551,27.832,-83.496
1644359649.951,15.137,30.273,40.039,-3.906,-52.246
1644359649.967,-76.172,30.762,31.250,4.883,-20.996
1644359649.971,25.391,34.180,16.113,27.832,-61.035
1644359649.975,121.094,37.598,14.160,66.406,-84.473
1644359649.979,59.082,36.621,18.555,26.367,-76.172
1644359649.983,-64.941,35.645,26.855,-14.648,-58.594
1644359649.987,-17.578,27.832,33.203,-8.301,-58.594
1644359649.991,110.352,23.438,39.062,25.879,-103.027
1644359649.994,100.098,27.344,38.574,30.762,-82.031
1644359649.998,-41.504,25.879,32.227,3.418,-26.855
1644359650.002,-56.641,23.438,28.809,2.930,-28.809
1644359650.006,92.285,18.555,28.809,41.504,-67.383
1644359650.010,117.188,11.719,25.879,60.547,-66.895
1644359650.012,-9.277,20.020,26.367,23.926,-57.617
1644359650.016,-66.895,31.738,19.043,11.719,-24.414
1644359650.020,55.664,29.785,11.719,28.809,-34.668
1644359650.024,122.070,31.738,32.227,64.453,-38.574
1644359650.028,27.344,39.551,44.922,28.809,-54.688
1644359650.032,-84.961,31.738,36.621,4.395,-40.039
1644359650.036,-7.324,19.531,32.227,12.207,-47.852
1644359650.039,97.656,23.438,31.250,45.410,-32.227
1644359650.043,40.527,34.668,32.715,23.438,-20.508
1644359650.047,-88.867,33.203,34.668,-16.113,-48.828
1644359650.051,-38.574,20.508,23.926,-6.836,-53.711
1644359650.055,108.887,24.414,21.484,39.062,-44.434
1644359650.059,95.703,34.180,22.461,40.039,-85.449
1644359650.063,-43.945,33.203,30.273,0.488,-66.406
1644359650.067,-64.453,26.367,35.645,-9.766,-5.371
1644359650.071,67.383,26.367,26.855,12.695,-62.012
1644359650.075,106.934,28.320,26.855,27.344,-92.773
1644359650.079,-1.465,23.926,24.902,-10.742,-97.168
1644359650.083,-86.426,27.832,20.020,-22.949,-20.996
1644359650.086,22.949,30.273,24.902,-3.906,-20.996
1644359650.090,106.934,25.879,29.297,35.156,-83.984
1644359650.094,17.578,20.996,29.785,-3.906,-69.824
1644359650.098,-97.656,21.484,22.949,-24.902,0.977
1644359650.102,-12.207,25.879,16.113,-5.859,-31.250
1644359650.102,104.492,19.043,23.438,23.438,-79.102
1644359650.106,74.707,26.855,38.574,25.879,-81.543
1644359650.110,-54.199,37.109,39.062,4.883,-51.270
1644359650.114,-45.410,26.855,41.016,0.488,-35.156
1644359650.118,84.473,26.855,38.574,35.156,-58.105
1644359650.122,77.637,5.859,36.133,32.227,-46.875
1644359650.126,-113.770,16.602,52.734,-57.617,-24.414
1644359650.129,-171.387,90.332,46.387,-78.125,-14.648
1644359650.133,34.180,44.434,46.875,16.602,-75.684
1644359650.137,110.352,-8.789,67.871,61.523,-83.496
1644359650.141,-26.367,-1.953,61.523,3.906,-51.758
1644359650.145,-154.297,3.418,51.270,-42.480,-33.203
1644359650.148,-85.938,25.879,47.852,-72.754,-53.223
1644359650.152,1.953,60.059,53.711,-39.551,-48.828
1644359650.156,-106.934,81.055,54.688,-104.980,-24.902
1644359650.160,-263.184,108.887,50.781,-178.711,0.000
1644359650.164,-167.480,142.090,52.246,-149.902,-19.043
1644359650.168,-38.574,172.363,58.594,-107.422,-49.316
1644359650.172,-85.938,198.730,60.547,-127.930,-45.410
1644359650.175,-227.539,229.492,47.852,-169.922,-36.621
1644359650.179,-229.492,265.625,34.180,-174.316,-25.391
1644359650.183,-98.633,294.434,46.387,-139.160,-42.480
1644359650.187,-77.148,318.848,54.199,-123.535,-56.152
1644359650.191,-188.477,342.285,59.082,-155.762,-46.387
1644359650.207,-229.004,348.145,71.777,-148.438,-1.953
1644359650.211,-80.078,345.703,70.801,-98.145,-44.922
1644359650.215,0.977,339.844,64.941,-49.805,-79.102
1644359650.219,-83.984,326.172,49.805,-73.730,-44.434
1644359650.223,-166.016,308.594,31.738,-73.242,-1.465
1644359650.227,-48.340,294.434,30.273,-45.410,-38.574
1644359650.231,60.059,272.949,33.203,-8.301,-75.195
1644359650.234,11.230,251.465,32.227,-32.227,-95.215
1644359650.238,-98.633,233.398,33.203,-48.340,-24.902
1644359650.242,-41.016,204.102,27.344,-18.555,-4.395
1644359650.246,107.910,173.340,20.508,34.180,-62.012
1644359650.250,102.051,144.043,26.855,33.203,-67.871
1644359650.252,-33.203,106.445,12.207,0.488,-42.480
1644359650.256,-28.809,80.078,1.465,18.066,-26.855
1644359650.260,130.371,64.941,10.742,67.383,-75.684
1644359650.264,167.480,30.273,10.742,85.938,-66.406
1644359650.268,51.758,3.418,16.602,56.152,-24.902
1644359650.272,-15.137,-8.789,11.719,58.594,1.465
1644359650.276,111.816,-22.461,-7.812,77.637,-45.410
1644359650.279,190.918,-32.227,-4.395,104.980,-83.984
1644359650.283,102.539,-41.504,12.695,78.125,-44.434
1644359650.287,-4.883,-49.805,19.043,61.523,18.555
1644359650.291,76.172,-61.035,20.508,77.148,-40.039
1644359650.295,175.781,-66.406,8.301,115.723,-98.145
1644359650.282,123.535,-65.430,0.000,91.797,-70.312
1644359650.286,-1.465,-68.848,5.859,50.293,-49.805
1644359650.290,26.855,-72.266,8.301,41.016,-53.711
1644359650.294,154.297,-74.219,15.625,74.219,-57.617
1644359650.298,159.668,-74.707,19.531,82.520,-56.641
1644359650.302,33.691,-73.242,27.832,44.922,-19.043
1644359650.306,-10.742,-67.871,31.250,36.133,-12.207
1644359650.309,114.746,-67.383,16.602,68.359,-59.082
