timestamps,TP9,AF7,AF8,TP10,Right AUX
1644351840.558,20.508,25.879,32.715,21.973,-34.180
1644351840.562,46.387,16.602,34.668,45.410,85.938
1644351840.566,41.016,18.066,33.691,45.410,102.539
1644351840.570,15.137,34.668,23.926,26.855,-48.340
1644351840.574,18.066,42.480,26.367,22.461,-53.711
1644351840.578,38.574,32.227,27.344,31.738,36.621
1644351840.582,41.504,15.137,22.949,31.738,123.047
1644351840.585,11.719,20.996,21.484,7.324,55.176
1644351840.589,0.977,40.527,20.996,0.000,-37.109
1644351840.593,18.066,36.621,23.926,17.090,0.000
1644351840.597,30.762,14.648,28.809,31.250,97.656
1644351840.601,8.301,12.207,36.133,15.137,113.281
1644351840.603,-5.859,34.180,29.785,20.020,-55.664
1644351840.607,-2.441,23.926,27.344,13.672,-82.520
1644351840.611,21.973,9.277,27.344,25.879,31.250
1644351840.614,25.391,0.977,31.250,26.855,142.578
1644351840.618,3.906,0.000,29.785,5.371,35.156
1644351840.622,1.953,23.438,28.320,5.371,-92.285
1644351840.626,20.508,42.969,23.438,21.973,-22.949
1644351840.630,31.738,30.762,14.160,37.598,87.891
1644351840.635,12.207,25.391,21.484,25.391,23.438
1644351840.639,1.465,25.879,27.832,9.766,-61.035
1644351840.643,12.695,25.879,25.879,17.578,-42.969
1644351840.647,34.180,20.508,33.691,33.691,120.605
1644351840.651,19.531,12.207,33.691,21.973,68.359
1644351840.655,-0.488,13.184,29.785,6.348,-5.371
1644351840.659,5.859,12.207,30.273,8.301,56.152
1644351840.662,31.250,12.207,27.344,33.691,101.562
1644351840.666,33.203,14.648,24.414,40.039,108.887
1644351840.670,16.602,20.508,15.625,26.367,34.180
1644351840.674,17.578,19.043,11.719,22.461,0.488
1644351840.678,30.273,15.625,18.555,31.738,62.500
1644351840.737,33.203,9.766,23.926,41.992,119.141
1644351840.741,18.066,0.977,23.438,21.973,-3.418
1644351840.745,10.254,15.137,21.484,13.184,-70.312
1644351840.749,23.926,33.203,24.414,33.691,13.672
1644351840.753,38.086,30.273,27.832,45.898,110.352
1644351840.757,21.973,17.578,30.273,26.367,18.066
1644351840.761,10.742,7.324,27.832,13.672,-61.035
1644351840.764,17.090,5.859,20.020,23.438,30.273
1644351840.768,35.156,18.555,18.555,42.480,123.535
1644351840.772,24.902,27.832,26.855,30.762,67.871
1644351840.776,7.812,25.879,32.715,14.160,-34.668
1644351840.780,11.230,26.367,29.785,23.926,-37.598
1644351840.742,25.391,26.367,26.855,38.574,55.176
1644351840.746,21.484,17.090,22.461,29.297,105.469
1644351840.750,3.418,10.742,18.066,10.254,-5.859
1644351840.754,2.441,5.859,22.949,11.230,-59.082
1644351840.758,22.949,8.301,20.020,34.180,63.477
1644351840.762,32.715,22.949,12.207,45.410,101.562
1644351840.766,13.184,25.391,17.578,22.461,13.184
1644351840.769,8.301,15.137,28.809,12.207,-41.016
1644351840.773,28.320,13.184,35.156,27.832,-10.254
1644351840.777,36.621,27.344,31.250,41.504,105.957
1644351840.781,12.695,28.320,22.949,21.973,49.805
1644351840.785,0.977,22.461,27.832,6.348,-36.133
1644351840.782,15.137,22.949,30.762,20.020,-1.953
1644351840.786,34.180,17.578,13.672,48.340,107.910
1644351840.790,20.020,11.719,13.672,36.621,88.379
1644351840.794,5.371,19.531,31.738,10.742,-30.273
1644351840.798,12.207,15.625,37.598,14.160,-25.879
1644351840.802,26.367,16.113,35.645,37.598,69.336
1644351840.806,27.832,29.785,37.109,35.645,77.637
1644351840.809,12.207,29.785,31.738,9.766,-62.988
1644351840.813,14.648,21.973,26.367,8.789,-81.055
1644351840.817,33.691,17.578,23.926,25.391,20.996
1644351840.821,40.527,21.484,20.020,36.621,109.863
1644351840.825,19.043,16.602,26.367,20.020,31.738
1644351840.827,9.277,21.484,30.762,12.207,-73.242
1644351840.831,21.973,27.344,34.180,31.250,-9.277
1644351840.835,43.945,12.695,38.086,50.781,149.414
1644351840.839,37.598,10.254,38.574,35.156,76.660
1644351840.843,16.113,21.973,38.086,18.066,-42.480
1644351840.847,24.414,32.715,29.785,21.973,-32.227
1644351840.851,44.922,38.086,18.066,37.598,120.117
1644351840.854,26.367,35.156,17.090,30.762,114.258
1644351840.858,4.883,23.438,23.926,6.836,-20.508
1644351840.862,16.602,13.672,28.809,6.348,-15.137
1644351840.866,30.762,10.254,30.762,21.973,97.168
1644351840.870,21.973,11.719,31.250,22.949,145.996
1644351840.873,-2.441,5.859,32.227,3.418,20.020
1644351840.877,-5.371,15.625,27.344,-4.395,-57.617
1644351840.881,17.578,30.273,23.438,14.160,-2.441
1644351840.885,23.926,20.020,20.508,31.250,137.207
1644351840.889,1.465,21.973,15.137,15.625,93.262
1644351840.893,-1.465,28.320,13.672,0.488,-13.184
1644351840.897,12.207,13.672,23.438,13.184,-7.324
1644351840.900,23.926,-1.953,31.250,30.273,109.863
1644351840.904,10.254,10.742,29.785,20.996,57.129
1644351840.908,-2.930,35.156,28.809,12.695,-16.113
1644351840.912,6.348,34.180,24.902,14.160,0.977
1644351840.916,24.414,28.809,20.996,29.785,76.172
1644351840.947,18.555,30.762,26.367,27.832,92.773
1644351840.951,-7.324,21.484,28.809,12.695,-39.551
1644351840.955,-0.488,24.902,26.855,20.020,-68.359
1644351840.959,33.203,32.227,32.227,41.992,35.156
1644351840.963,37.598,34.180,33.203,54.199,140.625
1644351840.967,14.160,34.180,30.762,35.156,3.906
1644351840.971,15.137,32.227,36.621,20.020,-79.590
1644351840.974,32.715,33.691,33.203,25.391,68.359
1644351840.978,40.527,34.668,25.879,33.691,157.227
1644351840.982,23.438,34.668,22.949,18.555,49.316
1644351840.986,14.648,31.250,21.973,6.836,-20.996
1644351840.990,22.461,27.344,28.320,17.578,37.598
1644351840.993,36.621,36.621,26.855,35.156,142.090
1644351840.997,26.367,38.086,21.484,20.996,77.148
1644351841.001,10.742,29.297,22.461,6.348,-59.082
1644351841.005,16.602,41.504,22.461,16.602,-75.684
1644351841.009,34.668,49.316,18.066,30.762,73.730
1644351841.013,26.367,35.645,19.043,19.043,96.680
1644351841.017,6.348,24.902,29.785,-0.488,-21.484
1644351841.020,10.254,34.180,27.344,1.465,-45.898
1644351841.024,30.762,41.504,27.344,19.043,25.391
1644351841.028,38.574,36.133,31.250,23.926,99.609
1644351841.032,18.066,28.320,26.367,2.930,7.324
1644351841.036,11.719,23.926,25.879,3.418,-30.762
1644351841.082,33.203,31.738,25.391,22.461,14.648
1644351841.086,46.387,36.621,23.926,36.621,30.273
1644351841.090,25.879,31.738,26.367,16.113,16.113
1644351841.094,13.672,34.180,25.879,0.488,-62.500
1644351841.098,25.879,25.879,22.949,13.184,-72.266
1644351841.102,47.363,14.160,26.855,38.086,53.223
1644351841.106,37.109,23.926,28.320,36.621,26.855
1644351841.109,11.719,38.574,24.414,16.113,-38.574
1644351841.113,21.484,45.898,26.367,19.043,-5.371
1644351841.117,41.504,39.551,26.855,41.016,36.133
1644351841.121,32.715,43.945,24.414,38.086,54.688
1644351841.125,12.695,45.898,20.996,14.648,3.418
1644351841.087,8.789,29.785,25.391,6.836,-36.133
1644351841.091,24.414,21.484,28.320,18.066,1.465
1644351841.095,34.180,17.090,24.902,24.902,53.711
1644351841.099,8.301,27.344,25.879,7.324,-10.254
1644351841.103,0.000,36.621,26.367,5.371,-38.086
1644351841.107,22.949,30.762,29.785,29.785,4.883
1644351841.111,33.203,33.691,28.809,42.969,48.340
1644351841.114,14.648,42.969,24.414,19.531,25.879
1644351841.118,0.977,44.434,21.973,1.465,-14.648
1644351841.122,11.230,27.344,19.043,7.324,-48.828
1644351841.126,34.668,20.020,22.949,29.297,18.555
1644351841.130,23.926,30.273,27.832,31.250,65.918
1644351841.128,12.207,24.414,34.180,17.578,13.184
