timestamps,TP9,AF7,AF8,TP10,Right AUX
1644358116.689,26.855,11.719,32.715,30.762,40.039
1644358116.693,36.621,29.297,29.785,38.086,29.297
1644358116.697,24.414,39.062,28.809,24.902,21.484
1644358116.701,15.625,33.203,30.273,17.090,17.578
1644358116.705,20.996,32.227,25.879,26.367,35.156
1644358116.709,30.762,33.691,26.855,31.738,59.570
1644358116.713,29.785,33.203,30.762,29.297,28.320
1644358116.716,12.207,32.227,29.297,21.973,15.625
1644358116.720,16.602,32.227,26.855,22.461,70.312
1644358116.724,33.203,32.715,24.414,30.273,8.301
1644358116.728,29.785,32.715,24.414,30.762,23.438
1644358116.732,11.230,29.785,23.438,20.996,74.707
1644358116.747,11.719,28.320,23.926,20.020,-42.969
1644358116.751,21.484,15.137,23.926,29.297,-6.836
1644358116.755,21.484,13.184,25.391,34.668,17.090
1644358116.759,13.672,33.203,28.320,26.367,-5.859
1644358116.763,7.812,37.109,25.391,20.508,41.016
1644358116.767,21.484,32.227,22.461,26.855,37.109
1644358116.771,29.785,31.738,26.367,28.809,35.645
1644358116.774,23.926,30.762,26.367,26.367,60.059
1644358116.778,19.043,29.297,27.344,21.973,48.828
1644358116.782,33.691,31.738,29.297,27.344,28.320
1644358116.786,53.223,34.180,27.832,35.645,17.090
1644358116.790,46.875,35.156,23.926,29.785,-22.461
1644358116.822,27.832,35.645,22.461,20.508,-31.738
1644358116.826,27.832,27.344,24.902,21.973,12.695
1644358116.830,34.180,21.484,26.367,26.367,38.574
1644358116.834,28.809,29.785,28.809,24.414,37.109
1644358116.838,9.766,28.809,28.320,17.578,37.109
1644358116.842,4.395,28.320,27.832,17.090,38.574
1644358116.846,23.926,23.926,27.344,23.438,27.832
1644358116.849,26.855,20.020,27.832,27.832,34.668
1644358116.853,7.324,34.180,30.273,18.555,25.879
1644358116.857,0.000,35.645,29.785,8.301,14.160
1644358116.861,9.766,28.809,25.879,15.625,36.133
1644358116.865,16.602,29.297,22.461,21.973,12.695
1644358116.853,12.207,24.414,24.902,17.090,-8.789
1644358116.857,7.812,24.902,26.367,15.625,-8.301
1644358116.861,18.555,27.832,25.391,17.090,-11.719
1644358116.865,34.668,26.855,21.484,24.414,45.410
1644358116.869,35.156,27.344,23.438,27.832,29.297
1644358116.873,17.578,28.320,31.738,21.973,-17.090
1644358116.877,20.508,26.367,30.762,21.484,9.766
1644358116.880,35.645,29.297,28.809,27.344,43.457
