timestamps,TP9,AF7,AF8,TP10,Right AUX
1644357164.248,13.184,28.809,22.461,19.531,48.340
1644357164.252,33.691,20.996,20.508,30.762,-7.812
1644357164.256,29.297,22.949,23.438,28.809,-44.922
1644357164.260,-0.977,27.832,23.926,15.625,-13.184
1644357164.264,-6.348,26.855,22.949,4.395,11.719
1644357164.268,24.902,26.367,23.438,15.625,25.391
1644357164.272,34.180,22.461,23.926,28.320,72.266
1644357164.275,-0.977,20.996,21.973,9.277,63.965
1644357164.279,-19.531,22.949,19.531,-2.930,34.668
1644357164.283,14.160,23.926,15.137,4.395,63.477
1644357164.287,28.320,25.879,17.578,10.254,84.961
1644357164.291,10.742,28.320,23.438,7.812,65.918
1644357164.292,-2.930,32.715,25.879,-3.418,19.531
1644357164.296,9.277,28.320,24.902,5.371,21.973
1644357164.300,30.762,19.531,22.949,22.949,-20.996
1644357164.304,28.320,19.043,25.879,25.391,-42.480
1644357164.308,-15.625,21.973,22.949,-6.348,-3.418
1644357164.312,-18.066,20.020,14.648,-10.742,51.270
1644357164.316,8.301,22.461,14.648,7.812,97.656
1644357164.319,6.836,30.273,15.625,-7.324,75.684
1644357164.323,-9.277,24.414,17.578,-17.090,38.574
1644357164.327,-16.113,18.066,20.020,-9.766,-29.785
1644357164.331,14.648,22.461,19.043,5.859,-32.715
1644357164.335,29.785,21.484,16.113,10.254,51.270
1644357164.367,-4.395,21.973,11.230,-3.418,21.973
1644357164.371,-15.137,28.809,17.578,-6.348,-5.859
1644357164.375,21.484,30.762,27.344,14.160,17.090
1644357164.379,32.227,29.785,28.320,23.926,30.273
1644357164.383,9.277,24.414,24.902,8.789,37.598
1644357164.387,-6.836,22.461,23.926,-1.465,24.414
1644357164.391,12.695,21.484,22.949,7.324,31.738
1644357164.394,36.621,25.879,22.461,22.461,64.941
1644357164.398,23.926,28.320,18.555,20.996,45.898
1644357164.402,-6.836,21.484,20.508,4.883,4.883
1644357164.406,-3.906,20.508,26.367,6.836,41.992
1644357164.410,18.066,22.949,23.926,22.949,60.059
1644357164.382,23.438,18.555,22.949,25.879,30.273
1644357164.386,2.930,17.578,26.367,12.207,22.461
1644357164.390,-8.789,28.320,28.320,2.930,33.203
1644357164.394,24.414,31.250,28.809,20.996,17.578
1644357164.398,47.363,30.273,29.785,35.156,4.883
1644357164.402,19.531,28.320,30.762,22.461,23.438
1644357164.406,-5.371,23.438,30.273,9.277,12.695
1644357164.409,12.207,23.438,24.414,17.090,2.441
1644357164.413,19.043,22.949,24.414,24.414,53.711
1644357164.417,5.859,23.438,27.344,15.625,51.270
1644357164.421,-11.230,23.926,28.320,0.488,26.855
1644357164.425,3.906,23.438,24.414,8.301,52.734
1644357164.457,33.203,24.414,21.973,25.879,37.109
1644357164.461,32.715,15.625,29.297,17.090,20.508
1644357164.465,2.930,15.137,29.785,-9.766,8.301
1644357164.469,-5.859,25.391,22.949,-12.695,8.789
1644357164.473,16.113,25.879,21.484,16.602,38.086
1644357164.477,20.020,29.297,21.484,15.137,13.184
1644357164.481,-2.441,32.715,24.902,-7.812,28.320
1644357164.484,-3.418,35.645,29.785,-1.465,19.531
1644357164.488,18.066,35.645,29.297,19.531,-50.293
1644357164.492,31.738,29.297,23.926,30.273,-1.953
1644357164.496,21.973,23.926,25.391,23.438,55.176
1644357164.500,-6.836,24.414,29.297,13.672,56.152
1644357164.486,8.301,26.367,26.367,19.531,23.438
1644357164.490,36.621,29.297,26.367,36.133,-12.207
1644357164.494,28.320,33.203,27.832,31.738,9.766
1644357164.498,5.859,29.297,24.902,16.113,22.949
1644357164.502,25.879,22.949,26.855,23.926,12.207
1644357164.506,49.316,20.020,30.762,44.922,16.602
1644357164.510,42.480,35.645,28.320,43.945,33.203
1644357164.513,19.043,45.898,26.855,30.273,0.488
1644357164.517,18.066,40.039,26.855,32.227,-19.043
1644357164.521,47.852,36.133,22.461,47.363,31.738
1644357164.525,52.734,32.715,16.113,51.758,26.367
1644357164.529,19.531,31.250,18.066,40.527,13.184
1644357164.532,0.000,30.273,27.344,31.738,-21.973
1644357164.536,23.926,25.879,23.438,28.320,-23.926
1644357164.540,44.434,28.320,20.996,29.785,-5.859
1644357164.544,21.484,31.738,24.414,21.484,6.836
1644357164.548,-0.977,38.574,26.367,12.207,26.367
1644357164.552,16.113,35.645,29.785,20.996,43.457
1644357164.556,30.762,23.438,29.297,27.832,51.758
1644357164.559,26.367,29.785,27.832,16.602,21.484
1644357164.563,2.930,33.203,26.367,5.371,-7.324
1644357164.567,1.465,29.785,25.879,11.719,47.363
1644357164.571,30.762,32.227,23.438,25.391,67.871
1644357164.575,35.156,32.715,23.438,27.832,26.367
1644357164.637,10.742,35.645,25.879,13.672,26.855
1644357164.641,6.836,36.621,19.531,-0.488,35.645
1644357164.645,20.996,33.203,11.230,9.766,-3.418
1644357164.649,19.043,30.273,18.555,21.484,5.859
1644357164.653,7.324,26.855,21.484,11.230,52.246
1644357164.657,0.000,28.809,19.043,3.906,30.762
1644357164.661,17.578,27.832,22.461,13.672,43.945
1644357164.664,26.367,21.973,22.461,21.973,57.617
1644357164.668,11.719,22.461,21.484,6.348,23.926
1644357164.672,-0.977,27.344,19.531,-8.301,2.441
1644357164.676,13.184,26.855,18.066,4.883,14.160
1644357164.680,32.227,24.414,18.066,26.855,16.602
1644357164.641,24.414,26.855,18.555,20.020,14.648
1644357164.645,-1.465,30.762,23.926,-0.977,21.973
1644357164.649,1.953,31.250,25.879,2.930,20.020
1644357164.653,32.715,30.762,21.973,17.090,28.320
1644357164.657,42.480,29.297,18.555,15.625,20.508
1644357164.661,10.742,25.391,23.926,4.883,-32.715
1644357164.665,-6.836,26.855,23.438,0.488,-24.414
1644357164.668,19.531,32.227,21.484,12.207,27.344
1644357164.672,27.344,25.879,22.461,25.879,27.832
1644357164.676,13.184,19.043,20.508,20.508,67.871
1644357164.680,-6.348,24.902,16.602,7.812,46.875
1644357164.684,13.672,29.297,16.602,11.719,-16.113
1644357164.682,38.086,28.809,17.578,18.555,47.363
1644357164.686,19.043,25.391,13.672,14.160,70.801
1644357164.690,-8.789,25.879,12.695,-5.371,11.230
1644357164.694,0.977,22.461,9.766,-13.672,10.742
1644357164.698,19.531,24.902,9.277,3.906,40.527
1644357164.702,10.742,30.762,15.137,11.230,45.898
1644357164.706,-10.254,24.902,17.090,-2.930,45.898
1644357164.709,5.371,24.414,13.672,-3.906,34.668
1644357164.713,27.344,23.438,14.648,14.648,51.758
1644357164.717,25.391,18.555,21.973,20.996,47.852
1644357164.721,8.789,23.438,25.391,12.695,13.184
1644357164.725,-2.930,26.367,23.926,9.766,18.555
1644357164.713,19.043,21.484,20.508,14.160,-19.531
1644357164.717,29.297,20.020,17.090,16.602,-22.461
1644357164.721,12.207,24.414,16.113,11.230,20.996
1644357164.725,-0.488,20.020,19.043,8.789,14.648
1644357164.729,15.625,16.113,20.508,17.090,-29.785
1644357164.733,30.762,23.926,21.484,21.484,-7.812
1644357164.737,21.973,29.297,21.484,16.113,14.160
1644357164.740,-5.371,31.250,21.973,2.930,-52.246
1644357164.744,3.906,29.785,25.391,5.859,-36.133
1644357164.748,34.668,24.414,22.949,24.902,7.324
1644357164.752,28.809,22.949,21.484,23.438,-29.785
1644357164.756,2.441,28.320,29.297,2.930,-20.996
1644357164.772,5.859,38.086,29.297,3.906,28.809
1644357164.776,29.297,40.527,26.855,20.508,34.180
1644357164.780,29.785,31.738,30.273,17.578,54.688
1644357164.784,4.883,34.668,32.227,2.441,28.809
1644357164.788,-12.695,43.945,30.762,0.488,2.441
1644357164.792,2.441,37.598,25.391,5.371,16.602
1644357164.796,6.836,38.086,29.297,0.000,-6.348
1644357164.799,-22.949,44.922,28.320,-24.414,8.301
1644357164.803,-62.500,45.410,20.996,-45.898,58.594
1644357164.807,-59.082,45.898,21.484,-43.945,53.223
1644357164.811,-56.152,55.664,23.438,-54.199,41.504
1644357164.815,-87.891,65.430,22.461,-93.750,32.227
1644357164.802,-124.023,67.383,16.113,-115.234,43.457
1644357164.806,-133.301,69.824,12.695,-128.906,62.988
1644357164.810,-129.883,77.148,7.812,-142.578,41.016
1644357164.814,-160.645,84.961,-0.977,-161.133,72.754
1644357164.818,-206.055,96.680,-4.395,-199.707,44.922
1644357164.822,-217.773,97.168,1.953,-219.727,42.969
1644357164.826,-201.660,91.309,8.301,-200.684,85.938
1644357164.829,-189.453,96.680,13.184,-187.012,2.441
1644357164.833,-206.055,93.750,13.672,-192.383,-11.719
1644357164.837,-207.031,89.355,16.113,-188.965,70.801
1644357164.841,-162.109,86.426,19.531,-162.109,34.180
1644357164.845,-131.836,80.566,15.625,-131.836,-5.371
1644357164.862,-129.395,63.477,11.719,-123.535,20.508
1644357164.866,-124.512,50.781,14.648,-112.305,22.461
1644357164.870,-95.215,58.105,17.578,-85.938,25.879
1644357164.874,-53.223,52.734,15.625,-56.152,-7.324
1644357164.878,-41.504,41.992,16.113,-39.551,-22.461
1644357164.882,-61.523,38.574,17.578,-36.621,4.395
1644357164.886,-38.086,25.879,15.137,-21.973,-17.090
1644357164.889,9.766,18.066,15.625,5.859,-4.883
1644357164.893,25.879,24.902,11.719,19.043,16.602
1644357164.897,17.578,18.066,13.672,9.766,47.363
1644357164.901,15.137,12.695,21.484,12.695,31.738
1644357164.905,49.805,18.066,19.043,41.016,-26.855
1644357164.922,64.941,13.672,20.996,59.082,7.812
1644357164.926,42.480,6.348,22.949,60.059,12.207
1644357164.930,45.898,4.395,18.066,62.988,-11.719
1644357164.934,80.566,4.395,15.625,81.543,5.371
1644357164.938,104.004,-0.488,19.043,96.680,3.906
1644357164.942,102.051,-4.395,22.949,90.820,7.812
1644357164.946,83.984,-3.418,21.484,82.031,13.672
1644357164.949,98.633,0.977,14.160,94.727,18.066
1644357164.953,128.418,-0.488,14.160,108.398,54.688
1644357164.957,124.023,-7.812,22.949,99.609,60.547
1644357164.961,91.797,1.465,26.855,78.613,14.648
1644357164.965,94.727,7.324,28.320,73.730,53.223
1644357164.952,121.094,11.719,26.855,91.309,62.500
1644357164.956,119.141,12.695,20.508,92.773,21.973
1644357164.960,86.426,9.766,21.973,73.730,58.594
1644357164.964,70.312,8.789,31.738,70.312,47.363
1644357164.968,99.121,0.977,34.668,88.379,50.781
1644357164.972,107.422,0.977,32.715,97.168,63.965
1644357164.976,88.867,4.395,33.203,82.520,24.414
1644357164.979,67.871,3.418,32.715,75.195,23.438
1644357164.983,83.008,0.488,29.785,83.496,36.621
1644357164.987,109.375,7.812,28.809,89.355,15.625
1644357164.991,96.191,11.230,28.809,88.379,25.391
1644357164.995,65.430,7.324,28.320,70.801,13.672
1644357164.996,70.312,10.742,24.414,63.965,-16.113
1644357165.000,86.426,14.648,20.020,76.660,16.113
1644357165.004,87.891,17.090,20.996,72.754,55.664
1644357165.008,56.152,19.043,23.926,48.340,0.977
1644357165.012,43.457,18.555,24.902,34.668,-24.414
1644357165.016,68.359,14.160,20.996,48.828,1.465
1644357165.020,72.266,5.371,19.043,54.688,51.758
1644357165.023,43.457,9.277,22.949,35.156,65.430
1644357165.027,30.762,19.043,25.391,28.320,28.320
1644357165.031,53.711,18.066,28.809,42.480,45.410
