timestamps,TP9,AF7,AF8,TP10,Right AUX
1644362055.319,-20.020,38.086,22.949,0.488,2.930
1644362055.323,10.742,31.738,17.090,11.230,30.762
1644362055.327,29.297,28.320,15.625,4.395,27.344
1644362055.331,9.766,36.133,28.809,-1.953,34.668
1644362055.335,-7.324,39.062,33.203,-1.465,53.711
1644362055.339,14.648,37.598,23.926,4.395,54.199
1644362055.342,36.621,39.062,18.555,11.230,26.367
1644362055.346,18.066,23.926,25.879,6.836,39.551
1644362055.350,-7.812,22.461,33.203,4.395,24.902
1644362055.354,15.625,39.551,30.762,10.742,5.859
1644362055.358,41.992,42.480,21.484,5.859,26.367
1644362055.362,32.227,35.156,20.508,3.418,16.113
1644362055.528,-0.488,29.297,27.344,1.953,55.664
1644362055.532,-6.348,29.297,29.785,-2.441,40.039
1644362055.536,31.250,31.738,23.926,0.000,8.301
1644362055.540,45.898,29.785,20.996,2.930,23.438
1644362055.544,21.973,25.391,31.250,3.418,33.203
1644362055.548,4.883,22.949,39.551,6.836,32.227
1644362055.551,28.809,25.879,37.598,14.648,47.852
1644362055.555,56.641,33.691,28.320,12.207,49.805
1644362055.559,30.273,35.156,20.508,16.602,23.438
1644362055.563,7.812,33.691,21.484,18.555,31.738
1644362055.567,28.809,32.227,20.996,20.020,-18.555
1644362055.571,50.781,24.414,18.555,27.832,-9.766
1644362055.532,35.156,25.879,23.438,22.949,46.387
1644362055.536,5.371,25.879,29.785,17.090,46.387
1644362055.540,13.672,24.414,34.668,17.578,27.344
1644362055.544,41.504,35.156,21.973,15.137,17.090
1644362055.548,39.062,43.457,13.184,13.184,24.414
1644362055.552,-0.488,35.156,24.902,12.695,11.230
1644362055.555,-8.301,20.996,26.367,8.301,31.250
1644362055.559,26.855,26.367,18.066,12.207,40.527
1644362055.563,37.598,28.809,12.695,15.137,46.875
1644362055.567,8.301,25.391,14.648,10.254,88.379
1644362055.571,-0.977,28.809,21.973,12.207,46.387
1644362055.575,26.855,33.203,20.508,18.066,5.371
1644362055.542,42.969,32.227,14.648,21.973,15.625
1644362055.546,17.090,27.832,18.066,17.578,14.648
1644362055.550,-10.742,26.367,22.949,11.230,79.102
1644362055.554,6.836,25.391,26.367,14.160,63.965
1644362055.558,35.156,24.414,25.391,16.113,4.883
1644362055.562,34.668,27.344,17.090,17.578,74.219
1644362055.565,-1.465,28.809,17.090,10.254,37.109
1644362055.569,-7.812,12.695,27.832,4.395,-21.973
1644362055.573,32.227,6.836,30.273,19.043,8.789
1644362055.577,37.598,22.461,21.973,22.461,38.574
1644362055.581,2.930,29.297,17.090,7.812,58.594
1644362055.585,-2.441,31.250,17.090,13.672,62.012
1644362055.546,31.738,35.645,21.484,21.484,70.312
1644362055.550,40.039,38.086,20.020,16.113,46.875
1644362055.554,13.184,30.762,17.578,17.578,-37.109
1644362055.558,-0.977,26.855,17.578,22.949,-24.902
1644362055.562,22.949,26.367,20.508,25.879,-4.883
1644362055.566,42.480,21.973,21.973,31.738,-27.832
1644362055.569,28.320,28.320,23.926,27.832,-16.602
1644362055.573,-3.906,30.762,29.297,24.902,-11.230
1644362055.577,10.742,31.738,25.879,28.320,14.648
1644362055.581,39.551,35.156,30.762,24.902,30.762
1644362055.585,29.297,24.902,34.668,17.090,-19.531
1644362055.589,6.836,25.391,28.320,14.648,13.672
1644362055.602,7.812,28.809,26.367,18.555,57.617
1644362055.606,35.156,20.508,26.367,22.949,50.293
1644362055.610,42.969,25.391,21.973,17.090,81.055
1644362055.614,9.277,35.645,21.973,5.371,53.223
1644362055.618,-11.230,33.203,23.438,8.301,53.711
1644362055.622,21.484,24.902,23.926,20.996,61.523
1644362055.625,43.457,30.762,23.926,24.414,18.066
1644362055.629,14.160,28.320,26.855,13.184,49.805
1644362055.633,-10.254,22.949,28.320,10.742,100.586
1644362055.637,16.113,21.484,22.949,17.090,68.359
1644362055.641,49.805,20.508,16.113,20.996,72.266
1644362055.645,37.109,28.809,20.508,24.902,83.984
1644362055.605,8.789,29.785,26.855,20.996,55.176
1644362055.609,13.184,25.879,26.855,10.742,34.180
1644362055.613,39.062,26.367,22.461,18.555,51.270
1644362055.617,39.551,25.391,16.602,30.762,50.781
1644362055.621,1.953,22.949,16.113,18.555,35.156
1644362055.625,-7.324,22.949,21.973,10.742,22.461
1644362055.628,28.320,21.484,26.367,22.949,55.664
1644362055.632,42.480,22.461,22.949,25.391,110.840
1644362055.636,18.066,19.043,19.043,20.508,74.219
