timestamps,TP9,AF7,AF8,TP10,Right AUX
1644358018.856,33.203,26.367,25.879,38.086,18.066
1644358018.860,22.461,27.344,29.785,35.156,-6.836
1644358018.864,24.414,25.879,30.273,32.227,69.336
1644358018.868,35.156,22.949,28.809,32.715,41.016
1644358018.872,31.250,23.926,28.320,33.691,37.109
1644358018.876,14.648,26.367,29.297,25.391,58.105
1644358018.880,17.090,26.367,28.809,19.531,16.602
1644358018.883,33.691,29.785,27.832,26.855,-7.324
1644358018.887,34.668,27.832,25.879,32.227,51.758
1644358018.891,18.555,27.344,28.320,30.762,56.641
1644358018.895,22.461,30.762,28.320,29.297,26.855
1644358018.899,37.109,28.809,22.949,28.320,39.551
1644358018.901,38.574,31.738,20.020,31.738,11.719
1644358018.905,34.180,31.250,23.438,28.809,28.320
1644358018.909,18.555,29.785,25.879,24.902,36.621
1644358018.913,21.484,31.250,26.855,26.367,47.852
1644358018.934,32.715,32.227,27.832,31.738,-6.836
1644358018.938,27.832,29.297,30.273,32.715,24.902
1644358018.942,13.672,29.297,29.785,20.996,31.738
1644358018.946,7.812,30.273,28.320,18.066,-0.488
1644358018.950,24.902,29.297,27.344,26.855,82.520
1644358018.954,28.809,29.297,26.855,32.227,40.039
1644358018.958,14.160,31.250,27.344,24.902,-9.277
1644358018.961,7.812,29.297,24.414,20.020,55.664
1644358018.965,20.020,27.832,23.438,26.855,44.922
1644358018.969,26.367,28.809,22.949,29.297,1.953
1644358018.973,24.902,30.762,23.926,25.391,53.223
1644358018.977,18.555,30.273,24.414,17.090,58.105
1644358018.976,25.879,31.738,23.438,25.391,-15.625
1644358018.980,43.457,32.715,22.461,38.574,8.301
1644358018.984,39.551,33.203,23.438,33.203,77.637
1644358018.988,24.414,36.133,22.461,23.438,97.168
1644358018.992,30.762,36.621,20.996,20.508,49.316
1644358018.996,45.410,36.621,22.461,24.414,9.766
1644358019.000,35.156,35.645,21.973,29.297,29.785
1644358019.003,18.555,31.738,19.043,26.855,36.621
1644358019.007,18.555,30.273,20.020,26.367,1.953
1644358019.011,22.461,33.203,21.973,26.367,35.156
1644358019.015,27.344,35.156,22.461,24.414,37.109
1644358019.019,17.578,32.227,23.926,19.531,17.578
1644358019.081,4.883,31.738,24.414,17.090,71.289
1644358019.085,13.672,32.715,25.391,23.438,36.621
1644358019.089,25.391,32.715,26.367,32.715,-47.363
1644358019.093,22.949,32.715,26.855,29.785,-29.297
1644358019.097,5.859,33.691,27.832,20.996,-14.648
1644358019.101,6.348,32.715,25.879,16.113,0.000
1644358019.105,20.996,30.273,24.902,21.973,13.184
1644358019.108,20.508,31.738,26.855,20.996,-10.254
1644358019.112,4.883,29.297,29.785,8.789,-14.648
1644358019.116,0.977,26.367,28.809,4.395,-14.648
1644358019.120,18.066,26.367,24.414,13.672,11.230
1644358019.124,25.391,29.785,24.414,20.020,15.625
1644358019.085,18.555,31.738,24.902,13.672,-43.457
1644358019.089,18.066,31.738,25.391,10.742,-34.668
1644358019.093,26.367,32.227,25.391,17.578,14.160
1644358019.097,29.297,34.180,23.438,20.996,0.488
1644358019.101,20.996,35.156,22.461,22.461,25.879
1644358019.105,13.672,33.203,24.902,20.996,42.480
1644358019.109,29.297,33.691,25.879,19.531,62.500
1644358019.112,40.527,32.227,24.414,29.785,43.457
1644358019.116,38.086,29.785,23.926,26.855,35.645
1644358019.120,23.438,28.320,26.367,14.160,75.195
1644358019.124,23.438,28.320,26.367,20.996,26.855
1644358019.128,38.086,28.320,24.902,27.832,-1.953
1644358019.140,36.133,28.809,26.855,31.738,-8.301
1644358019.144,20.508,28.809,26.855,26.855,59.082
1644358019.148,9.766,24.414,24.902,21.973,55.664
1644358019.152,24.902,23.926,25.391,33.691,23.926
1644358019.156,30.762,27.832,22.949,36.621,19.043
1644358019.160,18.066,27.344,21.484,30.273,16.602
1644358019.164,13.672,26.855,20.508,29.297,7.324
1644358019.167,22.949,26.855,21.973,32.715,23.438
1644358019.171,29.785,26.367,23.438,39.551,61.035
1644358019.175,24.414,28.320,25.879,35.156,-0.488
1644358019.179,11.719,28.809,26.855,24.414,18.555
1644358019.183,16.602,26.367,23.438,22.461,27.832
1644358019.170,30.762,26.855,24.902,26.855,16.113
1644358019.174,26.367,28.809,25.391,20.508,43.945
1644358019.178,11.230,30.762,23.438,16.113,27.344
1644358019.182,12.695,31.738,21.973,15.625,20.508
1644358019.186,27.344,28.809,23.438,15.137,62.500
1644358019.190,29.297,30.762,25.391,23.926,48.828
1644358019.194,15.137,34.180,26.855,24.902,61.035
1644358019.197,9.766,34.180,25.391,18.555,44.434
1644358019.201,24.902,32.715,24.902,22.461,61.523
1644358019.205,27.344,33.203,26.367,25.879,79.102
1644358019.209,20.508,34.668,25.391,19.043,42.969
1644358019.213,13.672,32.227,24.902,16.602,21.484
1644358019.201,21.973,30.762,23.926,20.020,-10.742
1644358019.205,34.668,31.250,25.391,22.949,26.367
1644358019.209,25.879,34.668,27.832,22.949,46.875
1644358019.213,12.695,35.156,28.809,16.602,-4.395
1644358019.217,25.391,32.715,24.902,16.602,-16.113
1644358019.221,39.062,35.645,20.508,27.832,1.465
1644358019.225,33.203,33.691,23.926,27.832,-7.324
1644358019.228,24.414,31.250,26.367,23.438,46.875
1644358019.232,18.066,32.227,26.367,28.320,57.129
1644358019.236,23.926,31.250,26.855,34.668,68.848
1644358019.240,32.715,30.273,26.855,36.133,59.082
1644358019.244,23.438,31.738,24.902,27.832,17.090
1644358019.261,7.812,29.785,23.438,25.391,28.809
1644358019.265,15.625,27.344,24.902,32.227,67.871
1644358019.269,36.621,30.762,23.926,35.156,25.879
1644358019.273,29.297,33.203,21.973,31.250,30.273
1644358019.277,8.301,34.180,21.484,22.461,73.730
1644358019.281,17.578,34.180,19.531,19.531,55.176
1644358019.285,34.180,33.203,21.973,29.297,17.090
1644358019.288,32.715,33.203,22.949,29.297,11.230
1644358019.292,22.949,32.227,19.043,22.461,17.578
1644358019.296,28.809,34.180,18.555,20.020,70.801
1644358019.300,42.480,37.109,20.020,26.855,83.008
1644358019.304,40.039,34.668,20.508,31.250,36.621
1644358019.306,27.344,34.668,19.043,19.043,24.902
1644358019.310,21.973,36.133,19.043,12.207,24.902
1644358019.314,35.156,35.645,21.973,19.531,25.391
1644358019.318,34.180,36.621,22.949,23.438,8.789
1644358019.322,18.066,35.156,24.902,18.555,-27.344
1644358019.326,11.230,34.180,24.414,8.301,23.926
1644358019.330,22.461,35.156,20.020,12.695,39.062
1644358019.333,31.738,33.691,21.973,20.020,15.625
1644358019.337,30.273,34.668,22.949,21.484,-11.230
1644358019.341,21.484,35.156,23.926,19.043,-22.461
1644358019.345,21.484,33.203,22.949,17.578,0.000
1644358019.349,33.691,31.250,21.973,27.344,-2.930
1644358019.350,29.297,30.273,23.438,29.297,15.625
1644358019.354,13.672,28.320,25.391,20.020,-13.184
1644358019.358,11.230,28.320,25.879,21.484,-6.836
1644358019.362,26.855,31.250,21.484,25.391,29.785
1644358019.366,29.297,35.645,17.578,21.484,-33.691
1644358019.370,15.137,36.621,20.020,15.625,-26.367
1644358019.374,8.301,33.691,19.043,11.230,-7.324
1644358019.377,23.438,33.691,18.066,16.602,12.207
1644358019.381,38.574,35.156,20.020,24.414,95.703
1644358019.385,31.738,38.574,20.508,19.043,23.926
1644358019.389,12.695,35.156,21.484,16.113,5.859
1644358019.393,24.902,32.715,20.020,23.926,68.359
1644358019.397,48.828,31.250,21.484,33.203,51.270
1644358019.401,35.645,27.832,24.902,34.180,28.809
1644358019.405,16.113,32.227,23.438,24.902,41.992
1644358019.409,24.414,37.109,23.438,21.973,32.715
1644358019.413,38.574,35.156,26.367,27.832,20.996
1644358019.417,28.809,35.645,29.297,29.785,11.230
1644358019.421,8.789,37.109,27.832,25.391,6.836
1644358019.424,14.160,34.668,28.809,25.879,13.672
1644358019.428,29.785,35.645,29.785,30.273,47.852
1644358019.432,34.180,35.645,26.855,29.785,80.078
1644358019.436,26.855,30.762,25.879,23.926,62.500
