timestamps,TP9,AF7,AF8,TP10,Right AUX
1644357865.554,13.184,30.273,22.949,10.742,32.227
1644357865.558,10.254,29.297,22.461,9.766,34.668
1644357865.562,12.695,31.738,24.902,11.719,41.504
1644357865.566,21.973,32.227,25.391,17.090,17.578
1644357865.570,21.484,32.227,26.367,21.973,42.480
1644357865.574,13.672,33.203,20.508,16.113,26.855
1644357865.578,23.926,33.691,19.043,13.672,34.668
1644357865.581,34.668,34.668,23.438,20.996,58.594
1644357865.585,37.109,33.203,26.367,20.508,86.914
1644357865.589,19.531,32.227,28.809,16.113,56.152
1644357865.593,19.531,27.832,24.414,19.043,-4.883
1644357865.597,36.133,25.879,26.855,24.414,-37.109
1644357865.597,6.836,24.902,29.297,14.160,7.812
1644357865.601,12.695,26.367,34.668,23.926,27.344
1644357865.644,27.344,25.391,36.133,28.809,84.473
1644357865.648,19.043,22.461,35.645,19.043,73.730
1644357865.652,5.371,21.484,36.621,18.066,64.453
1644357865.656,7.324,25.391,30.762,23.926,50.293
1644357865.660,21.484,26.367,27.344,21.973,11.719
1644357865.664,25.879,26.855,29.785,11.230,33.203
1644357865.668,15.625,28.809,28.320,8.301,47.852
1644357865.671,3.906,26.367,27.832,13.672,53.711
1644357865.675,21.484,25.391,28.809,26.855,63.477
1644357865.679,29.785,27.832,21.973,32.227,20.508
1644357865.683,12.695,26.367,22.949,24.414,2.930
1644357865.687,6.836,25.879,31.250,18.066,11.719
1644357865.662,16.602,29.785,29.785,22.461,6.348
1644357865.666,25.391,31.250,25.879,21.973,-8.789
1644357865.670,20.020,30.762,24.902,13.672,20.996
1644357865.674,12.207,31.738,23.438,10.742,72.754
1644357865.678,16.602,32.227,21.973,19.531,51.758
1644357865.682,28.320,31.738,26.855,25.391,34.180
1644357865.686,27.344,30.273,31.738,16.602,51.270
1644357865.689,13.672,30.762,26.367,12.207,53.223
1644357865.693,13.672,32.227,25.879,18.066,70.801
1644357865.697,14.160,32.715,17.578,20.996,65.430
1644357865.701,14.648,32.715,7.812,11.230,9.766
1644357865.705,9.277,30.273,20.996,3.906,40.039
1644357865.704,4.883,28.809,29.785,2.930,51.270
1644357865.708,21.484,28.809,25.391,13.184,-16.113
1644357865.712,31.250,30.762,24.902,22.461,-67.871
1644357865.716,22.461,32.715,27.832,16.113,-56.152
1644357865.720,11.719,35.156,25.391,11.719,47.852
1644357865.724,23.926,35.156,23.438,16.113,43.457
1644357865.728,27.832,33.691,26.855,20.020,3.418
1644357865.731,24.902,32.227,27.344,15.137,58.594
1644357865.735,28.809,30.762,25.879,9.277,79.590
1644357865.739,38.086,31.738,19.531,18.555,51.758
1644357865.743,41.992,31.738,18.555,30.762,3.906
1644357865.747,31.250,29.297,23.438,21.484,-8.789
1644357865.748,18.555,29.297,22.949,13.672,20.508
1644357865.752,28.809,30.762,22.461,10.742,13.184
1644357865.756,33.691,32.715,23.926,14.160,26.367
1644357865.760,29.297,32.715,28.320,19.531,50.781
1644357865.764,31.738,30.273,22.949,21.484,82.031
1644357865.768,27.832,32.715,15.137,23.438,47.363
1644357865.772,26.367,33.691,14.160,11.230,-11.719
1644357865.775,26.367,33.203,17.090,13.184,30.762
1644357865.779,16.113,31.738,20.996,12.695,4.395
1644357865.783,10.254,30.762,14.648,2.441,-11.719
1644357865.787,16.602,28.809,16.113,10.742,38.086
1644357865.791,9.766,26.855,21.484,16.113,45.898
1644357865.839,0.977,26.855,21.484,16.113,72.266
1644357865.843,-1.953,28.320,25.391,18.066,54.199
1644357865.847,-0.488,25.879,33.203,26.367,25.391
1644357865.851,12.695,21.973,35.156,35.156,18.066
1644357865.855,15.625,25.879,31.738,38.574,15.625
1644357865.859,4.395,28.320,28.809,32.227,-6.836
1644357865.863,10.742,26.367,24.902,31.250,-3.418
1644357865.866,20.020,31.738,30.273,37.109,38.086
1644357865.870,29.785,34.668,29.297,34.180,29.297
1644357865.874,20.020,32.715,24.902,23.438,29.785
1644357865.878,8.789,32.227,29.785,22.949,86.426
1644357865.882,30.273,33.691,27.832,28.320,44.434
1644357865.901,37.109,35.645,22.949,31.250,-35.645
1644357865.905,20.020,35.156,21.484,20.996,-3.418
1644357865.909,5.371,33.691,22.461,5.859,12.207
1644357865.913,16.113,30.273,25.391,12.207,34.180
1644357865.917,21.484,28.320,26.855,21.973,61.523
1644357865.921,11.230,28.320,26.367,26.855,-0.977
1644357865.925,7.812,31.738,23.926,19.531,-28.320
1644357865.928,7.812,33.691,21.973,18.066,-19.531
1644357865.932,16.113,29.297,27.344,31.738,65.918
1644357865.936,14.160,27.832,25.879,35.156,61.035
1644357865.940,-2.441,29.297,21.484,25.879,45.410
1644357865.944,-2.930,29.297,24.902,22.949,53.223
1644357865.906,9.766,27.832,20.996,32.715,17.578
1644357865.910,20.020,29.297,21.484,30.273,40.527
1644357865.914,12.695,31.250,30.762,20.020,31.250
1644357865.918,1.953,32.715,32.715,14.160,17.578
1644357865.922,7.324,34.668,24.414,12.695,11.230
1644357865.926,26.855,34.668,23.926,18.066,57.617
1644357865.930,27.344,34.668,25.391,13.672,50.293
1644357865.933,9.277,32.715,22.949,16.113,11.230
1644357865.937,14.648,30.273,22.949,30.273,2.930
1644357865.941,32.715,29.785,24.414,31.738,22.949
1644357865.945,35.156,28.320,28.320,27.832,28.320
1644357865.949,20.508,32.715,25.391,25.879,1.953
1644357866.018,20.996,33.691,21.484,28.320,32.715
1644357866.022,38.574,29.785,22.461,41.992,55.176
1644357866.026,42.480,29.785,21.973,42.480,52.246
1644357866.030,31.250,29.785,25.879,32.227,30.762
1644357866.034,26.367,29.785,36.621,31.250,24.902
1644357866.038,41.992,28.320,34.668,37.598,34.668
1644357866.042,40.039,26.855,28.320,39.551,36.621
1644357866.045,26.367,26.855,33.203,30.273,40.039
1644357866.049,22.949,24.414,30.762,20.508,14.648
1644357866.053,23.926,24.414,26.855,15.625,15.137
1644357866.057,30.273,23.926,32.227,17.578,-11.719
1644357866.061,33.203,21.973,35.645,24.414,4.883
1644357866.048,16.602,26.855,31.738,18.555,20.508
1644357866.052,14.160,27.344,26.855,13.184,25.391
1644357866.056,34.668,26.367,24.414,25.879,61.035
1644357866.060,25.879,27.832,24.414,24.414,60.059
1644357866.064,13.672,31.250,25.391,13.184,30.273
1644357866.068,24.902,30.273,28.809,21.973,45.410
1644357866.072,38.086,30.762,30.762,30.762,68.359
1644357866.075,38.086,33.203,32.227,20.508,53.223
1644357866.079,29.297,32.227,32.715,12.695,16.113
1644357866.083,28.809,32.227,26.367,17.090,-26.855
1644357866.087,35.645,31.250,24.414,21.484,-7.812
1644357866.091,31.738,32.227,24.414,18.066,24.414
1644357866.064,20.020,34.668,22.461,16.113,51.758
1644357866.068,21.484,35.156,21.973,14.160,48.340
1644357866.072,31.250,31.250,22.949,15.137,14.160
1644357866.076,32.227,31.738,22.461,16.602,60.059
1644357866.080,25.879,35.156,22.949,11.230,43.457
1644357866.084,17.090,36.621,18.066,8.789,-5.371
