timestamps,TP9,AF7,AF8,TP10,Right AUX
1635968532,3.418,36.621,33.691,24.902,61.035
1635968532,-18.066,36.621,32.227,30.273,67.871
1635968532,32.227,31.25,31.25,25.879,94.238
1635968532,88.867,30.273,31.738,15.137,110.352
1635968532,27.832,31.738,35.645,16.602,94.727
1635968532,-26.855,34.18,31.738,21.484,85.938
1635968532,10.254,38.086,24.902,16.113,80.566
1635968532,81.055,30.273,27.832,3.906,54.688
1635968532,40.039,26.855,24.902,8.301,79.102
1635968532,-33.203,34.668,20.996,19.043,88.867
1635968532,-14.648,36.621,26.367,13.672,54.199
1635968532,54.199,29.297,26.367,0.488,79.59
1635968532,54.688,26.855,28.32,7.324,91.797
1635968532,-21.484,29.297,31.25,21.484,73.73
1635968532,-25.879,28.809,29.297,21.973,70.312
1635968532,41.992,33.203,30.762,17.09,70.801
1635968532,79.59,36.133,39.062,17.578,57.129
1635968532,10.254,34.18,33.691,25.391,45.41
1635968532,-27.832,34.18,25.391,24.414,47.363
1635968532,15.625,29.297,32.715,15.137,45.41
1635968532,75.684,22.949,37.598,8.789,64.453
1635968532,24.414,27.344,38.086,10.742,78.125
1635968532,-28.809,33.691,33.203,21.973,72.754
1635968532,2.93,32.227,32.227,23.926,63.965
1635968532,71.289,31.25,34.668,12.695,65.43
1635968532,57.129,27.832,30.273,12.695,49.316
1635968532,-14.648,31.738,28.32,21.484,51.27
1635968532,-13.184,39.551,33.691,23.438,74.707
1635968532,57.129,32.715,30.273,15.137,49.316
1635968532,69.824,26.855,24.414,6.836,56.641
1635968532,-5.859,27.344,27.344,18.555,70.801
1635968532,-24.902,26.367,29.785,26.855,56.641
1635968532,31.25,26.367,38.086,19.043,66.895
1635968532,73.242,30.762,38.086,12.695,74.219
1635968532,11.719,32.227,21.973,16.113,74.219
1635968532,-22.461,28.32,21.973,20.02,67.383
1635968532,14.648,29.297,29.297,13.184,62.5
1635968532,70.312,29.297,24.902,4.883,68.359
1635968532,26.367,25.879,26.367,15.137,58.594
1635968532,-30.273,26.855,30.273,22.461,47.363
1635968532,-0.977,22.949,27.832,20.508,12.207
1635968532,68.359,23.926,26.855,12.695,-6.348
1635968532,50.293,27.344,24.902,8.301,25.391
1635968532,-27.344,22.461,20.996,14.16,21.973
1635968532,-15.625,19.531,22.949,12.207,19.531
1635968532,51.27,25.879,18.555,6.348,68.848
1635968532,64.453,26.855,21.484,5.859,71.777
1635968532,-9.766,23.926,28.32,14.16,53.711
1635968532,-33.691,28.32,30.273,20.02,34.18
1635968532,21.973,31.25,32.715,15.137,38.574
1635968532,77.148,29.297,27.344,9.766,52.246
1635968532,14.648,28.32,24.414,19.043,44.922
1635968532,-34.668,29.785,25.391,22.461,16.602
1635968532,2.93,28.32,22.461,17.09,1.465
1635968532,65.43,25.391,22.461,8.789,44.922
1635968532,32.227,28.32,25.391,13.184,44.922
1635968532,-31.738,31.25,22.949,21.484,14.648
1635968532,-16.602,28.32,25.391,12.695,26.367
1635968532,56.641,29.785,33.691,0,34.18
1635968533,56.641,33.203,24.902,0.977,29.785
1635968533,-20.996,32.227,20.02,14.16,23.438
1635968533,-25.391,31.25,28.32,17.578,29.785
1635968533,40.039,32.227,25.879,8.789,49.316
1635968533,65.43,32.227,21.973,0.977,73.73
1635968533,-7.812,30.762,28.809,8.301,74.219
1635968533,-31.738,30.273,26.855,15.137,32.227
1635968533,16.602,28.809,23.438,15.137,11.23
1635968533,75.195,29.785,24.414,8.789,12.207
1635968533,29.297,32.715,28.809,16.602,34.668
1635968533,-20.996,33.203,29.297,24.902,43.945
1635968533,7.812,33.691,29.785,19.531,62.5
1635968533,80.078,37.598,31.25,7.812,58.594
1635968533,45.898,36.621,27.344,9.277,12.695
1635968533,-29.785,33.203,30.762,22.949,25.391
1635968533,-12.695,32.227,34.18,25.391,44.434
1635968533,51.27,28.809,30.273,14.648,70.312
1635968533,55.664,27.832,26.367,11.23,56.641
1635968533,-19.531,30.273,23.438,16.602,19.043
1635968533,-27.832,29.785,26.855,19.043,20.02
1635968533,36.621,30.273,32.227,12.207,47.363
1635968533,75.195,33.203,32.715,10.742,71.289
1635968533,9.766,24.902,30.273,22.949,26.855
1635968533,-25.879,24.902,29.785,20.996,2.441
1635968533,17.578,27.832,30.762,16.602,21.484
1635968533,70.312,26.855,24.902,5.371,42.969
1635968533,20.996,29.785,22.461,7.324,45.898
1635968533,-28.32,27.832,23.926,19.531,19.043
1635968533,-10.254,30.762,23.438,12.207,7.324
1635968533,54.688,32.715,19.531,2.93,12.695
1635968533,47.363,26.855,16.113,9.277,23.438
1635968533,-27.344,25.879,22.949,16.602,34.668
1635968533,-22.949,25.391,26.855,16.602,49.805
1635968533,56.152,26.855,25.879,9.766,32.227
1635968533,71.289,28.32,29.297,7.812,16.602
1635968533,-8.789,23.438,33.691,15.137,19.043
1635968533,-24.414,20.508,31.25,16.602,-24.902
1635968533,24.414,22.949,28.32,6.348,-29.785
1635968533,68.359,26.367,26.855,1.465,40.039
1635968533,11.23,26.367,26.367,10.742,27.344
1635968533,-32.715,29.785,25.391,10.742,6.348
1635968533,5.859,30.762,24.414,7.324,1.953
1635968533,71.777,30.273,26.367,4.395,4.395
1635968533,30.273,28.32,28.32,7.812,23.438
1635968533,-32.227,25.879,24.414,19.531,6.348
1635968533,-12.207,28.809,22.461,17.09,1.465
1635968533,48.828,34.18,29.297,2.93,18.555
1635968533,43.457,32.227,32.227,6.348,-2.93
1635968533,-20.508,28.809,25.391,14.16,-17.09
1635968533,-18.555,30.273,22.949,14.16,25.391
1635968533,42.48,27.832,28.32,12.695,48.34
1635968533,61.035,23.926,27.832,5.859,13.672
1635968533,-12.695,27.344,27.344,17.09,12.695
1635968533,-36.621,31.738,28.809,25.391,18.555
1635968533,15.625,30.762,29.785,16.113,17.09
1635968533,72.754,30.762,25.879,10.254,21.484
1635968533,16.113,21.484,20.02,16.602,-20.508
1635968533,-30.273,19.043,25.391,19.043,-35.156
1635968533,1.953,28.32,33.203,17.09,-2.93
1635968533,63.965,30.273,32.715,15.137,12.695
1635968533,29.297,29.785,26.855,12.695,23.438
1635968533,-33.691,34.668,26.367,14.648,-2.441
1635968533,-9.766,37.598,26.855,17.09,14.16
1635968533,58.105,33.203,26.367,10.742,42.969
1635968533,53.711,22.949,24.414,8.789,20.996
1635968533,-22.461,23.926,25.391,20.02,11.719
1635968533,-27.344,28.32,31.25,24.414,-24.414
1635968533,34.18,29.297,26.367,13.184,-44.922
1635968533,67.871,30.762,22.949,3.418,-20.02
1635968533,-2.441,25.879,31.738,15.137,21.973
1635968533,-35.156,29.297,32.715,18.555,7.324
1635968533,10.254,38.086,29.785,9.766,6.348
1635968533,69.824,31.25,34.18,7.812,59.57
1635968533,20.996,20.02,34.668,11.23,29.297
1635968533,-28.32,22.949,28.809,16.113,7.812
1635968533,3.906,28.32,24.902,11.719,12.207
1635968533,70.801,35.156,23.926,3.418,13.672
1635968533,46.875,35.156,28.809,8.789,38.574
1635968533,-25.391,33.203,29.297,15.625,11.23
1635968533,-19.531,36.133,29.297,15.625,-18.066
