timestamps,TP9,AF7,AF8,TP10,Right AUX
1635969597.900,83.984,25.391,26.367,13.184,48.340
1635969597.904,39.551,20.508,27.832,17.578,52.246
1635969597.908,-17.578,13.184,35.645,17.578,34.180
1635969597.912,-6.348,14.648,30.273,16.602,40.527
1635969597.916,55.176,17.090,15.137,14.648,48.828
1635969597.920,41.504,16.113,27.832,12.695,46.875
1635969597.924,-15.137,15.625,34.180,20.020,29.297
1635969597.927,-6.836,18.555,31.250,14.648,6.836
1635969597.931,47.852,19.043,30.762,4.883,28.320
1635969597.935,53.711,14.160,20.020,5.371,58.105
1635969597.939,-2.930,15.137,20.996,13.184,41.992
1635969597.943,-11.230,17.578,22.461,16.113,15.137
1635969597.945,39.062,18.555,19.531,22.949,8.789
1635969597.949,8.301,25.391,22.949,38.574,15.137
1635969597.953,36.621,31.250,23.438,44.922,33.203
1635969597.957,86.914,23.926,16.602,37.109,46.875
1635969597.961,54.688,21.484,22.949,34.180,31.738
1635969597.964,3.418,22.461,23.438,40.527,22.949
1635969597.968,18.066,20.508,15.137,46.387,35.645
1635969597.972,70.312,18.555,15.625,40.039,35.645
1635969597.976,60.547,21.484,20.508,30.273,59.570
1635969597.980,6.836,24.902,25.391,35.156,77.637
1635969597.996,1.953,26.367,25.391,41.016,38.574
1635969598.000,41.504,20.996,20.020,36.133,35.645
1635969598.004,52.246,20.020,20.508,20.508,13.672
1635969598.008,4.395,22.949,34.180,19.531,28.809
1635969598.012,-7.324,23.438,31.250,23.926,15.625
1635969598.016,19.043,23.438,16.113,17.578,-5.371
1635969598.020,54.688,26.855,10.742,11.719,32.227
1635969598.023,23.926,28.320,23.926,16.113,47.852
1635969598.027,-2.441,27.344,32.715,18.066,33.203
1635969598.031,20.020,24.902,21.973,18.066,32.715
1635969598.035,54.688,28.320,15.137,16.113,74.219
1635969598.039,23.926,29.297,27.832,9.766,47.363
1635969598.034,-10.254,24.902,40.039,22.461,33.691
1635969598.038,8.789,25.391,37.598,26.367,40.527
1635969598.042,51.758,24.414,25.879,9.277,24.902
1635969598.046,42.480,21.973,21.484,11.719,34.668
1635969598.050,-6.348,24.414,32.227,26.367,14.648
1635969598.054,-3.418,27.832,33.203,30.273,-39.062
1635969598.058,34.668,25.391,18.066,24.414,5.859
1635969598.061,53.711,23.926,11.719,24.902,35.645
1635969598.065,11.230,25.391,19.043,32.227,-10.254
1635969598.069,-1.953,28.320,21.973,27.344,23.438
1635969598.073,22.461,26.855,20.996,27.832,55.664
1635969598.077,63.965,24.414,20.996,22.461,80.566
1635969598.107,36.621,30.273,25.391,19.531,60.547
1635969598.111,-4.395,35.645,22.949,29.785,17.090
1635969598.115,6.836,29.297,13.672,25.391,19.043
1635969598.119,58.105,26.855,13.184,21.973,21.484
1635969598.123,45.410,27.832,21.484,33.691,15.625
1635969598.127,-0.488,32.715,27.832,36.133,52.734
1635969598.131,-8.301,30.762,21.973,22.461,19.531
1635969598.134,31.738,22.949,11.230,10.742,-40.039
1635969598.138,49.805,28.320,20.508,11.230,21.973
1635969598.142,4.395,29.297,29.297,19.043,39.062
1635969598.146,0.000,26.367,24.414,19.531,17.578
1635969598.150,43.457,26.855,23.926,16.113,36.621
1635969598.144,80.566,28.320,23.438,12.695,16.602
1635969598.148,27.832,30.273,33.203,24.414,11.230
1635969598.152,-6.348,29.297,41.992,34.180,6.348
1635969598.156,24.902,27.832,33.691,30.762,19.531
1635969598.160,75.684,30.273,22.949,29.785,31.738
1635969598.164,41.504,28.320,31.250,28.809,10.742
1635969598.168,-4.395,26.855,38.574,21.973,45.410
1635969598.171,10.742,30.762,29.297,20.996,8.789
1635969598.175,61.035,28.809,16.113,15.137,22.461
1635969598.179,48.828,27.344,20.020,10.742,28.320
1635969598.183,9.277,27.832,29.297,16.602,1.953
1635969598.187,8.301,27.832,25.879,14.160,4.883
1635969598.181,41.016,31.738,22.461,17.090,8.301
1635969598.185,48.340,35.156,23.438,13.672,49.316
1635969598.189,-0.977,29.297,39.062,10.254,39.551
1635969598.193,-9.766,22.461,45.410,18.555,29.297
1635969598.197,27.832,26.367,31.250,16.602,59.570
1635969598.201,69.336,30.762,26.855,15.137,68.848
1635969598.205,22.461,32.715,27.344,20.020,6.836
1635969598.208,-10.254,33.691,33.203,18.555,-13.672
1635969598.212,10.742,34.668,37.109,21.973,36.621
1635969598.216,54.199,34.668,28.809,12.207,43.945
1635969598.220,39.062,33.203,31.250,13.184,5.371
1635969598.224,-11.230,31.738,36.621,24.414,33.691
1635969598.220,-7.812,34.180,27.832,22.949,45.410
1635969598.224,41.016,36.133,19.043,16.602,33.691
1635969598.228,41.992,37.109,31.738,15.137,74.219
1635969598.232,-1.465,32.227,37.598,22.949,44.434
1635969598.236,-5.371,29.785,30.762,26.855,13.672
1635969598.240,45.410,37.109,25.391,23.926,60.547
1635969598.244,72.754,39.062,17.090,21.484,33.691
1635969598.247,15.625,33.203,29.297,28.809,15.137
1635969598.251,-16.113,31.250,30.273,22.461,2.930
1635969598.255,20.996,33.691,15.137,13.672,-27.344
1635969598.259,68.848,34.180,10.742,13.672,41.504
1635969598.263,19.043,34.180,18.555,16.113,78.125
1635969598.275,-0.488,38.574,28.809,27.344,48.828
1635969598.279,21.973,39.551,27.344,23.926,58.594
1635969598.283,67.871,32.715,16.602,15.625,40.039
1635969598.287,48.340,30.273,24.902,27.344,-4.883
1635969598.291,-9.277,31.250,38.086,29.297,8.301
1635969598.295,5.859,35.645,37.109,28.320,16.602
1635969598.299,63.965,37.598,21.484,31.738,34.180
1635969598.302,62.012,34.180,26.367,31.738,38.086
1635969598.306,6.836,32.227,46.387,37.109,41.504
1635969598.310,7.324,29.785,48.828,44.922,41.016
1635969598.314,48.828,25.879,45.410,38.086,37.109
1635969598.318,67.871,26.855,39.551,20.508,48.828
1635969598.312,10.742,31.250,40.527,33.203,74.219
1635969598.316,-12.207,28.809,41.992,46.387,41.504
1635969598.320,24.414,28.809,34.180,33.691,13.184
1635969598.324,77.637,30.273,22.949,29.785,66.895
1635969598.328,34.668,26.367,28.320,40.527,35.645
1635969598.332,-5.859,22.461,33.691,43.945,0.488
1635969598.336,15.625,24.414,21.973,35.156,30.273
1635969598.339,62.012,24.414,12.695,26.367,91.309
1635969598.343,47.363,23.438,13.184,28.320,36.133
1635969598.347,-10.254,26.855,20.508,26.855,-26.367
1635969598.351,-5.859,26.855,23.438,30.762,-9.766
1635969598.355,48.828,27.344,12.695,25.391,49.805
1635969598.369,58.105,29.297,27.344,22.461,70.312
1635969598.373,5.371,21.484,39.551,33.203,7.324
1635969598.377,-10.254,18.555,33.691,36.133,-18.555
1635969598.381,31.250,23.438,30.273,34.180,-0.977
1635969598.385,73.730,27.344,24.414,33.203,40.039
1635969598.389,34.668,30.273,21.973,39.551,7.812
1635969598.393,-2.441,27.832,20.020,34.180,-16.602
1635969598.396,22.949,31.250,14.160,25.879,24.414
1635969598.400,70.312,37.109,14.648,31.738,38.574
1635969598.404,30.273,35.156,23.438,28.809,64.941
1635969598.408,-12.207,31.250,24.414,22.461,65.918
1635969598.412,10.254,31.738,18.555,20.020,-2.441
1635969598.407,63.477,35.645,17.578,13.184,-1.953
1635969598.411,46.387,38.086,17.578,17.578,36.621
1635969598.415,-3.906,33.203,23.438,28.809,60.547
1635969598.419,12.695,28.320,28.809,36.621,11.719
1635969598.423,62.012,28.320,27.832,39.551,31.738
1635969598.427,71.777,30.762,24.902,33.203,31.738
1635969598.431,16.602,29.785,26.367,24.414,-8.789
1635969598.434,-20.020,28.809,36.133,22.949,0.977
1635969598.438,14.648,29.297,29.785,24.414,-2.930
1635969598.442,62.988,25.391,24.414,21.973,-12.207
1635969598.446,21.484,25.879,41.016,28.809,-17.578
1635969598.450,-8.301,28.809,41.504,33.691,19.043
1635969598.463,21.484,27.344,28.320,26.855,50.781
1635969598.467,62.988,24.902,21.973,16.602,59.570
1635969598.471,41.504,28.809,34.180,25.391,41.016
1635969598.475,-0.488,33.691,45.410,33.691,0.000
1635969598.479,3.906,33.691,37.598,25.391,36.621
1635969598.483,67.871,33.203,22.461,23.926,65.430
1635969598.487,62.500,38.574,23.926,28.809,30.762
1635969598.490,-3.418,34.180,36.133,26.855,-21.484
1635969598.494,-4.883,25.391,35.645,28.809,-15.137
1635969598.498,41.992,23.926,36.133,27.344,5.859
1635969598.502,64.453,24.902,39.062,17.090,42.969
1635969598.506,12.207,31.250,36.621,24.414,67.383
1635969598.500,-1.465,31.250,40.527,28.809,31.250
1635969598.504,30.273,27.344,34.668,21.484,38.086
1635969598.508,58.594,30.273,21.484,22.949,61.035
1635969598.512,14.160,32.227,26.855,21.973,29.297
1635969598.516,-22.949,33.203,31.738,16.602,-3.418
1635969598.520,3.906,33.203,24.902,23.438,12.207
1635969598.524,55.176,28.809,13.672,14.648,34.180
1635969598.527,31.738,29.785,27.344,13.184,15.625
1635969598.531,-1.953,36.621,42.480,26.855,27.344
1635969598.535,4.883,33.691,33.691,22.949,52.246
1635969598.539,46.387,27.344,28.320,13.184,38.574
1635969598.543,48.340,27.344,33.203,15.137,21.973
1635969598.556,0.000,28.320,36.133,25.391,24.414
1635969598.560,0.488,27.344,26.367,32.227,44.922
1635969598.564,42.969,27.832,21.484,29.785,46.387
1635969598.568,74.219,30.273,22.949,29.297,62.988
1635969598.572,22.461,32.227,29.785,35.156,48.828
1635969598.576,-6.836,33.203,38.086,29.297,-1.953
1635969598.580,26.855,33.203,22.949,14.648,-8.789
1635969598.583,70.312,33.203,15.137,9.277,25.391
1635969598.587,39.551,34.180,27.344,21.484,35.645
1635969598.591,12.207,33.691,30.273,26.367,38.574
1635969598.595,28.809,33.203,24.414,32.715,62.988
1635969598.599,64.453,29.297,15.625,30.273,39.062
1635969598.594,44.434,28.809,21.484,18.555,-16.602
1635969598.598,1.953,31.250,31.250,25.879,2.930
1635969598.602,4.883,33.203,30.762,31.738,17.090
1635969598.606,40.527,33.203,24.902,27.344,45.898
1635969598.610,42.480,32.715,28.320,23.926,61.035
1635969598.614,-14.160,36.621,36.133,26.855,-10.742
1635969598.618,-16.113,35.645,35.156,26.855,-20.996
1635969598.621,32.227,30.762,27.832,24.414,20.996
1635969598.625,65.430,28.320,19.043,18.555,79.102
1635969598.629,18.066,32.227,27.832,17.578,93.750
1635969598.633,-5.859,34.668,35.645,22.949,21.973
1635969598.637,14.160,28.809,27.344,19.531,-3.418
1635969598.650,46.387,28.320,18.555,9.277,15.137
1635969598.654,26.367,31.738,21.973,8.789,35.645
1635969598.658,-9.277,30.273,35.645,6.348,16.602
1635969598.662,7.324,30.762,42.480,1.465,13.184
1635969598.666,54.688,30.273,38.086,0.977,43.457
1635969598.670,43.457,31.738,40.527,6.836,24.414
1635969598.674,-2.930,28.320,44.434,14.160,-23.926
1635969598.677,0.000,26.855,48.828,23.926,3.906
1635969598.681,43.457,26.367,45.410,27.832,61.523
1635969598.685,56.641,24.902,46.875,25.879,12.695
1635969598.689,14.648,28.809,57.617,36.621,28.809
1635969598.693,1.465,31.250,52.246,39.551,40.039
1635969598.706,27.832,27.832,40.527,31.738,0.488
1635969598.710,66.895,24.902,35.645,29.785,53.711
1635969598.714,31.738,25.879,45.410,34.668,70.312
1635969598.718,1.953,24.902,50.293,35.645,62.012
1635969598.722,24.902,23.926,37.598,26.855,22.461
1635969598.726,72.266,22.949,31.250,21.973,16.113
1635969598.730,46.875,22.949,32.227,26.367,43.945
1635969598.733,-0.488,24.414,41.016,27.344,16.113
1635969598.737,7.812,25.879,37.598,30.273,20.508
1635969598.741,61.523,26.855,22.461,26.855,25.391
1635969598.745,54.688,25.879,41.504,18.066,69.336
1635969598.749,-5.859,26.855,52.734,21.973,80.566
1635969598.744,1.953,30.273,41.504,32.227,5.859
1635969598.748,50.293,30.273,29.785,29.785,17.090
1635969598.752,75.684,31.250,31.738,22.949,59.570
