timestamps,TP9,AF7,AF8,TP10,Right AUX
1635969078.539,69.824,39.551,38.086,40.039,104.492
1635969078.543,93.750,35.156,26.367,27.832,18.066
1635969078.547,-5.371,32.227,40.527,27.344,-9.766
1635969078.551,-28.809,36.621,44.922,27.344,-15.137
1635969078.555,32.715,45.898,38.574,13.184,35.156
1635969078.559,90.332,49.316,32.715,5.859,52.246
1635969078.563,10.742,46.875,44.434,11.230,26.367
1635969078.566,-57.129,49.316,57.617,5.859,26.855
1635969078.570,-16.113,54.688,53.223,-12.207,15.137
1635969078.574,72.754,63.477,45.410,-27.832,-3.906
1635969078.578,13.672,70.801,53.223,-20.508,12.207
1635969078.582,-87.891,76.172,61.523,-27.344,22.949
1635969078.583,27.344,70.312,62.500,-41.016,21.973
1635969078.587,-3.906,77.148,57.617,-59.082,35.156
1635969078.591,-109.863,82.520,58.105,-63.477,59.570
1635969078.595,-108.398,80.078,65.918,-62.500,54.199
1635969078.599,-35.645,80.566,65.918,-75.684,35.645
1635969078.603,-11.719,78.613,60.547,-87.891,46.875
1635969078.606,-107.910,79.102,72.266,-85.938,34.180
1635969078.610,-143.066,86.426,67.383,-84.961,46.875
1635969078.614,-82.031,92.285,61.523,-88.379,35.645
1635969078.618,-16.113,94.238,66.895,-99.609,19.043
1635969078.622,-98.633,92.773,71.289,-100.586,51.758
1635969078.634,-162.109,92.773,70.312,-94.238,38.574
1635969078.638,-111.328,94.238,67.383,-88.379,7.812
1635969078.642,-16.602,90.332,65.918,-87.402,33.203
1635969078.646,-48.340,84.473,67.871,-73.730,26.855
1635969078.650,-127.441,77.637,77.637,-60.059,8.789
1635969078.654,-96.191,68.359,68.848,-52.246,-9.766
1635969078.658,5.371,63.965,49.805,-44.922,-1.953
1635969078.661,11.230,60.059,52.734,-41.016,25.391
1635969078.665,-73.242,52.246,57.129,-20.020,3.906
1635969078.669,-65.918,46.387,59.082,-3.906,-1.953
1635969078.673,19.043,38.574,48.340,-7.324,42.480
1635969078.677,73.242,29.785,38.574,0.488,43.457
1635969078.671,-5.371,28.809,46.387,19.043,2.441
1635969078.675,-44.922,21.973,44.922,25.391,-30.273
1635969078.679,24.414,12.207,35.156,28.320,4.395
1635969078.683,110.840,11.230,20.020,26.855,77.148
1635969078.687,51.270,5.371,22.949,36.133,11.230
1635969078.691,-7.812,-0.977,35.156,55.176,21.973
1635969078.695,34.180,0.000,28.809,64.453,81.543
1635969078.698,130.859,0.977,22.461,66.895,81.543
1635969078.702,102.539,0.488,19.043,66.895,40.039
1635969078.706,2.930,0.488,20.020,70.801,0.000
1635969078.710,12.207,0.488,28.320,78.125,24.902
