timestamps,TP9,AF7,AF8,TP10,Right AUX
1642302515.882,41.992,-505.859,38.574,16.113,-10.254
1642302515.886,169.434,-601.074,39.062,31.250,15.137
1642302515.890,38.086,-761.230,44.922,46.387,-6.348
1642302515.894,-116.699,-612.793,45.410,26.367,5.371
1642302515.898,-1.953,-463.379,43.457,23.926,40.527
1642302515.902,179.199,-676.758,42.969,31.738,18.555
1642302515.905,95.703,-823.730,45.410,29.785,29.297
1642302515.909,-103.027,-569.824,44.434,28.320,40.527
1642302515.913,-74.707,-482.422,41.016,16.602,26.367
1642302515.917,123.047,-561.523,42.480,21.484,10.254
1642302515.921,133.301,-533.203,41.992,26.367,18.555
1642302515.925,-56.152,-461.914,45.898,20.996,34.668
1642302515.943,-103.027,-529.785,47.852,30.762,19.043
1642302515.947,74.219,-596.680,47.363,27.344,0.000
1642302515.951,164.062,-472.656,45.898,41.504,37.109
1642302515.955,3.418,-451.660,38.086,32.715,36.133
1642302515.959,-123.535,-695.312,38.574,23.438,-9.766
1642302515.963,7.812,-946.289,41.992,34.180,-13.672
1642302515.966,168.945,-832.031,39.062,34.180,6.836
1642302515.970,51.758,-456.543,36.133,34.668,35.645
1642302515.974,-133.301,-500.488,39.551,22.949,54.688
1642302515.978,-44.434,-644.043,42.969,16.113,31.250
1642302515.982,146.484,-479.980,40.527,31.250,18.066
1642302515.986,109.863,-369.141,39.551,34.180,31.738
1642302515.987,-77.148,-536.133,41.504,33.691,39.062
1642302515.991,-84.961,-675.293,41.504,19.043,17.090
1642302515.995,105.957,-500.488,41.016,21.484,20.020
1642302515.999,151.367,-397.949,42.969,41.504,26.367
1642302516.003,-39.551,-564.941,44.434,50.293,28.809
1642302516.007,-107.910,-805.176,42.969,42.480,0.977
1642302516.010,78.125,-799.316,39.551,13.672,-7.324
1642302516.014,181.152,-618.652,40.039,26.855,27.832
1642302516.018,19.531,-684.082,37.109,39.062,4.883
1642302516.022,-121.582,-1000.000,39.062,28.809,-45.898
1642302516.026,7.324,-742.188,43.945,28.320,8.789
1642302516.030,169.922,-323.242,38.086,37.109,73.730
1642302516.032,78.125,-438.477,37.598,50.293,39.062
1642302516.036,-104.980,-573.730,38.086,48.340,9.277
1642302516.040,-55.176,-532.227,38.086,19.531,2.930
1642302516.044,137.207,-463.379,36.621,15.625,12.695
1642302516.048,112.305,-488.281,36.621,19.043,48.828
1642302516.052,-80.078,-658.203,36.621,21.484,32.715
1642302516.055,-88.379,-766.113,37.598,23.438,-4.395
1642302516.059,97.656,-627.441,40.039,20.996,20.996
1642302516.063,148.926,-734.375,39.551,23.438,38.574
1642302516.067,-28.320,-871.094,37.598,20.020,13.184
1642302516.071,-118.652,-611.816,36.133,26.855,35.156
1642302516.075,41.016,-478.516,37.109,29.785,83.984
1642302516.077,178.711,-537.598,40.039,43.457,73.242
1642302516.081,51.758,-479.492,42.969,42.480,35.156
1642302516.085,-117.676,-451.660,45.410,34.668,48.828
1642302516.089,-24.902,-538.574,44.434,31.250,56.641
1642302516.093,153.320,-514.160,37.598,36.621,47.363
1642302516.097,83.984,-532.227,35.156,41.016,45.410
1642302516.100,-104.980,-671.387,33.691,35.156,27.832
1642302516.104,-73.242,-821.777,32.715,26.367,20.508
1642302516.108,116.699,-865.234,39.062,39.551,6.836
1642302516.112,115.234,-502.441,41.016,43.945,36.133
1642302516.116,-77.148,-430.664,38.086,30.273,24.902
1642302516.120,-103.516,-578.613,42.969,22.461,12.207
1642302516.123,90.820,-503.418,40.527,7.812,40.527
1642302516.127,168.457,-467.773,37.109,17.090,59.570
1642302516.131,0.977,-486.816,39.551,22.949,56.641
1642302516.135,-121.582,-671.387,39.062,13.672,13.672
