timestamps,TP9,AF7,AF8,TP10,Right AUX
1642302653.930,96.680,-99.121,25.879,-36.133,94.238
1642302653.934,66.406,-296.387,28.320,-30.273,100.098
1642302653.938,-80.078,-409.668,35.645,-17.578,81.055
1642302653.942,-75.195,-264.160,45.410,-6.348,62.012
1642302653.946,71.289,-59.570,42.480,-16.113,107.422
1642302653.950,83.008,-301.270,33.203,-26.855,107.422
1642302653.954,-47.363,-521.973,33.691,-12.695,72.754
1642302653.957,-78.613,-247.070,35.645,5.859,80.078
1642302653.961,44.922,-160.645,37.109,0.488,66.895
1642302653.965,118.164,-350.586,56.641,5.859,51.270
1642302653.969,6.348,-426.758,63.477,0.488,51.758
1642302653.973,-116.211,-318.359,40.527,-9.766,55.176
1642302653.975,-32.227,-316.895,34.180,-18.555,75.684
1642302653.979,80.078,-423.828,44.434,-37.598,75.195
1642302653.983,-9.277,-503.418,55.664,-43.457,60.547
1642302653.987,-142.578,-674.316,73.242,-48.828,42.480
1642302653.991,-116.699,-915.039,64.941,-102.539,35.645
1642302653.995,-1.953,-959.961,72.266,-147.461,20.996
1642302653.999,-25.391,-966.797,113.281,-164.062,4.883
1642302654.002,-196.777,-966.309,133.301,-190.430,-0.488
1642302654.006,-248.535,-970.215,148.438,-226.562,-3.418
1642302654.010,-117.188,-971.680,196.777,-249.512,-23.438
1642302654.014,-66.406,-970.703,266.113,-255.371,-32.715
1642302654.018,-203.613,-971.191,336.426,-257.324,9.277
1642302654.034,-291.504,-971.191,403.809,-259.766,10.254
1642302654.038,-177.246,-971.191,454.102,-279.785,-3.906
1642302654.042,-80.566,-971.191,508.789,-268.066,-1.465
1642302654.046,-181.641,-971.191,562.988,-249.512,3.418
1642302654.050,-286.133,-971.191,600.586,-253.906,-18.066
1642302654.054,-205.566,-970.215,621.582,-253.418,-21.484
1642302654.058,-57.617,-976.562,629.883,-235.352,-13.184
1642302654.061,-83.984,-947.754,629.883,-206.055,-14.160
1642302654.065,-219.727,-955.078,607.910,-183.594,-42.969
1642302654.069,-176.758,-963.867,575.195,-174.316,-69.824
1642302654.073,-19.043,-604.004,540.039,-156.738,-1.953
1642302654.077,0.977,-312.988,501.465,-130.859,23.438
1642302654.065,-123.535,-376.465,463.867,-94.238,10.742
1642302654.069,-149.414,-371.582,424.805,-71.289,-7.812
1642302654.073,0.000,-172.852,382.812,-53.711,16.113
1642302654.077,74.219,-66.895,336.426,-21.484,39.062
1642302654.081,-33.203,-182.617,292.969,6.348,5.371
1642302654.085,-97.656,-199.707,250.000,34.668,24.414
1642302654.089,10.742,-103.027,204.590,50.781,52.734
1642302654.092,119.629,16.602,164.551,88.379,74.219
1642302654.096,51.270,67.383,120.117,99.609,78.613
1642302654.100,-60.547,48.828,73.730,103.027,58.105
1642302654.104,15.625,154.785,34.180,126.465,58.105
1642302654.108,157.227,210.449,0.488,135.254,46.387
1642302654.109,120.605,-161.621,-26.855,145.020,41.016
1642302654.113,-10.254,-102.051,-47.852,152.832,65.918
1642302654.117,4.395,279.297,-72.754,148.438,74.707
1642302654.121,157.227,300.293,-95.215,152.344,89.844
1642302654.125,173.828,312.500,-110.352,160.156,95.703
1642302654.129,33.691,228.516,-122.559,165.527,78.125
1642302654.133,-2.930,160.645,-134.277,165.527,80.078
1642302654.136,123.535,46.875,-149.414,150.391,75.195
1642302654.140,201.660,-55.176,-160.156,150.879,55.176
1642302654.144,98.633,249.512,-164.062,163.086,77.148
1642302654.148,18.066,334.473,-171.387,177.246,75.195
1642302654.152,121.094,293.945,-185.059,145.020,82.031
1642302654.156,222.656,297.852,-190.430,121.094,107.910
