timestamps,TP9,AF7,AF8,TP10,Right AUX
1643749544.010,7.324,23.926,27.832,16.113,74.707
1643749544.014,10.742,21.973,29.297,5.859,-18.555
1643749544.018,18.555,21.973,30.762,20.996,-32.227
1643749544.022,17.578,26.367,29.297,37.109,65.430
1643749544.026,28.809,27.344,28.320,33.203,80.566
1643749544.030,39.062,26.367,29.297,26.367,8.789
1643749544.034,32.227,30.762,27.344,27.344,5.859
1643749544.037,34.180,30.273,28.809,37.109,19.531
1643749544.041,32.227,27.832,26.855,38.086,51.270
1643749544.045,34.668,29.785,24.902,29.297,25.391
1643749544.049,38.574,28.809,26.367,29.785,-40.527
1643749544.053,27.832,27.832,26.855,38.086,-2.441
1643749544.055,28.809,28.809,27.832,44.922,77.637
1643749544.059,41.504,28.809,28.320,37.598,48.340
1643749544.063,39.551,30.273,28.320,30.273,-27.832
1643749544.067,40.527,31.250,29.297,36.133,-0.977
1643749544.071,40.039,28.809,31.250,42.969,58.105
1643749544.075,38.086,31.250,30.762,40.039,57.129
1643749544.079,40.527,34.668,32.715,27.832,20.020
1643749544.082,34.180,36.133,33.691,18.066,-31.738
1643749544.086,29.785,34.180,26.855,26.855,2.930
1643749544.090,34.180,33.691,24.902,37.598,20.996
1643749544.094,32.227,35.645,25.879,24.414,-4.883
1643749544.098,23.926,33.203,27.344,18.066,5.371
1643749544.100,17.090,29.785,25.391,27.344,22.949
1643749544.104,14.648,30.762,24.902,33.203,45.410
1643749544.108,20.508,30.762,29.785,29.785,20.996
1643749544.112,23.438,32.227,30.273,20.020,-47.363
1643749544.116,22.461,32.715,26.855,26.855,-26.855
1643749544.120,20.996,30.273,27.832,34.180,-1.465
1643749544.124,22.949,31.250,29.297,24.414,-20.020
1643749544.127,22.949,30.762,29.297,16.113,-52.246
1643749544.131,24.902,30.762,29.297,28.320,-44.922
1643749544.135,21.973,36.133,27.832,37.598,25.879
1643749544.139,18.555,37.598,25.879,26.367,70.801
1643749544.143,20.020,35.156,25.391,14.160,-14.160
1643749544.146,13.672,35.645,27.344,15.137,-84.961
1643749544.150,0.488,36.133,29.297,12.695,23.926
1643749544.154,7.812,35.645,31.738,10.254,77.148
1643749544.158,11.719,33.203,29.297,6.836,24.414
1643749544.162,18.066,30.762,26.367,12.695,22.949
1643749544.166,23.438,31.738,26.367,31.738,31.738
1643749544.170,24.414,30.273,25.391,33.203,25.391
1643749544.173,33.691,29.785,27.344,14.160,11.230
1643749544.177,23.926,30.273,27.344,8.789,-33.203
1643749544.181,20.020,30.273,27.344,28.320,-22.949
1643749544.185,34.668,28.320,30.273,31.250,43.945
1643749544.189,32.715,29.297,27.832,22.461,50.293
1643749544.205,31.738,31.738,26.855,14.648,57.617
1643749544.209,36.621,31.250,27.832,18.555,51.758
1643749544.213,38.574,30.762,31.250,38.086,19.043
