timestamps,TP9,AF7,AF8,TP10,Right AUX
1643749201.674,33.691,-971.191,26.367,40.039,69.336
1643749201.678,34.180,-971.191,26.855,39.062,45.898
1643749201.682,34.668,-969.727,23.438,30.273,54.199
1643749201.686,40.527,-973.145,24.902,35.645,2.930
1643749201.690,40.039,-958.984,27.832,42.480,23.926
1643749201.694,40.527,-911.621,25.879,41.504,86.426
1643749201.698,39.551,-877.930,24.414,30.273,82.031
1643749201.701,33.203,-862.793,22.461,20.020,50.293
1643749201.705,26.855,-837.891,21.484,30.762,69.336
1643749201.709,23.438,-812.012,26.855,37.109,57.129
1643749201.713,26.855,-792.969,27.832,28.809,60.059
1643749201.717,30.762,-770.996,25.879,27.832,83.496
1643749201.719,33.203,-748.535,24.902,34.668,30.762
1643749201.723,34.668,-725.586,22.461,41.504,47.852
1643749201.727,29.297,-700.195,24.414,33.203,71.777
1643749201.731,24.902,-677.246,27.344,20.996,58.105
1643749201.735,23.438,-658.203,26.367,24.414,34.668
1643749201.739,26.855,-640.625,26.855,33.691,15.137
1643749201.743,24.902,-622.559,22.461,34.180,38.086
1643749201.746,20.996,-600.586,20.508,21.484,3.418
1643749201.750,25.391,-577.148,24.902,18.555,-39.551
1643749201.754,35.156,-558.594,19.043,29.785,5.859
1643749201.758,27.832,-546.387,18.066,31.738,70.312
1643749201.762,19.043,-528.809,27.344,25.879,76.660
1643749201.764,20.508,-512.695,30.762,22.949,40.527
1643749201.768,21.484,-500.488,30.762,29.785,43.457
1643749201.772,22.461,-486.816,31.250,32.227,88.379
1643749201.776,22.949,-468.262,30.273,27.832,105.469
1643749201.780,29.785,-454.590,29.297,23.926,33.203
1643749201.784,23.438,-442.871,27.832,25.391,-9.766
1643749201.788,13.184,-428.711,26.367,33.691,18.066
1643749201.791,20.508,-413.574,28.809,31.250,46.875
1643749201.795,20.508,-395.996,27.832,14.648,7.324
1643749201.799,14.160,-384.766,21.484,10.742,-19.043
1643749201.803,17.090,-375.000,21.973,18.066,55.664
1643749201.807,19.531,-364.746,24.414,15.625,35.645
1643749201.808,17.578,-355.469,24.414,7.324,31.738
1643749201.812,18.555,-341.309,20.020,8.789,26.367
1643749201.816,28.320,-332.031,20.996,22.949,47.363
1643749201.820,23.438,-318.359,29.785,21.973,52.734
1643749201.824,16.113,-306.641,32.715,12.207,20.508
1643749201.828,17.578,-298.340,31.738,10.742,33.691
1643749201.832,21.484,-290.527,30.273,20.508,49.805
1643749201.835,20.020,-280.273,26.855,23.438,31.738
1643749201.839,18.555,-272.949,25.391,20.020,-31.738
1643749201.843,21.973,-266.602,26.367,19.043,17.578
1643749201.847,23.438,-254.883,24.414,26.855,47.852
1643749201.851,21.484,-250.488,22.949,38.574,76.172
1643749201.854,19.531,-248.535,28.320,34.668,87.402
1643749201.858,13.672,-242.188,29.297,20.996,13.672
1643749201.862,12.695,-234.863,27.832,24.414,-6.348
1643749201.866,13.184,-232.422,23.926,30.273,4.395
1643749201.870,9.277,-229.004,22.949,24.414,18.066
1643749201.874,12.207,-220.215,31.250,20.508,31.738
1643749201.878,16.113,-214.844,33.691,17.090,76.172
1643749201.881,6.348,-211.426,28.809,19.043,73.730
1643749201.885,2.441,-205.566,24.902,22.949,53.711
1643749201.889,8.301,-199.219,26.855,17.578,39.551
1643749201.893,11.719,-195.801,28.320,11.719,12.207
1643749201.897,4.883,-195.312,28.809,15.625,38.574
1643749201.899,-0.488,-192.871,28.809,22.949,64.941
1643749201.903,8.301,-189.941,28.320,22.949,28.320
1643749201.907,16.602,-183.105,29.297,17.578,-24.414
1643749201.911,15.137,-178.223,28.809,24.902,-36.133
1643749201.915,14.648,-173.828,29.297,38.574,3.418
1643749201.919,18.066,-166.016,29.785,41.016,51.758
1643749201.923,26.367,-159.180,25.879,30.273,23.926
1643749201.926,23.926,-156.738,20.996,20.020,-15.137
1643749201.930,19.531,-154.297,26.367,22.461,17.090
1643749201.934,29.785,-151.855,33.203,30.762,40.039
1643749201.938,23.438,-147.461,27.832,18.555,36.621
1643749201.942,13.184,-147.949,23.438,9.277,1.465
1643749201.945,25.879,-148.926,27.832,24.414,-0.488
1643749201.949,39.551,-137.695,26.855,32.227,71.289
1643749201.953,34.180,-126.953,24.902,17.578,97.656
1643749201.957,27.832,-124.512,26.367,7.812,45.898
1643749201.961,29.785,-122.070,28.320,17.090,-0.488
1643749201.965,21.484,-116.211,27.832,25.879,45.898
1643749201.969,13.672,-115.723,27.832,28.809,51.270
1643749201.972,10.742,-115.234,27.344,24.902,24.414
1643749201.976,11.230,-111.816,30.273,26.367,45.898
1643749201.980,2.930,-114.258,26.367,29.297,23.926
1643749201.984,1.953,-113.281,20.508,26.855,26.855
1643749201.988,17.578,-108.398,28.320,18.555,1.465
1643749202.004,16.113,-108.398,32.227,12.695,-35.156
1643749202.008,8.301,-106.934,29.297,20.508,50.781
1643749202.012,11.230,-99.609,28.809,23.926,109.375
1643749202.016,18.555,-100.586,32.715,15.137,37.598
1643749202.020,19.043,-103.516,29.785,11.719,8.301
1643749202.024,23.438,-93.262,28.809,22.461,19.531
1643749202.028,26.367,-89.355,31.250,30.273,5.859
1643749202.031,24.414,-94.238,28.809,22.949,33.203
1643749202.035,25.391,-95.703,31.250,16.113,42.969
1643749202.039,20.996,-93.262,32.715,21.973,10.742
1643749202.043,16.113,-89.355,28.809,28.320,55.176
1643749202.047,16.602,-84.473,25.391,25.879,57.617
1643749202.049,18.555,-87.891,29.297,15.625,-6.348
1643749202.053,14.160,-91.797,34.668,14.160,-41.016
1643749202.057,11.230,-87.891,31.738,20.996,-16.113
1643749202.061,18.555,-87.402,30.762,23.438,-20.020
1643749202.065,22.949,-87.402,32.227,22.949,-17.578
1643749202.069,17.090,-81.543,31.250,16.113,-14.648
1643749202.073,19.531,-78.125,28.809,22.949,-19.043
1643749202.076,22.949,-76.660,26.855,34.180,31.250
1643749202.080,15.137,-76.172,32.715,25.879,43.457
1643749202.084,19.043,-75.195,30.762,21.973,23.926
1643749202.088,27.344,-70.312,29.297,30.762,43.457
1643749202.092,21.973,-66.406,31.738,36.621,67.871
1643749202.094,23.926,-67.871,34.180,34.180,24.902
1643749202.098,26.855,-68.848,34.180,30.273,-20.996
1643749202.102,20.020,-66.895,29.785,25.391,33.691
1643749202.106,20.020,-66.406,30.273,27.832,65.430
1643749202.110,21.484,-66.406,27.344,31.738,39.551
1643749202.114,20.996,-63.477,26.855,26.855,41.016
1643749202.118,18.555,-58.594,33.203,23.438,4.395
1643749202.121,21.484,-61.035,34.668,33.203,-20.020
1643749202.125,21.484,-61.523,34.180,31.250,12.207
1643749202.129,20.996,-58.594,32.227,19.043,1.953
1643749202.133,30.762,-62.988,30.273,20.020,-0.488
1643749202.137,23.438,-63.477,31.738,28.320,28.320
1643749202.139,19.043,-56.641,34.180,34.180,45.410
1643749202.143,28.320,-54.199,33.691,32.227,38.086
1643749202.147,28.809,-59.570,29.297,18.066,-10.742
1643749202.151,27.832,-63.477,29.297,18.066,9.766
1643749202.155,26.367,-56.152,30.762,27.344,92.285
1643749202.159,23.926,-53.223,30.273,17.090,42.969
1643749202.163,26.367,-58.105,28.809,10.742,7.812
1643749202.166,27.344,-59.570,30.273,21.484,22.461
1643749202.170,17.090,-57.617,32.227,24.902,57.129
1643749202.174,17.090,-53.711,32.715,25.879,71.777
1643749202.178,25.391,-53.711,35.645,21.973,55.176
1643749202.182,27.344,-51.270,34.180,20.020,8.789
1643749202.185,24.414,-47.363,28.809,24.414,-18.066
1643749202.189,25.391,-50.293,26.855,25.879,25.879
1643749202.193,34.180,-51.758,27.344,24.902,18.066
1643749202.197,31.738,-50.293,25.879,19.531,3.906
1643749202.201,32.715,-51.270,25.391,29.297,8.789
1643749202.205,33.203,-47.852,26.367,37.598,31.738
1643749202.209,29.297,-42.969,28.809,24.414,65.430
1643749202.212,26.367,-42.480,30.273,18.555,27.344
1643749202.216,19.043,-41.992,20.996,26.367,32.715
1643749202.220,25.391,-40.527,18.555,38.086,72.754
1643749202.224,26.855,-39.062,29.297,30.762,49.805
1643749202.228,22.949,-39.062,31.738,14.648,0.977
1643749202.244,26.855,-38.574,29.785,19.531,-25.879
1643749202.248,32.227,-38.574,27.344,28.320,3.418
1643749202.252,22.949,-40.527,26.855,20.508,26.367
1643749202.256,19.531,-38.574,29.297,14.648,3.418
1643749202.260,21.484,-34.668,29.785,16.602,-5.859
1643749202.264,28.809,-33.691,29.785,29.297,23.438
1643749202.268,31.738,-34.668,31.250,30.762,95.215
1643749202.271,20.508,-34.668,28.809,12.207,64.941
1643749202.275,20.020,-31.250,25.391,12.695,-1.465
1643749202.279,18.066,-29.297,24.902,22.949,13.672
1643749202.283,19.531,-30.762,21.484,34.668,56.641
1643749202.287,21.973,-31.250,21.484,28.809,66.406
1643749202.274,20.020,-31.250,28.809,17.578,0.977
1643749202.278,18.555,-33.203,33.203,23.438,-35.156
