timestamps,TP9,AF7,AF8,TP10,Right AUX
1643749425.104,38.086,33.691,28.809,20.508,15.137
1643749425.108,38.086,36.621,25.391,23.926,-14.160
1643749425.112,25.879,36.621,23.438,33.691,0.977
1643749425.116,18.066,36.133,25.879,29.297,15.625
1643749425.120,20.020,36.133,26.367,16.113,-11.230
1643749425.124,27.832,34.180,27.344,22.949,-10.254
1643749425.128,28.809,32.227,29.785,35.156,24.902
1643749425.131,26.367,30.762,28.809,26.855,33.203
1643749425.135,26.855,29.785,30.762,20.508,28.809
1643749425.139,22.461,29.297,28.320,27.344,44.922
1643749425.143,19.531,28.809,22.949,30.273,63.965
1643749425.147,27.344,32.715,21.973,24.902,45.410
1643749425.148,30.273,35.645,23.926,16.113,17.578
1643749425.152,26.367,36.621,26.855,18.555,23.926
1643749425.156,22.949,38.574,20.020,25.879,3.906
1643749425.160,22.949,39.551,19.043,22.461,7.812
1643749425.164,34.180,39.551,27.344,19.043,16.602
1643749425.168,34.180,38.086,31.250,17.090,49.805
1643749425.172,26.367,36.133,32.227,25.391,89.355
1643749425.175,22.949,34.180,33.203,34.180,60.547
1643749425.179,23.926,32.715,33.691,25.879,78.613
1643749425.183,27.832,31.738,29.785,17.578,66.406
1643749425.187,22.461,28.320,29.297,20.020,37.109
1643749425.191,20.020,26.855,30.273,26.855,-1.465
1643749425.207,23.926,31.250,29.297,28.809,34.180
1643749425.211,24.902,28.320,30.762,25.391,48.340
1643749425.215,21.973,23.926,32.227,24.902,0.000
1643749425.219,20.508,23.438,32.227,27.344,41.504
1643749425.223,22.461,25.391,25.879,28.320,28.809
1643749425.227,21.484,29.785,19.531,24.902,17.090
1643749425.231,24.414,26.367,27.832,18.555,59.082
1643749425.234,27.832,23.438,35.156,18.066,25.879
1643749425.238,31.738,26.367,32.227,23.438,44.434
1643749425.242,30.273,23.438,30.762,18.555,38.574
1643749425.246,30.762,24.414,29.297,12.695,-11.719
1643749425.250,30.762,27.344,28.809,21.973,-10.742
1643749425.238,27.344,27.344,28.320,28.320,69.824
1643749425.242,18.555,27.832,28.809,26.367,88.867
1643749425.246,23.926,30.762,30.273,23.926,2.930
1643749425.250,24.902,33.203,27.344,25.879,-17.578
1643749425.254,21.484,32.715,25.879,33.203,45.410
1643749425.258,22.461,29.785,22.949,32.227,22.461
1643749425.262,24.414,33.203,24.902,21.973,28.320
1643749425.265,25.391,32.227,31.738,17.578,20.996
1643749425.269,21.484,31.250,31.250,23.438,3.906
1643749425.273,16.602,32.715,29.785,27.832,24.902
1643749425.277,25.391,33.691,35.156,23.438,-16.113
1643749425.281,34.180,33.691,36.133,20.020,-5.371
1643749425.284,25.391,31.738,30.762,22.949,44.922
1643749425.288,16.602,29.297,27.832,20.508,29.297
1643749425.292,19.531,26.367,29.785,14.648,37.598
1643749425.296,29.297,26.367,31.738,13.672,-7.324
1643749425.300,19.531,26.855,30.273,19.043,-44.922
1643749425.304,10.742,26.367,29.297,25.391,31.738
1643749425.308,14.160,24.902,33.203,22.461,82.031
1643749425.311,18.066,23.438,29.785,10.254,68.848
1643749425.315,13.184,22.949,23.438,15.137,-0.977
1643749425.319,14.160,23.926,30.273,28.320,26.855
1643749425.323,18.066,23.926,33.203,27.832,32.227
1643749425.327,17.090,24.902,29.785,20.996,7.812
1643749425.359,17.090,24.414,28.809,21.484,55.664
1643749425.363,18.066,22.461,30.762,30.273,69.824
1643749425.367,19.043,21.973,31.738,34.668,66.895
1643749425.371,17.578,20.996,27.832,26.855,-11.230
1643749425.375,14.648,20.508,23.926,17.578,-23.438
1643749425.379,19.043,22.461,25.391,24.414,29.297
1643749425.383,16.113,24.414,25.879,27.344,-2.441
1643749425.386,8.301,26.855,22.461,15.625,30.273
1643749425.390,19.043,26.855,21.484,12.207,52.734
1643749425.394,22.461,25.391,22.461,18.066,50.293
1643749425.398,18.066,27.832,25.879,24.902,67.871
1643749425.402,17.578,31.250,28.320,20.020,65.430
1643749425.388,9.766,27.344,29.785,5.859,14.648
1643749425.392,8.789,24.414,28.809,5.371,21.973
1643749425.396,12.207,27.832,26.855,21.973,32.227
1643749425.400,12.695,29.785,27.344,24.414,38.574
1643749425.404,21.484,31.250,30.273,12.207,36.621
1643749425.408,30.273,32.227,32.715,14.160,-22.949
1643749425.412,22.461,31.738,31.250,20.020,-7.812
1643749425.415,10.742,29.785,27.832,18.066,42.480
1643749425.419,17.090,27.344,26.855,9.277,38.574
1643749425.423,24.902,28.320,25.879,3.418,38.086
1643749425.427,22.949,31.250,25.879,14.648,35.645
1643749425.431,21.484,27.344,31.738,17.578,38.086
1643749425.433,22.949,25.391,33.691,12.207,60.059
1643749425.437,29.785,24.902,38.086,9.277,49.805
1643749425.441,31.250,30.762,47.363,26.367,45.410
1643749425.445,17.578,38.086,46.875,41.992,-9.277
1643749425.449,2.930,37.109,40.039,32.227,7.812
1643749425.453,-16.113,39.062,42.480,7.812,28.320
1643749425.457,-22.461,36.621,52.246,-1.953,-12.695
1643749425.460,-34.180,29.297,53.711,-8.789,32.227
1643749425.464,-46.387,38.086,51.758,-27.832,17.578
1643749425.468,-45.410,47.852,64.453,-47.852,-24.414
1643749425.472,-63.965,61.035,73.730,-70.801,11.719
1643749425.476,-92.285,60.547,74.219,-90.332,34.180
1643749425.478,-121.094,57.129,72.266,-115.723,70.801
1643749425.482,-127.441,76.660,74.707,-133.301,43.457
1643749425.486,-114.258,90.332,81.543,-123.535,33.203
1643749425.490,-115.234,81.543,81.055,-115.234,76.172
1643749425.494,-126.953,73.242,74.707,-122.559,46.387
1643749425.498,-128.418,79.590,75.195,-125.488,43.457
1643749425.502,-122.559,83.496,74.219,-126.465,16.602
1643749425.505,-116.211,75.684,74.707,-117.676,52.734
1643749425.509,-112.305,76.172,80.078,-103.027,98.633
1643749425.513,-104.492,76.172,75.195,-103.027,81.543
1643749425.517,-93.262,73.242,67.383,-113.281,52.734
1643749425.521,-98.633,70.801,71.289,-107.910,50.293
1643749425.523,-104.004,72.266,68.848,-89.844,44.434
1643749425.527,-89.355,71.289,57.129,-82.520,31.250
1643749425.531,-82.031,64.941,60.547,-81.543,51.270
1643749425.535,-81.543,65.430,65.430,-78.613,12.207
1643749425.539,-68.848,64.453,62.500,-64.941,36.621
1643749425.543,-54.199,63.965,61.523,-47.852,25.391
1643749425.547,-44.922,63.965,57.617,-43.457,-38.086
1643749425.550,-33.691,62.500,52.246,-38.574,2.441
1643749425.554,-16.602,59.570,50.293,-14.648,27.344
1643749425.558,10.742,53.711,44.434,14.648,9.766
1643749425.562,24.902,46.387,44.434,20.996,21.973
1643749425.566,31.250,42.969,40.527,21.484,0.488
1643749425.569,46.875,41.016,29.297,39.062,-1.465
1643749425.573,52.246,33.203,24.414,57.129,48.828
1643749425.577,48.340,24.902,20.508,62.500,-0.488
1643749425.581,62.012,20.508,20.020,61.035,23.926
1643749425.585,73.242,18.066,19.043,62.500,96.191
1643749425.589,69.824,19.531,12.695,75.195,30.273
1643749425.593,79.102,14.648,10.742,84.961,17.090
1643749425.596,82.031,9.766,9.766,83.496,32.227
1643749425.600,92.773,11.230,5.859,83.984,-15.625
1643749425.604,93.262,7.324,2.441,91.309,-7.324
1643749425.608,87.402,3.906,5.371,95.215,3.418
1643749425.612,91.309,4.883,5.859,93.750,13.672
1643749425.613,97.168,3.906,4.395,87.402,0.977
1643749425.617,100.586,3.418,3.906,90.820,6.348
1643749425.621,92.285,2.930,0.977,98.145,89.355
1643749425.625,90.820,0.488,1.953,97.168,84.961
1643749425.629,95.703,2.441,1.465,86.914,25.879
1643749425.633,100.098,6.348,-1.953,85.449,30.273
1643749425.637,102.539,5.859,-5.371,94.727,88.867
1643749425.640,94.238,4.395,-3.906,89.844,78.125
1643749425.644,85.938,2.441,0.488,79.590,60.059
1643749425.648,94.238,-0.488,5.371,89.355,41.992
1643749425.652,96.191,0.977,6.348,100.586,13.672
1643749425.656,102.051,-0.488,4.395,99.609,35.156
1643749425.658,111.328,-1.465,0.488,90.820,30.273
1643749425.662,97.168,0.000,-1.953,85.938,17.578
1643749425.666,86.914,1.465,0.488,96.191,28.320
1643749425.670,89.355,3.418,0.488,100.586,77.148
1643749425.674,93.750,4.883,1.953,97.656,40.527
1643749425.678,98.633,4.883,2.441,91.309,9.277
1643749425.682,93.750,6.348,2.441,87.891,5.859
1643749425.685,99.121,10.254,4.395,89.844,8.789
1643749425.689,99.609,8.789,6.348,88.379,9.277
1643749425.693,83.008,7.324,4.883,79.590,-11.719
1643749425.697,75.195,8.301,8.301,76.660,-17.090
1643749425.701,75.684,10.742,13.184,83.984,-12.695
1643749425.718,71.289,11.230,11.719,79.590,22.949
1643749425.722,69.336,9.277,12.207,69.336,15.137
1643749425.726,71.289,12.207,14.160,66.895,32.715
1643749425.730,64.453,11.719,16.602,76.172,60.059
1643749425.734,71.289,11.230,16.602,85.449,53.223
1643749425.738,78.125,16.602,16.602,75.684,2.930
1643749425.742,71.289,20.020,17.090,65.918,15.137
1643749425.745,70.312,21.484,16.113,73.730,48.340
1643749425.749,68.359,22.949,15.625,76.172,-4.395
1643749425.753,69.824,26.367,17.090,67.871,-1.465
1643749425.757,70.312,28.809,13.672,58.594,-6.348
1643749425.761,61.523,26.367,7.812,53.223,-2.930
1643749425.762,58.594,23.926,17.090,59.570,8.301
1643749425.766,51.758,23.926,20.508,57.129,70.312
1643749425.770,41.992,24.414,20.996,45.410,37.598
1643749425.774,45.410,24.902,21.484,46.387,25.391
1643749425.778,52.246,25.879,17.578,60.059,69.336
1643749425.782,60.547,26.855,20.996,62.500,24.414
1643749425.786,63.965,28.320,26.855,53.711,24.902
1643749425.789,61.035,27.344,25.391,48.828,32.227
1643749425.793,63.477,25.879,23.926,51.758,58.105
1643749425.797,59.082,28.320,29.297,57.617,49.316
1643749425.801,54.688,33.691,28.320,50.293,28.809
1643749425.805,60.059,31.738,27.344,45.410,-2.930
1643749425.807,57.617,31.250,24.902,54.688,-17.090
1643749425.811,51.270,34.180,20.996,62.012,46.875
1643749425.815,52.246,29.297,26.855,56.152,80.078
1643749425.819,57.617,26.367,30.762,46.387,32.227
1643749425.823,47.852,28.809,30.273,43.457,15.625
1643749425.827,35.645,25.391,31.738,47.852,16.113
1643749425.831,44.434,24.414,29.785,45.410,14.648
1643749425.834,42.969,25.391,28.809,34.668,22.949
1643749425.838,29.297,25.391,32.227,36.133,34.180
1643749425.842,26.367,25.879,32.227,38.086,35.156
1643749425.846,24.902,24.414,27.344,34.668,53.223
1643749425.850,30.273,28.809,22.949,27.344,67.383
1643749425.852,31.738,29.297,25.879,21.484,56.641
1643749425.856,27.344,26.855,29.785,32.227,-3.418
1643749425.860,24.414,25.879,21.973,41.016,35.156
1643749425.864,22.461,25.391,21.484,34.668,51.758
1643749425.868,29.297,26.855,31.250,25.879,9.277
1643749425.872,33.203,24.414,31.250,23.926,-11.719
1643749425.876,32.715,23.926,28.809,32.715,16.602
1643749425.879,41.016,27.344,29.297,32.227,80.078
1643749425.883,36.621,21.484,28.320,16.602,88.867
1643749425.887,31.250,17.578,25.879,20.996,64.453
1643749425.891,40.527,23.438,31.738,35.156,20.020
1643749425.895,30.273,30.273,33.203,29.297,7.324
1643749425.897,21.973,34.668,27.832,22.949,82.031
1643749425.901,23.926,31.250,27.832,24.414,66.406
1643749425.905,19.531,29.785,24.414,32.715,-15.137
1643749425.909,22.461,30.273,25.879,33.691,31.250
1643749425.913,29.785,26.367,29.785,27.832,52.734
1643749425.917,30.273,27.832,26.855,24.902,23.438
1643749425.921,27.832,29.297,24.902,29.785,11.719
1643749425.924,33.691,27.832,20.996,38.574,54.199
1643749425.928,38.574,27.832,20.996,28.809,63.477
1643749425.932,28.320,27.832,23.926,19.043,25.391
1643749425.936,24.414,28.809,24.902,31.250,26.855
1643749425.940,25.391,27.344,22.949,33.691,45.410
1643749425.943,20.996,23.438,22.461,21.484,41.016
1643749425.947,11.719,26.367,15.625,9.766,-14.648
1643749425.951,9.277,27.832,14.648,13.184,1.953
1643749425.955,16.113,29.297,20.996,22.949,51.758
1643749425.959,16.602,30.273,20.996,22.461,82.520
1643749425.963,16.113,29.297,20.020,10.254,55.176
1643749425.967,19.043,28.320,22.461,3.906,60.059
1643749425.970,13.672,27.832,22.949,14.160,80.078
1643749425.974,15.137,26.367,19.043,18.066,33.691
1643749425.978,21.973,26.367,21.484,12.207,66.406
1643749425.982,24.902,30.273,25.879,12.695,10.254
1643749425.986,23.438,30.762,24.414,23.926,-59.082
1643749425.987,23.926,28.320,20.508,37.598,7.812
1643749425.991,23.438,28.809,20.020,34.180,79.102
1643749425.995,15.137,30.762,21.973,24.414,15.625
1643749425.999,17.578,27.832,26.855,35.156,12.695
1643749426.003,26.367,27.344,27.832,43.945,49.316
1643749426.007,27.344,27.344,29.297,40.039,19.043
1643749426.011,23.438,25.391,33.691,28.320,50.781
1643749426.014,20.996,27.832,37.598,24.902,27.832
1643749426.018,21.484,28.809,38.574,34.180,19.531
1643749426.022,31.250,26.855,35.645,32.227,30.762
1643749426.026,29.297,26.855,33.203,19.531,10.742
1643749426.030,20.020,29.297,32.715,15.625,22.461
1643749426.033,20.020,29.297,33.203,25.391,88.867
1643749426.037,19.531,27.344,31.250,30.762,96.191
1643749426.041,19.531,30.273,23.926,22.461,72.266
1643749426.045,15.137,32.715,21.484,11.719,38.574
1643749426.049,14.648,30.273,28.320,16.602,18.066
1643749426.053,17.578,29.785,34.180,28.809,-3.418
1643749426.057,21.973,30.762,33.203,20.508,-55.176
1643749426.060,15.137,28.320,26.855,5.371,-30.762
1643749426.064,7.324,28.320,26.367,7.812,-20.996
1643749426.068,12.695,29.785,31.738,19.043,-5.859
1643749426.072,5.371,27.832,31.250,19.043,6.348
1643749426.076,2.441,27.344,28.320,9.277,27.344
1643749426.093,3.418,28.809,27.344,9.766,14.648
1643749426.097,-3.418,27.832,21.484,20.996,-1.465
1643749426.101,2.441,25.879,17.578,25.391,17.578
1643749426.105,15.137,21.973,27.832,21.484,18.066
1643749426.109,16.602,20.996,31.738,12.207,13.672
1643749426.113,18.066,21.973,32.227,14.648,36.133
1643749426.117,22.949,20.020,33.691,25.879,40.039
1643749426.120,20.508,22.461,26.367,17.578,33.691
1643749426.124,20.996,25.879,25.879,9.277,-13.184
1643749426.128,27.344,25.391,29.785,18.066,-44.434
1643749426.132,16.113,23.926,30.762,31.738,-8.301
1643749426.136,11.719,25.879,29.297,33.691,0.000
1643749426.138,20.996,25.391,24.414,26.855,7.324
1643749426.142,26.855,25.391,25.391,27.832,-9.766
1643749426.146,27.344,24.414,28.809,30.762,-0.488
1643749426.150,23.926,24.902,26.855,28.320,101.074
1643749426.154,40.039,26.367,27.832,26.855,78.125
1643749426.158,41.016,28.320,27.344,28.809,25.391
1643749426.162,36.621,31.738,29.785,35.156,31.250
1643749426.165,32.715,32.715,24.902,36.621,38.086
1643749426.169,24.414,32.227,20.020,27.832,43.457
1643749426.173,36.621,32.715,24.414,20.996,22.949
1643749426.177,35.156,32.715,24.414,24.902,25.391
1643749426.181,31.738,34.180,26.855,32.227,77.148
1643749426.184,36.621,34.668,30.762,22.949,88.867
1643749426.188,41.992,32.715,30.762,9.766,55.664
1643749426.192,35.156,33.203,29.297,14.160,55.664
1643749426.196,22.949,35.645,27.832,24.414,15.137
1643749426.200,20.996,35.645,23.438,18.555,-13.184
1643749426.204,18.555,33.203,22.461,4.883,41.016
1643749426.208,17.090,30.762,25.879,5.859,20.508
1643749426.211,21.973,30.273,23.438,15.137,-7.324
1643749426.215,20.508,31.250,20.996,13.672,58.594
1643749426.219,21.973,31.738,20.508,7.324,0.488
1643749426.223,23.926,28.320,23.926,1.953,-15.625
1643749426.227,17.578,26.367,28.809,5.859,6.348
1643749426.227,16.602,27.344,32.227,16.113,25.879
1643749426.231,11.719,27.344,31.250,11.230,56.641
1643749426.235,12.207,26.855,27.344,2.441,-3.418
1643749426.239,14.160,28.320,24.414,12.695,-10.742
1643749426.243,14.160,27.344,26.367,22.461,16.113
1643749426.247,12.207,24.414,23.926,19.531,46.875
1643749426.251,16.113,24.902,22.949,13.184,24.902
1643749426.254,23.926,23.926,26.855,22.461,-39.062
1643749426.258,22.949,24.414,29.785,34.180,-20.996
1643749426.262,20.508,25.879,20.508,26.855,57.617
1643749426.266,24.414,24.902,19.531,18.555,48.828
1643749426.270,26.855,24.902,31.738,22.461,28.809
1643749426.273,23.926,24.902,31.738,34.180,75.684
1643749426.277,17.578,23.438,30.273,33.203,55.664
1643749426.281,17.090,27.832,27.832,28.320,16.113
1643749426.285,25.391,31.738,23.926,29.297,72.754
1643749426.289,31.250,29.785,27.344,35.645,52.734
1643749426.293,30.762,28.809,30.762,38.574,4.395
1643749426.297,34.668,29.297,28.809,32.715,69.336
1643749426.300,41.016,29.297,29.785,29.785,45.410
1643749426.304,33.203,29.785,29.297,30.762,52.246
1643749426.308,25.391,25.879,31.250,33.203,120.117
1643749426.312,23.926,25.391,33.203,31.250,67.383
1643749426.316,21.973,29.785,33.203,19.043,37.109
1643749426.318,21.973,30.762,31.250,16.113,51.758
1643749426.322,21.973,31.738,25.879,26.367,91.309
1643749426.326,24.414,30.762,30.762,25.391,93.750
1643749426.330,33.691,30.762,33.691,11.230,23.438
1643749426.334,33.203,30.273,29.297,7.812,-1.465
1643749426.338,27.344,28.809,25.391,20.020,12.207
1643749426.342,21.973,27.344,27.344,26.367,29.785
1643749426.345,8.789,27.832,25.879,18.066,5.371
1643749426.349,1.465,25.879,22.949,19.531,-11.230
1643749426.353,-4.395,22.949,27.832,28.809,15.625
1643749426.357,-2.441,27.832,30.762,33.203,43.457
1643749426.361,5.371,28.809,28.320,25.391,37.109
1643749426.363,14.648,25.391,26.367,14.648,0.488
1643749426.367,14.648,24.414,28.809,17.090,-6.836
1643749426.371,7.324,24.902,29.785,27.832,17.578
1643749426.375,7.812,25.391,29.785,24.902,85.938
1643749426.379,16.113,26.367,29.785,18.555,65.430
1643749426.383,26.855,27.832,21.484,26.367,6.836
1643749426.387,28.320,26.367,18.555,34.180,-48.828
1643749426.390,25.879,28.320,28.320,30.273,-38.574
1643749426.394,25.879,27.832,28.320,19.043,49.316
1643749426.398,30.273,24.414,25.879,18.066,-16.602
1643749426.402,24.414,25.879,25.879,22.461,-35.156
1643749426.406,17.578,25.879,28.320,25.879,34.668
1643749426.408,22.949,25.879,31.738,21.484,41.504
1643749426.412,23.438,24.414,31.250,19.043,53.223
1643749426.416,15.625,22.949,29.297,25.879,44.922
1643749426.420,27.344,20.508,30.762,31.250,69.824
1643749426.424,34.668,19.043,34.668,28.320,57.617
1643749426.428,35.156,20.508,30.273,23.926,2.930
1643749426.432,38.574,22.461,25.879,27.832,-17.090
1643749426.435,32.227,21.484,28.809,28.809,7.324
1643749426.439,25.879,20.508,31.738,25.879,40.039
1643749426.443,23.438,22.949,32.715,22.949,50.781
1643749426.447,23.926,22.461,31.250,25.879,14.648
1643749426.451,28.320,20.508,31.738,39.062,-7.812
1643749426.468,28.809,21.484,29.297,34.180,49.316
1643749426.472,24.902,22.949,29.297,20.508,34.180
1643749426.476,20.508,22.949,26.855,21.973,31.250
1643749426.480,30.762,26.367,16.113,27.344,96.680
1643749426.484,34.180,24.902,21.484,30.273,68.359
1643749426.488,20.508,23.926,32.715,22.461,7.812
1643749426.492,18.555,27.344,30.762,14.648,52.246
1643749426.495,25.879,26.855,26.367,19.531,61.523
1643749426.499,22.949,26.855,25.879,27.344,79.102
1643749426.503,22.949,25.391,28.809,25.391,51.758
1643749426.507,25.879,27.832,26.855,16.113,10.254
1643749426.511,22.949,28.320,24.902,27.344,15.625
1643749426.513,28.809,25.879,28.320,36.133,-23.926
1643749426.517,24.414,28.809,26.855,27.344,-22.949
1643749426.521,19.043,29.785,21.484,14.648,41.504
1643749426.525,24.902,28.320,25.879,16.602,62.500
1643749426.529,27.832,28.320,32.715,28.809,11.230
1643749426.533,30.762,30.762,31.250,30.273,37.109
1643749426.537,35.156,32.227,29.297,24.902,34.180
1643749426.540,37.109,28.809,25.879,20.508,20.996
1643749426.544,33.691,29.297,21.973,23.438,2.441
1643749426.548,31.250,31.250,26.367,24.414,-19.043
1643749426.552,29.785,29.297,25.879,17.578,19.531
1643749426.556,23.926,27.832,23.438,11.230,21.973
1643749426.558,23.438,28.809,25.391,18.066,10.254
1643749426.562,27.832,27.344,24.902,31.250,56.641
1643749426.566,26.855,25.391,21.973,27.344,52.246
1643749426.570,27.832,23.926,21.484,17.090,18.555
1643749426.574,28.809,25.391,28.320,19.531,-2.441
1643749426.578,25.879,26.855,30.273,23.926,-27.832
1643749426.582,33.691,24.902,28.809,22.461,20.508
1643749426.585,36.621,25.391,29.297,19.531,29.785
1643749426.589,22.461,25.391,29.297,20.996,44.922
1643749426.593,18.555,26.367,24.902,25.391,54.199
1643749426.597,23.438,31.738,23.438,25.391,63.477
1643749426.601,29.785,30.273,28.320,22.949,70.312
1643749426.603,40.527,27.344,28.320,29.785,-55.176
1643749426.607,30.762,25.879,29.297,32.715,-78.125
1643749426.611,15.625,25.879,32.715,25.391,60.547
1643749426.615,20.508,26.855,36.133,20.508,81.055
1643749426.619,18.555,29.297,37.598,16.113,49.316
1643749426.623,21.973,27.832,36.621,22.461,67.383
1643749426.627,35.156,25.879,36.133,38.086,59.570
1643749426.630,38.574,24.414,33.203,31.250,8.301
1643749426.634,34.180,22.461,33.203,22.949,-18.555
1643749426.638,23.438,23.926,30.273,27.344,20.020
1643749426.642,12.207,24.902,25.391,31.250,0.488
1643749426.646,12.207,26.367,19.531,26.367,-2.930
1643749426.648,20.996,27.344,19.043,12.207,24.902
1643749426.652,24.414,30.273,29.297,13.184,8.301
1643749426.656,20.508,28.320,32.227,25.391,31.250
1643749426.660,23.438,23.926,32.227,29.297,79.590
1643749426.664,29.297,26.855,28.809,24.414,38.086
1643749426.668,32.227,29.297,28.809,23.438,-23.438
1643749426.672,25.879,28.809,27.344,29.785,0.000
1643749426.675,17.578,28.809,25.879,27.832,33.691
1643749426.679,21.484,31.250,27.832,15.137,43.945
1643749426.683,21.484,30.273,23.438,9.277,41.992
1643749426.687,13.672,27.344,23.438,17.578,22.461
1643749426.691,17.578,25.879,25.879,25.391,7.812
1643749426.692,20.508,29.297,21.973,20.020,-20.020
1643749426.696,14.160,31.738,26.855,15.137,-34.668
1643749426.700,14.648,27.832,31.738,16.113,27.344
1643749426.704,9.277,26.855,27.344,20.508,51.270
1643749426.708,13.672,26.367,25.879,27.344,16.113
1643749426.712,20.508,25.391,24.902,20.020,75.684
1643749426.716,15.625,26.367,24.902,11.719,71.777
1643749426.719,16.113,23.926,29.785,23.926,45.898
1643749426.723,18.066,24.414,28.809,23.926,41.016
