timestamps,TP9,AF7,AF8,TP10,Right AUX
1643749319.261,14.648,30.273,13.672,17.090,13.184
1643749319.265,16.602,32.227,13.672,3.906,-2.930
1643749319.269,8.301,32.715,18.066,8.301,74.707
1643749319.273,21.973,31.738,24.902,27.344,83.984
1643749319.277,23.926,32.715,21.973,25.391,14.648
1643749319.281,21.973,33.203,17.090,18.066,19.531
1643749319.285,20.508,31.738,15.625,16.602,44.922
1643749319.288,9.277,30.762,19.531,20.508,39.062
1643749319.292,11.719,30.762,15.625,27.344,14.160
1643749319.296,21.973,32.227,13.672,20.996,25.391
1643749319.300,24.902,29.785,26.855,21.973,48.340
1643749319.304,22.461,28.320,29.297,34.180,13.184
1643749319.321,22.461,30.273,19.531,32.715,-1.465
1643749319.325,22.949,30.762,18.066,21.973,-45.898
1643749319.329,19.531,31.250,22.949,17.578,-60.547
1643749319.333,20.508,34.180,19.531,27.832,-2.441
1643749319.337,32.715,37.109,11.719,37.598,42.480
1643749319.341,37.598,37.109,15.137,28.809,32.715
1643749319.345,26.367,35.156,21.973,22.461,10.742
1643749319.348,14.648,34.668,19.043,29.785,47.363
1643749319.352,22.949,38.574,14.648,37.109,23.926
1643749319.356,23.438,37.109,19.531,29.297,-4.883
1643749319.360,24.414,29.785,19.531,21.484,22.461
1643749319.364,22.949,31.250,17.578,27.344,3.418
1643749319.366,16.602,34.668,13.184,28.809,41.016
1643749319.370,22.949,30.762,15.137,27.344,70.801
1643749319.374,25.391,23.438,27.344,24.902,41.992
1643749319.378,32.715,24.414,32.227,23.438,48.340
1643749319.382,32.227,28.809,24.414,29.297,34.180
1643749319.386,25.391,26.367,13.672,32.715,16.602
1643749319.390,27.832,29.297,20.996,25.879,87.402
1643749319.393,25.879,25.879,21.484,17.578,53.223
1643749319.397,23.438,21.973,19.043,19.531,30.273
1643749319.401,26.855,24.414,25.879,24.414,18.066
1643749319.405,20.020,24.414,27.344,17.578,2.930
1643749319.409,22.949,22.461,28.809,15.625,22.461
1643749319.412,31.738,24.414,27.344,28.320,24.902
1643749319.416,29.297,27.832,28.809,32.715,42.480
1643749319.420,25.879,23.926,23.926,34.668,62.500
1643749319.424,25.879,24.414,14.648,26.855,67.383
1643749319.428,28.320,23.926,20.020,19.043,57.617
1643749319.432,24.902,24.414,27.344,32.227,48.340
1643749319.436,23.926,27.832,26.855,38.086,33.203
1643749319.439,24.902,27.832,27.344,29.297,-15.625
1643749319.443,25.391,29.297,24.414,25.391,-39.551
1643749319.447,35.645,31.250,15.137,32.227,1.465
1643749319.451,33.203,35.156,13.184,33.691,45.898
1643749319.455,22.461,34.668,24.902,23.926,13.184
1643749319.456,27.832,31.250,28.809,24.414,-35.156
1643749319.460,29.785,31.250,23.438,32.715,17.578
1643749319.464,29.785,34.180,18.555,40.527,47.852
1643749319.468,35.645,35.156,23.438,32.227,52.734
1643749319.472,37.598,33.203,33.691,23.926,66.406
1643749319.476,34.180,33.203,34.668,29.297,43.945
1643749319.480,26.855,31.738,34.180,36.133,22.461
1643749319.483,25.391,27.344,26.367,34.668,62.988
1643749319.487,21.484,27.832,18.555,12.695,91.309
1643749319.491,17.090,29.297,25.391,10.254,51.270
1643749319.495,21.484,29.785,25.879,25.879,25.879
1643749319.499,26.855,30.762,22.461,24.902,43.457
1643749319.501,24.414,29.785,23.926,15.625,30.273
1643749319.505,17.578,28.809,18.555,9.277,-4.395
1643749319.509,19.531,27.832,21.973,18.555,19.531
1643749319.513,24.902,27.832,30.273,26.855,43.945
1643749319.517,20.508,28.320,29.297,14.648,38.086
1643749319.521,15.137,23.926,30.762,8.301,17.090
1643749319.525,17.090,20.020,25.879,17.578,-7.812
1643749319.528,18.066,25.391,20.508,22.949,26.367
1643749319.532,17.090,29.785,22.461,17.090,8.789
1643749319.536,21.484,26.367,21.973,8.789,3.418
1643749319.540,22.461,24.902,19.531,18.066,24.414
1643749319.544,14.160,24.414,14.648,29.785,-26.855
1643749319.547,13.672,25.391,21.973,18.555,-42.969
1643749319.551,12.207,26.855,30.273,7.812,14.160
1643749319.555,14.648,24.902,25.391,15.625,50.293
1643749319.559,20.996,24.414,26.855,31.738,6.348
1643749319.563,19.531,29.297,26.855,32.227,42.480
1643749319.567,16.113,30.762,31.250,19.531,34.668
1643749319.571,9.766,25.879,35.156,12.207,-39.551
1643749319.574,16.602,25.391,29.297,19.043,17.578
1643749319.578,22.461,27.832,27.832,26.855,27.344
1643749319.582,17.578,26.367,24.414,22.461,-33.691
1643749319.586,24.902,25.391,21.484,22.949,1.953
1643749319.590,21.973,22.461,24.414,25.879,-32.227
1643749319.591,18.066,21.484,23.926,24.902,-30.273
1643749319.595,17.090,26.367,18.066,21.973,30.273
1643749319.599,16.113,30.273,14.160,15.625,17.090
1643749319.603,20.996,28.320,20.020,10.742,41.504
1643749319.607,20.020,28.809,24.414,10.254,10.254
1643749319.611,17.578,27.832,24.902,14.160,11.230
1643749319.615,16.602,24.414,28.809,10.742,56.152
1643749319.618,14.648,28.809,18.555,7.324,14.160
1643749319.622,19.531,33.203,10.742,16.113,-10.742
1643749319.626,24.414,31.738,22.461,25.879,11.230
1643749319.630,18.066,29.297,26.855,19.043,19.531
1643749319.634,17.578,29.297,27.832,14.160,33.691
1643749319.637,20.020,29.785,24.414,20.508,39.551
1643749319.641,24.414,31.250,19.531,24.414,21.973
1643749319.645,25.879,32.227,23.438,18.555,16.113
1643749319.649,18.555,27.344,28.809,12.695,4.883
1643749319.653,18.555,26.367,30.273,20.508,20.020
1643749319.657,27.344,27.832,27.832,33.691,48.828
1643749319.661,28.320,26.367,25.391,31.250,44.434
1643749319.664,25.879,26.367,26.855,22.461,40.527
1643749319.668,22.949,24.902,24.414,19.043,62.988
1643749319.672,17.090,25.879,20.996,22.949,51.758
1643749319.676,20.508,31.250,20.020,26.367,28.809
1643749319.680,21.973,29.785,24.902,15.137,-37.109
1643749319.696,20.508,29.297,27.832,10.254,-52.734
1643749319.700,22.461,30.762,25.879,20.996,60.059
1643749319.704,27.344,31.250,25.879,26.855,75.195
1643749319.708,20.508,33.203,27.832,17.090,62.500
1643749319.712,25.879,35.645,23.926,15.625,101.074
1643749319.716,36.133,37.109,22.949,26.367,13.672
1643749319.720,26.855,32.715,27.832,31.738,-24.902
1643749319.723,24.902,31.250,29.297,22.949,42.480
1643749319.727,29.297,33.691,27.344,10.254,22.949
1643749319.731,28.320,33.203,15.137,20.508,4.395
1643749319.735,27.344,30.273,10.254,33.691,22.949
1643749319.739,25.391,35.156,21.973,30.762,21.973
1643749319.741,27.832,36.133,28.809,24.414,57.129
1643749319.745,39.062,34.180,33.691,31.250,74.707
1643749319.749,39.551,38.086,30.762,44.922,61.523
1643749319.753,32.227,37.109,18.555,44.434,40.527
1643749319.757,30.762,33.691,24.414,30.273,17.090
1643749319.761,30.762,34.668,31.738,24.902,2.930
1643749319.765,22.949,35.156,20.020,28.809,1.465
1643749319.768,20.996,31.250,19.043,30.762,27.344
1643749319.772,21.973,32.227,30.273,19.043,11.230
1643749319.776,23.438,33.203,31.738,6.348,16.113
1643749319.780,17.090,33.691,23.926,15.137,23.926
1643749319.784,18.555,34.180,20.996,23.926,50.293
1643749319.786,20.508,34.180,17.090,21.484,44.434
1643749319.790,14.648,33.691,17.578,17.090,16.113
1643749319.794,17.090,30.273,33.203,16.113,28.809
